id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,jump_target,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_21_10_e_1,d_main_21_10_e,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_10_e_1,True,Desert_02,75,75,1.0,bgm_intotheswarm,,,,,anis,7,void,,neon,5,idle,,rapi,3,idle,,johan,1,idle,,harran,13,idle,,isabel,15,idle,,noah,17,idle,,cecil_op_l,OP_leftup,idle,
d_main_21_10_e_2,d_main_21_10_e,Speech,neon,neon,Locale_MainScenario:d_main_21_10_e_2,True,,75,75,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,OP_leftup,idle,cecil_op_l
d_main_21_10_e_3,d_main_21_10_e,Speech,harran,harran,Locale_MainScenario:d_main_21_10_e_3,True,,1315,1315,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,rage,,,15,idle,,,17,idle,,,,,
d_main_21_10_e_4,d_main_21_10_e,Speech,isabel,isabel,Locale_MainScenario:d_main_21_10_e_4,True,,1315,1315,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,rage,,,15,surprise,,,17,idle,,,,,
d_main_21_10_e_5,d_main_21_10_e,Speech,noah,noah,Locale_MainScenario:d_main_21_10_e_5,True,,1315,XS_170,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,rage,,,15,surprise,,,17,idle,,,,,
d_main_21_10_e_6,d_main_21_10_e,Speech,noah,noah,Locale_MainScenario:d_main_21_10_e_6,False,,XS_170,XS_170,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,rage,,,15,surprise,,,17,pain,,,,,
d_main_21_10_e_7,d_main_21_10_e,Speech,noah,noah,Locale_MainScenario:d_main_21_10_e_7,True,,XS_170,XS_1700,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,rage,,,15,surprise,,,17,good,,,,,
d_main_21_10_e_8,d_main_21_10_e,Speech,neon,neon,Locale_MainScenario:d_main_21_10_e_8,True,,S_50,S_50,1.0,,,,,,,7,void,,,5,delight,,,3,idle,,,1,idle,,,13,rage,,,15,surprise,,,17,good,,,,,
d_main_21_10_e_9,d_main_21_10_e,Speech,noah,noah,Locale_MainScenario:d_main_21_10_e_9,True,,XS_170,XS_170,1.0,,,,,,,7,void,,,5,delight,,,3,idle,,,1,idle,,,13,rage,,,15,idle,,,17,good,,,,,
d_main_21_10_e_10,d_main_21_10_e,Speech,harran,harran,Locale_MainScenario:d_main_21_10_e_10,True,,XS_170,130,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,good,,,,,
d_main_21_10_e_11,d_main_21_10_e,Speech,harran,harran,Locale_MainScenario:d_main_21_10_e_11,True,,130,13,1.0,,,,,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,
