id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,fade
d_main_34_09_s_1,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_1,True,EventScene_Chap_34_07,behemothandlevi_01,behemothandlevi_01,1.0,ambient_scn_behemoth,bgm_disaster,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_2,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_2,True,,behemothandlevi_01,behemothandlevi_01,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_3,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_3,True,,behemothandlevi_01,1,1.5,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_4,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_4,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_5,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_5,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_6,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_6,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_7,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_7,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_8,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_8,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_9,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_9,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_10,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_10,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_11,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_11,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_12,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_12,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_13,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_13,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_14,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_14,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_15,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_15,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_16,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_16,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_17,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_17,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_18,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_18,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_19,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_19,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_20,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_20,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_21,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_21,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_22,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_22,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_23,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_23,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
