id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,fade,effects/0/stop_effect_id
d_main_24_14_e_1,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_1,True,neon,19,idle,anis,17,idle,rapi,15,idle,Factory,16,16,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_2,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_2,True,,19,idle,,17,worry,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_3,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_3,True,,19,idle,,17,idle,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_4,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_4,True,,19,worry,,17,idle,,15,idle,,S_190,S_190,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_5,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_5,True,,19,worry,,17,idle,,15,idle,,S_190,S_190,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_6,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_6,True,,19,worry,,17,worry,,15,idle,,S_190,S_190,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_7,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_7,True,,19,idle,,17,worry,,15,idle,,S_190,S_190,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_8,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_8,True,,19,idle,,17,worry,,15,idle,,S_190,S_190,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_9,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_9,False,,19,idle,,17,sad,,15,idle,,170,170,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_10,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_10,False,,19,idle,,17,sad,,15,think,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_11,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_11,True,,19,idle,,17,void,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_12,d_main_24_14_e,Self,,Self,Locale_MainScenario:d_main_24_14_e_12,False,,19,idle,,17,void,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_13,d_main_24_14_e,Self,,Self,Locale_MainScenario:d_main_24_14_e_13,False,,19,idle,,17,void,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_14,d_main_24_14_e,Self,,Self,Locale_MainScenario:d_main_24_14_e_14,False,,19,idle,,17,void,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_15,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_15,False,,19,idle,,17,void,,15,worry,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_16,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_16,False,,19,idle,,17,worry,,15,worry,,170,170,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_17,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_17,False,,19,worry,,17,worry,,15,worry,,S_190,S_190,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_18,d_main_24_14_e,Self,,Self,Locale_MainScenario:d_main_24_14_e_18,False,,19,worry,,17,worry,,15,idle,,S_190,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_19,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_19,True,,19,idle,,17,worry,,15,idle,,18,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_20,d_main_24_14_e,Narration,,Narration,Locale_MainScenario:d_main_24_14_e_20,False,,19,idle,,17,worry,,15,idle,,black,black,1.0,,sfx_scn_collapsewall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_21,d_main_24_14_e,Narration,,Narration,Locale_MainScenario:d_main_24_14_e_21,False,,19,idle,,17,worry,,15,idle,,black,black,1.0,,sfx_scn_2collapsewall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_22,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_22,False,,19,idle,,17,worry,,15,idle,,18,18,1.0,,,Low_3_Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_23,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_23,True,,19,idle,,17,angry,,15,idle,,18,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_24,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_24,True,,19,surprise,,17,angry,,15,idle,,18,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_25,d_main_24_14_e,Narration,,Narration,Locale_MainScenario:d_main_24_14_e_25,False,,19,surprise,,17,angry,,15,idle,,black,black,1.0,,sfx_scn_3collapsewall,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_26,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_26,False,,19,idle,,17,angry,,15,idle,DestroyedStreet,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_27,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_27,False,,19,idle,,17,angry,,15,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_28,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_28,True,,19,idle,,17,angry,,15,angry,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_29,d_main_24_14_e,Speech,anis,anis,Locale_MainScenario:d_main_24_14_e_29,True,,19,idle,,17,angry,,15,angry,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_30,d_main_24_14_e,Self,,Self,Locale_MainScenario:d_main_24_14_e_30,False,,19,idle,,17,angry,,15,angry,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_31,d_main_24_14_e,Speech,neon,neon,Locale_MainScenario:d_main_24_14_e_31,True,,19,worry,,17,angry,,15,angry,,16,18,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_32,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_32,True,,19,worry,,17,angry,,15,angry,,18,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_33,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_33,False,,19,idle,,17,angry,,15,angry,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_34,d_main_24_14_e,Speech,rapi,rapi,Locale_MainScenario:d_main_24_14_e_34,True,,19,idle,,17,angry,,15,angry,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_35,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_35,False,,19,idle,,17,angry,,15,angry,,16,3,3.0,bgm_hopeless,,,indivilia,3,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_36,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_36,False,,19,idle,,17,idle,,15,angry,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_37,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_37,False,,19,idle,,17,idle,,15,idle,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_14_e_38,d_main_24_14_e,Monologue,,Monologue,Locale_MainScenario:d_main_24_14_e_38,False,,19,idle,,17,idle,,15,idle,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,
