id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound
d_main_35_05_e_1,d_main_35_05_e,Monologue,maxwell,Locale_MainScenario:d_main_35_05_e_1,False,rapi_red,5,idle,cinderella,3,idle,grave_p,1,idle,maxwell,13,idle_02,laplace,15,idle,BlackSeaJungle,130,130,1.0,bgm_story_empathize,,
d_main_35_05_e_2,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_2,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_3,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_3,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_4,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_4,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_5,d_main_35_05_e,Speech,cinderella,Locale_MainScenario:d_main_35_05_e_5,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,S_30,S_30,1.0,,cinderella,
d_main_35_05_e_6,d_main_35_05_e,Monologue,cinderella,Locale_MainScenario:d_main_35_05_e_6,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,S_30,S_30,1.0,,,
d_main_35_05_e_7,d_main_35_05_e,Narration,cinderella,Locale_MainScenario:d_main_35_05_e_7,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,S_30,S_30,1.0,,,sfx_scn_magicbubble
d_main_35_05_e_8,d_main_35_05_e,Monologue,cinderella,Locale_MainScenario:d_main_35_05_e_8,False,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,S_30,S_30,1.0,,,
d_main_35_05_e_9,d_main_35_05_e,Speech,cinderella,Locale_MainScenario:d_main_35_05_e_9,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,S_30,S_30,1.0,,cinderella,
d_main_35_05_e_10,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_10,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_11,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_11,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_12,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_12,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_13,d_main_35_05_e,Speech,grave_p,Locale_MainScenario:d_main_35_05_e_13,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,2,2,1.0,,grave_p,
d_main_35_05_e_14,d_main_35_05_e,Speech,cinderella,Locale_MainScenario:d_main_35_05_e_14,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,2,2,1.0,,cinderella,
d_main_35_05_e_15,d_main_35_05_e,Speech,rapi_red,Locale_MainScenario:d_main_35_05_e_15,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,2,4,1.0,,rapi_red,
d_main_35_05_e_16,d_main_35_05_e,Speech,cinderella,Locale_MainScenario:d_main_35_05_e_16,True,,5,idle,,3,surprise,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,cinderella,
d_main_35_05_e_17,d_main_35_05_e,Speech,rapi_red,Locale_MainScenario:d_main_35_05_e_17,True,,5,idle,,3,surprise,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,rapi_red,
d_main_35_05_e_18,d_main_35_05_e,Speech,rapi_red,Locale_MainScenario:d_main_35_05_e_18,True,,5,idle,,3,surprise,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,rapi_red,
d_main_35_05_e_19,d_main_35_05_e,Speech,rapi_red,Locale_MainScenario:d_main_35_05_e_19,True,,5,idle,,3,surprise,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,rapi_red,
d_main_35_05_e_20,d_main_35_05_e,Speech,rapi_red,Locale_MainScenario:d_main_35_05_e_20,True,,5,idle,,3,surprise,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,rapi_red,
d_main_35_05_e_21,d_main_35_05_e,Speech,cinderella,Locale_MainScenario:d_main_35_05_e_21,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,4,4,1.0,,cinderella,
d_main_35_05_e_22,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_22,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_23,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_23,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
d_main_35_05_e_24,d_main_35_05_e,Speech,maxwell,Locale_MainScenario:d_main_35_05_e_24,True,,5,idle,,3,idle,,1,idle,,13,idle_02,,15,idle,,130,130,1.0,,maxwell,
