id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_18_12_s_1,d_main_18_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_18_12_s_1,True,GreatHole,30,30,1.0,bgm_disaster,,,neon,7,idle,anis,5,void,rapi,3,idle,maxwell,1,idle,drake,13,idle,laplace,15,sad
d_main_18_12_s_2,d_main_18_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_18_12_s_2,True,,30,30,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_3,d_main_18_12_s,Speech,anis,anis,Locale_MainScenario:d_main_18_12_s_3,True,,30,4,1.0,,,,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_4,d_main_18_12_s,Speech,neon,neon,Locale_MainScenario:d_main_18_12_s_4,True,,4,6,1.0,,,,,7,surprise,,5,angry,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_5,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_5,True,,10,10,1.0,,,,,7,surprise,,5,angry,,3,idle,,1,shy,,13,idle,,15,sad
d_main_18_12_s_6,d_main_18_12_s,Speech,drake,drake,Locale_MainScenario:d_main_18_12_s_6,True,,10,130,1.0,,,,,7,idle,,5,void,,3,idle,,1,shy,,13,angry,,15,sad
d_main_18_12_s_7,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_7,True,,130,12,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,angry,,15,sad
d_main_18_12_s_8,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_8,True,,12,12,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,angry,,15,sad
d_main_18_12_s_9,d_main_18_12_s,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_s_9,False,,S_150,S_150,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,no,,15,sad
d_main_18_12_s_10,d_main_18_12_s,Speech,drake,drake,Locale_MainScenario:d_main_18_12_s_10,True,,S_150,130,2.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,no,,15,sad
d_main_18_12_s_11,d_main_18_12_s,Speech,drake,drake,Locale_MainScenario:d_main_18_12_s_11,True,,130,1300,0.5,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,delight,,15,sad
d_main_18_12_s_12,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_12,True,,1300,1300,1.0,,,,,7,idle,,5,void,,3,idle,,1,angry,,13,delight,,15,sad
d_main_18_12_s_13,d_main_18_12_s,Speech,drake,drake,Locale_MainScenario:d_main_18_12_s_13,False,,1300,130,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,no,,15,sad
d_main_18_12_s_14,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_14,True,,130,10,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,no,,15,sad
d_main_18_12_s_15,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_15,True,,10,10,1.0,,,,,7,idle,,5,void,,3,idle,,1,delight,,13,idle,,15,sad
d_main_18_12_s_16,d_main_18_12_s,Speech,drake,drake,Locale_MainScenario:d_main_18_12_s_16,True,,10,12,1.0,,,,,7,idle,,5,void,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_17,d_main_18_12_s,Speech,anis,anis,Locale_MainScenario:d_main_18_12_s_17,True,,6,6,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_18,d_main_18_12_s,Speech,anis,anis,Locale_MainScenario:d_main_18_12_s_18,True,,6,6,1.0,,,,,7,idle,,5,delight,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_19,d_main_18_12_s,Speech,neon,neon,Locale_MainScenario:d_main_18_12_s_19,True,,6,6,1.0,,,,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_20,d_main_18_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_18_12_s_20,True,,6,4,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
