id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,jump_target
d_ex_gym_06_1,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_1,False,Gym,7,7,1.0,none,,,,,,,,,,,,,,
d_ex_gym_06_2,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_2,True,,7,2,1.0,bgm_story_whosdumber,poli,poli,poli,1,surprise,quiry,3,idle,miranda,13,idle,,,
d_ex_gym_06_3,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_3,False,,2,2,1.0,,,,,1,surprise,,3,surprise,,13,idle,sfx_scn_heavytrip,Low_2,
d_ex_gym_06_4,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_4,True,,2,2,1.0,,quiry,quiry,,1,surprise,,3,surprise,,13,idle,,,
d_ex_gym_06_5,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_5,True,,2,2,1.0,,poli,poli,,1,sad,,3,surprise,,13,idle,,,
d_ex_gym_06_6,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_6,True,,2,12,1.0,,miranda,miranda,,1,sad,,3,surprise,,13,idle,,,
d_ex_gym_06_7,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_7,False,,12,12,1.0,,,,,1,sad,,3,surprise,,13,idle,,,
d_ex_gym_06_8,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_8,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_9,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_9,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_10,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_10,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_11,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_11,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_12,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_12,False,,12,12,1.0,,,,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_13,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_13,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_14,d_ex_gym_06,Choice,Locale_SuddenStory:d_ex_gym_06_14,False,,12,12,1.0,,,,,1,idle,,3,idle,,13,idle,,,d_ex_gym_06_16
d_ex_gym_06_15,d_ex_gym_06,Choice,Locale_SuddenStory:d_ex_gym_06_15,False,,12,12,1.0,,,,,1,idle,,3,idle,,13,idle,,,d_ex_gym_06_17
d_ex_gym_06_16,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_16,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,d_ex_gym_06_20
d_ex_gym_06_17,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_17,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_18,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_18,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_19,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_19,False,,12,12,1.0,,,,,1,idle,,3,idle,,13,idle,,,d_ex_gym_06_20
d_ex_gym_06_20,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_20,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_21,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_21,True,,12,XS_10,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_22,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_22,True,,XS_10,XS_10,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_23,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_23,True,,XS_10,S_130,1.0,,miranda,miranda,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_24,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_24,False,,S_130,S_130,1.0,,,,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_25,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_25,True,,S_30,S_30,1.0,,poli,poli,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_26,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_26,True,,S_30,S_30,1.0,,quiry,quiry,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_27,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_27,False,,S_30,3,1.0,,,,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_28,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_28,True,,3,1,1.0,,poli,poli,,1,sad,,3,idle,,13,delight,,,
d_ex_gym_06_29,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_29,True,,1,1,1.0,,poli,poli,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_30,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_30,False,,black,black,1.0,,,,,1,idle,,3,idle,,13,delight,,,
d_ex_gym_06_31,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_31,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_32,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_32,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_33,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_33,False,,12,12,1.0,,,,,1,idle,,3,idle,,13,idle,sfx_scn_remotesignal,,
d_ex_gym_06_34,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_34,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_35,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_35,False,,12,3,1.0,,,,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_36,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_36,False,,3,3,1.0,,,,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_37,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_37,True,,3,3,1.0,,quiry,quiry,,1,idle,,3,surprise,,13,idle,,,
d_ex_gym_06_38,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_38,False,,3,S_30,0.6,,,,,1,idle,,3,surprise,,13,idle,sfx_scn_heavytrip,Low_2,
d_ex_gym_06_39,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_39,True,,S_30,S_30,1.0,,quiry,quiry,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_40,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_40,True,,S_130,S_130,1.0,,miranda,miranda,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_41,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_41,True,,S_30,S_30,1.0,,quiry,quiry,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_42,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_42,True,,S_30,2,1.0,,poli,poli,,1,angry,,3,sad,,13,idle,,,
