id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
d_main_33_02_e_1,d_main_33_02_e,Narration,Locale_MainScenario:d_main_33_02_e_1,False,mana,1,idle,grave_no,13,idle,Hospital,black,black,1.0,bgm_story_beforethenextstep,,
d_main_33_02_e_2,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_2,True,,1,idle,,13,idle,,113,113,1.0,,mana,mana
d_main_33_02_e_3,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_3,True,,1,idle,,13,idle,,113,113,1.0,,grave_no,grave_no
d_main_33_02_e_4,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_4,True,,1,idle,,13,idle,,113,113,1.0,,mana,mana
d_main_33_02_e_5,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_5,True,,1,idle,,13,idle,,113,113,1.0,,grave_no,grave_no
d_main_33_02_e_6,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_6,True,,1,idle,,13,idle,,113,113,1.0,,grave_no,grave_no
d_main_33_02_e_7,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_7,True,,1,idle,,13,idle,,113,113,1.0,,mana,mana
d_main_33_02_e_8,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_8,True,,1,idle,,13,idle,,113,L_130,1.0,,grave_no,grave_no
d_main_33_02_e_9,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_9,True,,1,idle,,13,idle,,L_130,L_130,1.0,,grave_no,grave_no
d_main_33_02_e_10,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_10,True,,1,idle,,13,idle,,L_130,L_130,1.0,,grave_no,grave_no
d_main_33_02_e_11,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_11,True,,1,idle,,13,idle,,L_130,10,1.0,,mana,mana
d_main_33_02_e_12,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_12,True,,1,idle,,13,idle,,10,10,1.0,,mana,mana
d_main_33_02_e_13,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_13,True,,1,idle,,13,idle,,10,10,1.0,,mana,mana
d_main_33_02_e_14,d_main_33_02_e,Speech,Locale_MainScenario:d_main_33_02_e_14,True,,1,idle,,13,idle,,10,10,1.0,,mana,mana
