id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,fade,jump_target
d_main_13af_01_1,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_1,True,mary,3,worry,pepper,5,shy,Hospital,XS_30,XS_30,1.0,bgm_story_stormbreakers,,,,,,,,,,
d_main_13af_01_2,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_2,True,,3,worry,,5,shy,,XS_30,XS_30,1.0,,,,,,,,,,,
d_main_13af_01_3,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_3,True,,3,worry,,5,surprise,,XS_30,XS_50,1.0,,,,,,,,,,,
d_main_13af_01_4,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_4,False,,3,worry,,5,surprise,,XS_50,XS_500,2.0,,,,,,,,,,,
d_main_13af_01_5,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_5,True,,3,worry,,5,shy,,XS_500,XS_500,1.0,,,,,,,,,,,
d_main_13af_01_6,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_6,True,,3,worry,,5,shy,,XS_30,XS_30,1.0,,,,,,,,,,,
d_main_13af_01_7,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_7,True,,3,worry,,5,shy,,XS_500,4,1.0,,,,,,,,,,,
d_main_13af_01_8,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_8,True,,3,worry,,5,shy,,4,4,1.0,,,,,,,,,,,
d_main_13af_01_9,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_9,True,,3,worry,,5,shy,,4,4,1.0,,,,,,,,,,,
d_main_13af_01_10,d_main_13af_01,Narration,mary,,Locale_MainScenario:d_main_13af_01_10,False,,3,worry,,5,shy,,4,4,1.0,,sfx_scn_emergencysignal,,,,,,,,,
d_main_13af_01_11,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_11,False,,3,worry,,5,shy,,4,XS_30,0.5,,,,,,,,,,,
d_main_13af_01_12,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_12,True,,3,worry,,5,shy,,XS_50,XS_50,1.0,,,,,,,,,,,
d_main_13af_01_13,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_13,True,,3,worry,,5,shy,,XS_30,4,1.0,,,,,,,,,,,
d_main_13af_01_14,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_14,True,,3,worry,,5,shy,,4,4,1.0,,,,,,,,,,,
d_main_13af_01_15,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_15,True,,3,worry,,5,shy,,black,black,1.0,,,andersen,1,idle,,,,,,
d_main_13af_01_16,d_main_13af_01,Speech,pepper,pepper,Locale_MainScenario:d_main_13af_01_16,True,,3,worry,,5,shy,,1,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_17,d_main_13af_01,Speech,mary,mary,Locale_MainScenario:d_main_13af_01_17,True,,3,worry,,5,shy,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_18,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_18,True,,3,worry,,5,shy,,L_10,L_10,1.0,none,,,1,idle,,,,,,
d_main_13af_01_19,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_19,False,,3,worry,,5,shy,,1,1,1.0,,,,1,idle,andersen,mary,pepper,Blur_Low,black,
d_main_13af_01_20,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_20,False,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_13af_01_21,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_21,False,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_13af_01_22,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_22,False,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_13af_01_23,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_23,False,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_13af_01_24,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_24,False,,,,,,,,black,black,1.0,,,,,,,,,,,
d_main_13af_01_25,d_main_13af_01,Monologue,,,Locale_MainScenario:d_main_13af_01_25,False,,,,,,,,black,black,1.0,,,,,,,,,,,
d_main_13af_01_26,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_26,True,,,,,,,,black,black,1.0,bgm_story_fairytalesend_if,,andersen,1,idle,,,,,,
