id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_subquest_1131_1,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_1,True,CityForest_04,1,1,1.0,bgm_distress,,neon,3,idle,,anis,1,worry,,rapi,13,idle,
d_subquest_1131_2,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_2,True,,1,1,1.0,,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1131_3,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_3,True,,1,1,1.0,,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1131_4,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_4,True,,1,2,1.0,,,,3,idle,,,1,void,,,13,idle,
d_subquest_1131_5,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_5,True,,2,2,1.0,,,,3,idle,,,1,void,,,13,idle,
d_subquest_1131_6,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_6,True,,2,12,1.0,,,,3,idle,,,1,void,,,13,idle,
d_subquest_1131_7,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_7,True,,12,12,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_8,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_8,True,,12,10,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_9,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_9,True,,10,10,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_10,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_10,True,,10,S_30,1.0,,,,3,surprise,,,1,idle,,,13,idle,
d_subquest_1131_11,d_subquest_1131,Self,,Self,Locale_SubScenario:d_subquest_1131_11,False,,S_30,S_30,1.0,,,,3,surprise,,,1,idle,,,13,idle,
d_subquest_1131_12,d_subquest_1131,Narration,,Narration,Locale_SubScenario:d_subquest_1131_12,False,CityForest_01,1,1,1.0,none,black,,3,surprise,neon,,1,idle,anis,,13,idle,rapi
d_subquest_1131_13,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_13,True,,1,1,1.0,bgm_story_orangepop,,neon,3,idle,,anis,1,delight,,rapi,13,idle,
d_subquest_1131_14,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_14,True,,1,1,1.0,,,,3,idle,,,1,delight,,,13,idle,
d_subquest_1131_15,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_15,True,,1,2,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_16,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_16,True,,2,2,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_17,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_17,True,,2,2,1.0,,,,3,idle,,,1,worry,,,13,idle,
d_subquest_1131_18,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_18,True,,2,2,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_19,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_19,False,,2,13,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_20,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_20,False,,13,130,2.0,,,,3,idle,,,1,idle,,,13,worry,
d_subquest_1131_21,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_21,True,,130,16,0.5,,,,3,idle,,,1,idle,,,13,worry,
d_subquest_1131_22,d_subquest_1131,Self,,Self,Locale_SubScenario:d_subquest_1131_22,False,,16,16,1.0,,,,3,idle,,,1,idle,,,13,worry,
d_subquest_1131_23,d_subquest_1131,Self,,Self,Locale_SubScenario:d_subquest_1131_23,False,,16,16,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_24,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_24,True,,16,10,0.5,,,,3,idle,,,1,angry,,,13,idle,
d_subquest_1131_25,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_25,True,,10,130,0.5,,,,3,idle,,,1,angry,,,13,idle,
d_subquest_1131_26,d_subquest_1131,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1131_26,True,,130,130,1.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_27,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_27,True,,130,S_30,1.0,,,,3,delight,,,1,idle,,,13,idle,
d_subquest_1131_28,d_subquest_1131,Speech,neon,neon,Locale_SubScenario:d_subquest_1131_28,True,,S_30,S_30,1.0,,,,3,delight,,,1,idle,,,13,idle,
d_subquest_1131_29,d_subquest_1131,Self,,Self,Locale_SubScenario:d_subquest_1131_29,False,,S_30,S_30,1.0,,,,3,delight,,,1,idle,,,13,idle,
d_subquest_1131_30,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_30,True,,S_30,10,2.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_31,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_31,True,,10,10,1.0,,,,3,idle,,,1,shy,,,13,idle,
d_subquest_1131_32,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_32,True,,10,10,1.0,,,,3,idle,,,1,shy,,,13,idle,
d_subquest_1131_33,d_subquest_1131,Narration,,Narration,Locale_SubScenario:d_subquest_1131_33,False,,10,160,2.0,,,,3,idle,,,1,shy,,,13,idle,
d_subquest_1131_34,d_subquest_1131,Narration,,Narration,Locale_SubScenario:d_subquest_1131_34,False,,160,16,1.0,,,,3,idle,,,1,shy,,,13,idle,
d_subquest_1131_35,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_35,False,,16,1,2.0,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1131_36,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_36,True,,1,1,1.0,,,,3,idle,,,1,delight,,,13,idle,
d_subquest_1131_37,d_subquest_1131,Speech,anis,anis,Locale_SubScenario:d_subquest_1131_37,True,,1,1,1.0,,,,3,idle,,,1,delight,,,13,idle,
