id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/set_char_position,characters/2/show_char_id,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id
d_ex_toyshop_02_1,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_1,False,ToyShop,black,black,1.0,sfx_scn_toyshopbell,none,Red,,,,,,,,,,,,,,
d_ex_toyshop_02_2,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_2,True,,53,53,1.0,,,Red,belorta,belorta,belorta,3,delight,mica,5,delight,,,,,,
d_ex_toyshop_02_3,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_3,True,,53,53,1.0,,,Red,mica,mica,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_4,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_4,False,,black,black,1.0,,bgm_story_fairytalesend_if,Red,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_5,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_5,False,,black,black,1.0,,,Red,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_6,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_6,False,,53,53,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_7,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_7,True,,53,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_8,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_8,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_9,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_9,False,,XS_30,XS_30,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_10,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_10,True,,XS_30,53,1.0,,,,belorta,belorta,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_11,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_11,True,,53,53,1.0,,,,mica,mica,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_12,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_12,True,,53,53,1.0,,,,belorta,belorta,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_13,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_13,False,,53,53,1.0,,,,,,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_14,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_14,True,,53,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_15,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_15,False,,XS_30,XS_30,1.0,,none,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_16,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_16,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_17,d_ex_toyshop_02,Choice,Locale_SuddenStory:d_ex_toyshop_02_17,False,,XS_30,XS_30,1.0,,,,,,,3,idle,,5,idle,d_ex_toyshop_02_19,,,,,
d_ex_toyshop_02_18,d_ex_toyshop_02,Choice,Locale_SuddenStory:d_ex_toyshop_02_18,False,,XS_30,XS_30,1.0,,,,,,,3,idle,,5,idle,d_ex_toyshop_02_21,,,,,
d_ex_toyshop_02_19,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_19,True,,XS_30,XS_300,1.0,,,,belorta,belorta,,3,delight,,5,idle,,,,,,
d_ex_toyshop_02_20,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_20,True,,XS_300,XS_300,1.0,,,,belorta,belorta,,3,delight,,5,idle,d_ex_toyshop_02_25,,,,,
d_ex_toyshop_02_21,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_21,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,delight,,5,idle,,,,,,
d_ex_toyshop_02_22,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_22,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,delight,,5,idle,,,,,,
d_ex_toyshop_02_23,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_23,True,,XS_50,XS_50,1.0,,,,mica,mica,,3,delight,,5,worry,,,,,,
d_ex_toyshop_02_24,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_24,True,,XS_300,XS_300,1.0,,,,belorta,belorta,,3,delight,,5,worry,d_ex_toyshop_02_25,,,,,
d_ex_toyshop_02_25,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_25,False,,XS_300,XS_30,1.0,,,,,,,3,delight,,5,worry,,,,,,
d_ex_toyshop_02_26,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_26,False,,black,black,1.0,,,,,,,3,idle,,5,worry,,,,,,
d_ex_toyshop_02_27,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_27,True,,53,53,1.0,,bgm_story_languor,,belorta,belorta,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_28,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_28,True,,53,53,1.0,,,,mica,mica,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_29,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_29,True,,53,53,1.0,,,,belorta,belorta,,3,delight,,5,delight,,,,,,
d_ex_toyshop_02_30,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_30,False,,53,53,1.0,sfx_scn_toyshopbell,,,belorta,,,3,delight,,5,delight,,17,,,,
d_ex_toyshop_02_31,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_31,True,,53,15,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,maiden,idle,,
d_ex_toyshop_02_32,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_32,True,,15,15,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_33,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_33,True,,15,S_150,0.5,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_34,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_34,False,,S_150,S_150,1.0,,,,,,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_35,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_35,True,,S_150,S_150,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_36,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_36,True,,S_150,S_150,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_37,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_37,False,,S_150,S_150,1.0,,,,,,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_38,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_38,True,,S_150,S_150,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_39,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_39,True,,S_150,S_150,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_40,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_40,True,,S_150,S_150,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
