id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,conversation_id
d_main_26_12_e_1,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_1,True,rapi,3,idle,anis,1,sad,neon,13,idle,CountryVillage_d,30,3,1.0,ambient_scn_wind,,,,,,
d_main_26_12_e_2,d_main_26_12_e,Speech,anis,anis,Locale_MainScenario:d_main_26_12_e_2,True,,3,idle,,1,sad,,13,idle,,3,12,1.0,,,,,,,
d_main_26_12_e_3,d_main_26_12_e,Speech,neon,neon,Locale_MainScenario:d_main_26_12_e_3,True,,3,idle,,1,worry,,13,idle,,12,12,1.0,,,,,,,
d_main_26_12_e_4,d_main_26_12_e,Speech,neon,neon,Locale_MainScenario:d_main_26_12_e_4,True,,3,idle,,1,worry,,13,idle,,12,12,1.0,,,,,,,
d_main_26_12_e_5,d_main_26_12_e,Narration,,,Locale_MainScenario:d_main_26_12_e_5,False,,3,idle,,1,worry,,13,idle,,12,12,1.0,bgm_emergency,sfx_scn_earthquake,Low_2,,,,
d_main_26_12_e_6,d_main_26_12_e,Speech,anis,anis,Locale_MainScenario:d_main_26_12_e_6,True,,3,idle,,1,angry,,13,idle,,12,12,1.0,,,,,,,
d_main_26_12_e_7,d_main_26_12_e,Speech,neon,neon,Locale_MainScenario:d_main_26_12_e_7,True,,3,idle,,1,angry,,13,worry,,12,12,1.0,,,,,,,
d_main_26_12_e_8,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_8,True,,3,idle,,1,void,,13,worry,,12,3,1.0,,,,,,,
d_main_26_12_e_9,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_9,True,,3,idle,,1,void,,13,worry,,3,3,1.0,,,,,,,
d_main_26_12_e_10,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_10,True,,3,idle,,1,void,,13,worry,,3,3,1.0,,,,,,,
d_main_26_12_e_11,d_main_26_12_e,Self,,,Locale_MainScenario:d_main_26_12_e_11,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,,,,
