id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_15_07_s_1,d_main_15_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_15_07_s_1,True,JunkMountain,6,6,1.0,bgm_recognition,,,,,rapi,6,idle,,anis,4,void,,neon,2,idle,,dolla,12,idle,,yan,14,idle,,rupee,16,idle,
d_main_15_07_s_2,d_main_15_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_15_07_s_2,True,,6,6,1.0,,,,,,,6,idle,,,4,void,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_3,d_main_15_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_15_07_s_3,True,,6,9,2.0,,,,,,,6,think,,,4,void,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_4,d_main_15_07_s,Self,,Self,Locale_MainScenario:d_main_15_07_s_4,False,,9,9,1.0,,,,,,,6,think,,,4,void,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_5,d_main_15_07_s,Speech,anis,anis,Locale_MainScenario:d_main_15_07_s_5,True,,4,4,1.0,,,,,,,6,think,,,4,worry,,,2,idle,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_6,d_main_15_07_s,Speech,neon,neon,Locale_MainScenario:d_main_15_07_s_6,True,,4,2,1.0,,,,,,,6,think,,,4,worry,,,2,worry,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_7,d_main_15_07_s,Speech,neon,neon,Locale_MainScenario:d_main_15_07_s_7,True,,2,2,1.0,,,,,,,6,think,,,4,worry,,,2,worry,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_8,d_main_15_07_s,Speech,neon,neon,Locale_MainScenario:d_main_15_07_s_8,True,,2,S_20,1.0,,,,,,,6,think,,,4,worry,,,2,angry,,,12,idle,,,14,idle,,,16,idle,
d_main_15_07_s_9,d_main_15_07_s,Speech,dolla,dolla,Locale_MainScenario:d_main_15_07_s_9,False,,S_20,S_120,1.0,,,,,,,6,think,,,4,idle,,,2,angry,,,12,surprise,,,14,idle,,,16,idle,
d_main_15_07_s_10,d_main_15_07_s,Monologue,,,Locale_MainScenario:d_main_15_07_s_10,False,,S_120,12,2.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,idle,,,16,idle,
d_main_15_07_s_11,d_main_15_07_s,Speech,dolla,dolla,Locale_MainScenario:d_main_15_07_s_11,True,,12,12,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,idle,,,16,idle,
d_main_15_07_s_12,d_main_15_07_s,Speech,dolla,dolla,Locale_MainScenario:d_main_15_07_s_12,True,,12,12,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,idle,,,16,idle,
d_main_15_07_s_13,d_main_15_07_s,Monologue,,,Locale_MainScenario:d_main_15_07_s_13,False,,12,14,1.5,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,surprise,,,16,idle,
d_main_15_07_s_14,d_main_15_07_s,Speech,yan,yan,Locale_MainScenario:d_main_15_07_s_14,True,,14,14,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,surprise,,,16,idle,
d_main_15_07_s_15,d_main_15_07_s,Speech,yan,yan,Locale_MainScenario:d_main_15_07_s_15,True,,14,14,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,surprise,,,16,idle,
d_main_15_07_s_16,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_16,True,,14,16,2.0,none,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,surprise,,,16,surprise,
d_main_15_07_s_17,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_17,True,,16,L_1600,0.3,bgm_story_shopperholic,,,,,,6,idle,,,4,idle,,,2,idle,,,12,surprise,,,14,surprise,,,16,delight,
d_main_15_07_s_18,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_18,True,,L_1600,16,0.3,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,delight,
d_main_15_07_s_19,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_19,True,,16,17,0.3,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,delight,
d_main_15_07_s_20,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_20,True,,17,L_160,2.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,surprise,
d_main_15_07_s_21,d_main_15_07_s,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_s_21,True,,L_160,L_1600,0.3,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,delight,
d_main_15_07_s_22,d_main_15_07_s,Speech,yan,yan,Locale_MainScenario:d_main_15_07_s_22,True,,L_1600,S_140,0.3,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,shy,,,16,delight,
d_main_15_07_s_23,d_main_15_07_s,Speech,yan,yan,Locale_MainScenario:d_main_15_07_s_23,True,,S_140,S_140,1.0,,,,,,,6,idle,,,4,idle,,,2,idle,,,12,idle,,,14,shy,,,16,delight,
d_main_15_07_s_24,d_main_15_07_s,Speech,neon,neon,Locale_MainScenario:d_main_15_07_s_24,False,,S_140,S_20,0.3,,,,,,,6,idle,,,4,idle,,,2,surprise,,,12,idle,,,14,shy,,,16,delight,
d_main_15_07_s_25,d_main_15_07_s,Speech,anis,anis,Locale_MainScenario:d_main_15_07_s_25,False,,S_20,40,0.3,,,,,,,6,idle,,,4,angry,,,2,surprise,,,12,idle,,,14,shy,,,16,idle,
d_main_15_07_s_26,d_main_15_07_s,Monologue,,,Locale_MainScenario:d_main_15_07_s_26,False,,3,3,1.0,,,,,,,6,idle,,,9,angry,anis,,14,surprise,neon,,12,idle,dolla,,14,idle,,,16,idle,
d_main_15_07_s_27,d_main_15_07_s,Monologue,,,Locale_MainScenario:d_main_15_07_s_27,False,,3,3,1.0,,Low_2,,,,,6,idle,,,,,,,,,,,,,,,14,idle,,,16,idle,
