id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
d_ex_modernbar_07_1,d_ex_modernbar_07,Monologue,Locale_SuddenStory:d_ex_modernbar_07_1,False,Bar,black,black,1.0,bgm_story_epicjazzymoods,,,,,,,,,,,
d_ex_modernbar_07_2,d_ex_modernbar_07,Monologue,Locale_SuddenStory:d_ex_modernbar_07_2,False,,black,black,1.0,,,,,,,,,,,,
d_ex_modernbar_07_3,d_ex_modernbar_07,Narration,Locale_SuddenStory:d_ex_modernbar_07_3,False,,1,1,1.0,,sfx_scn_toyshopbell,,,,,,,,,,
d_ex_modernbar_07_4,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_4,True,,1,L_10,1.0,,,noir,noir,noir,1,shy,ade,13,idle,,
d_ex_modernbar_07_5,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_5,True,,L_10,L_10,1.0,,,noir,noir,,1,shy,,13,idle,,
d_ex_modernbar_07_6,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_6,True,,L_10,L_10,1.0,,,noir,noir,,1,surprise,,13,idle,,
d_ex_modernbar_07_7,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_7,True,,L_10,12,1.0,,,ade,ade,,1,surprise,,13,delight,,
d_ex_modernbar_07_8,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_8,True,,12,12,1.0,,,ade,ade,,1,surprise,,13,delight,,
d_ex_modernbar_07_9,d_ex_modernbar_07,Self,Locale_SuddenStory:d_ex_modernbar_07_9,False,,12,12,1.0,,,ade,,,1,surprise,,13,delight,,
d_ex_modernbar_07_10,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_10,True,,12,12,1.0,,,ade,ade,,1,surprise,,13,idle,,
d_ex_modernbar_07_11,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_11,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_12,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_12,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_13,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_13,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_14,d_ex_modernbar_07,Self,Locale_SuddenStory:d_ex_modernbar_07_14,False,,12,12,1.0,,,noir,,,1,idle,,13,idle,,
d_ex_modernbar_07_15,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_15,True,,12,130,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_16,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_16,True,,130,130,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_17,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_17,True,,130,130,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_18,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_18,True,,130,130,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_19,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_19,True,,130,130,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_20,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_20,True,,130,130,1.0,,,ade,ade,,1,idle,,13,shy,,
d_ex_modernbar_07_21,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_21,True,,130,130,1.0,,,ade,ade,,1,idle,,13,delight,,
d_ex_modernbar_07_22,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_22,True,,130,12,1.0,,,noir,noir,,1,surprise,,13,delight,,
d_ex_modernbar_07_23,d_ex_modernbar_07,Self,Locale_SuddenStory:d_ex_modernbar_07_23,False,,12,12,1.0,,,noir,,,1,surprise,,13,delight,,
d_ex_modernbar_07_24,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_24,True,,12,12,1.0,,,noir,noir,,1,idle,,13,delight,,
d_ex_modernbar_07_25,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_25,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,,
d_ex_modernbar_07_26,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_26,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_27,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_27,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_28,d_ex_modernbar_07,Self,Locale_SuddenStory:d_ex_modernbar_07_28,False,,12,12,1.0,,,noir,,,1,idle,,13,idle,,
d_ex_modernbar_07_29,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_29,True,,12,L_10,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_30,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_30,True,,L_10,L_10,1.0,,,noir,noir,,1,delight,,13,idle,,
d_ex_modernbar_07_31,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_31,True,,L_10,L_100,1.0,,,noir,noir,,1,delight,,13,idle,,
d_ex_modernbar_07_32,d_ex_modernbar_07,Choice,Locale_SuddenStory:d_ex_modernbar_07_32,False,,L_100,L_100,1.0,,,noir,,,1,delight,,13,idle,d_ex_modernbar_07_34,
d_ex_modernbar_07_33,d_ex_modernbar_07,Choice,Locale_SuddenStory:d_ex_modernbar_07_33,False,,L_100,L_100,1.0,,,noir,,,1,delight,,13,idle,d_ex_modernbar_07_46,
d_ex_modernbar_07_34,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_34,True,,L_100,L_100,1.0,,,noir,noir,,1,surprise,,13,idle,,
d_ex_modernbar_07_35,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_35,True,,L_100,L_100,1.0,,,noir,noir,,1,surprise,,13,idle,,
d_ex_modernbar_07_36,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_36,True,,L_100,12,1.0,,,ade,ade,,1,surprise,,13,idle,,
d_ex_modernbar_07_37,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_37,True,,12,12,1.0,,,ade,ade,,1,surprise,,13,idle,,
d_ex_modernbar_07_38,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_38,True,,12,12,1.0,,,ade,ade,,1,surprise,,13,idle,,
d_ex_modernbar_07_39,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_39,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_40,d_ex_modernbar_07,Speech,Locale_SuddenStory:d_ex_modernbar_07_40,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,
d_ex_modernbar_07_41,d_ex_modernbar_07,Narration,Locale_SuddenStory:d_ex_modernbar_07_41,False,,12,L_100,1.0,,sfx_scn_metalpartsassemble,noir,,,1,idle,,13,idle,,
d_ex_modernbar_07_42,d_ex_modernbar_07,Monologue,Locale_SuddenStory:d_ex_modernbar_07_42,False,,L_100,L_100,1.0,,sfx_scn_fillacup,noir,,,1,idle,,13,idle,,
d_ex_modernbar_07_43,d_ex_modernbar_07,Monologue,Locale_SuddenStory:d_ex_modernbar_07_43,False,,L_100,L_100,1.0,,,noir,,,1,idle,,13,idle,,
