id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_modernbar_03_1,d_ex_modernbar_03,Monologue,Locale_SuddenStory:d_ex_modernbar_03_1,False,Bar,black,black,1.0,bgm_story_whosdumber,Blur_High,,,,,,,,,,
d_ex_modernbar_03_2,d_ex_modernbar_03,Monologue,Locale_SuddenStory:d_ex_modernbar_03_2,False,,5,50,2.0,,Blur_High,Low_2,,,,,,,,,
d_ex_modernbar_03_3,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_3,True,,50,10,2.0,,Blur_Middle,,unknown,unknown,rapunzel,1,idle,,,,
d_ex_modernbar_03_4,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_4,False,,10,10,1.0,,Blur_Middle,,,,,1,idle,,,,
d_ex_modernbar_03_5,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_5,True,,10,10,1.0,,Blur_Middle,,unknown,unknown,,1,idle,,,,
d_ex_modernbar_03_6,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_6,False,,10,10,1.0,,Blur_Middle,,,,,1,idle,,,,
d_ex_modernbar_03_7,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_7,True,,10,100,0.5,,Blur_Low,,rapunzel,rapunzel,,1,idle,,,,
d_ex_modernbar_03_8,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_8,False,,100,100,1.0,,Blur_Low,,,,,1,idle,,,,
d_ex_modernbar_03_9,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_9,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,delight,,,,
d_ex_modernbar_03_10,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_10,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,idle,,,,
d_ex_modernbar_03_11,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_11,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,idle,,,,
d_ex_modernbar_03_12,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_12,False,,100,100,1.0,,,,,,,1,idle,,,,
d_ex_modernbar_03_13,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_13,True,,100,10,1.0,,,,rapunzel,rapunzel,,1,no,,,,
d_ex_modernbar_03_14,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_14,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,no,,,,
d_ex_modernbar_03_15,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_15,False,,10,10,1.0,,,,,,,1,no,,,,
d_ex_modernbar_03_16,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_16,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,no,,,,
d_ex_modernbar_03_17,d_ex_modernbar_03,Choice,Locale_SuddenStory:d_ex_modernbar_03_17,False,,10,10,1.0,,,,,,,1,no,d_ex_modernbar_03_19,,,
d_ex_modernbar_03_18,d_ex_modernbar_03,Choice,Locale_SuddenStory:d_ex_modernbar_03_18,False,,10,10,1.0,,,,,,,1,no,d_ex_modernbar_03_20,,,
d_ex_modernbar_03_19,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_19,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,no,d_ex_modernbar_03_21,,,
d_ex_modernbar_03_20,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_20,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,no,,,,
d_ex_modernbar_03_21,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_21,False,,10,10,1.0,,,,rapunzel,rapunzel,,1,no,,,,
d_ex_modernbar_03_22,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_22,True,,10,100,0.5,,,,rapunzel,rapunzel,,1,delight,,,,
d_ex_modernbar_03_23,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_23,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_24,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_24,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_25,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_25,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_26,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_26,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,pain,,,,
d_ex_modernbar_03_27,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_27,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,pain,,,,
d_ex_modernbar_03_28,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_28,False,,100,100,1.0,,,,,,,1,pain,,,,
d_ex_modernbar_03_29,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_29,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,delight,,,,
d_ex_modernbar_03_30,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_30,False,,100,100,1.0,,,,,,,1,delight,,,,
d_ex_modernbar_03_31,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_31,True,,100,1,0.5,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_32,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_32,True,,1,1,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_33,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_33,False,,1,1,1.0,,,,,,,1,shy,,,,
d_ex_modernbar_03_34,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_34,True,,1,10,0.5,,,,rapunzel,rapunzel,,1,delight,,,,
d_ex_modernbar_03_35,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_35,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,pain,,,,
d_ex_modernbar_03_36,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_36,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_37,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_37,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_38,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_38,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_39,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_39,True,,10,10,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_40,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_40,False,,10,10,1.0,,,,,,,1,shy,,,,
d_ex_modernbar_03_41,d_ex_modernbar_03,Monologue,Locale_SuddenStory:d_ex_modernbar_03_41,False,,10,100,1.0,,,Low_2,,,,1,shy,,,,
d_ex_modernbar_03_42,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_42,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,delight,,,,
d_ex_modernbar_03_43,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_43,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,shy,,,,
d_ex_modernbar_03_44,d_ex_modernbar_03,Narration,Locale_SuddenStory:d_ex_modernbar_03_44,False,,black,black,1.0,,,,,,,1,shy,,sugar,3,delight
d_ex_modernbar_03_45,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_45,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,shy,,,3,delight
d_ex_modernbar_03_46,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_46,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,shy,,,3,delight
d_ex_modernbar_03_47,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_47,True,,S_30,2,0.5,,,,rapunzel,rapunzel,,1,delight,,,3,delight
d_ex_modernbar_03_48,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_48,True,,2,2,1.0,,,,sugar,sugar,,1,delight,,,3,idle
