id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound
d_main_36_09_e_1,d_main_36_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_09_e_1,True,rapi_red,4,angry,maxwell,12,idle_02,laplace,2,angry,drake,14,idle,Jungle2,40,40,1.0,bgm_story_empathize,,
d_main_36_09_e_2,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_2,True,,4,angry,,12,idle_02,,2,angry,,14,idle,,40,3,1.3,,,
d_main_36_09_e_3,d_main_36_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_09_e_3,True,,4,think,,12,idle_02,,2,angry,,14,idle,,3,3,1.0,,,
d_main_36_09_e_4,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_4,True,,4,think,,12,idle_02,,2,angry,,14,idle,,13,13,1.0,,,
d_main_36_09_e_5,d_main_36_09_e,Speech,drake,drake,Locale_MainScenario:d_main_36_09_e_5,True,,4,think,,12,idle_02,,2,angry,,14,idle,,13,13,1.0,,,
d_main_36_09_e_6,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_6,True,,4,think,,12,idle_02,,2,angry,,14,idle,,13,13,1.0,,,
d_main_36_09_e_7,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_7,True,,4,think,,12,idle_02,,2,no,,14,idle,,13,1,1.3,,,
d_main_36_09_e_8,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_8,True,,4,think,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_9,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_9,True,,4,think,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_10,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_10,True,,4,idle,,12,idle_02,,2,sad,,14,idle,,1,1,1.0,,,
d_main_36_09_e_11,d_main_36_09_e,Self,laplace,,Locale_MainScenario:d_main_36_09_e_11,False,,4,idle,,12,idle_02,,2,sad,,14,idle,,1,1,1.0,,,
d_main_36_09_e_12,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_12,True,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_13,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_13,True,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_14,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_14,True,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_15,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_15,True,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_16,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_16,True,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_17,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_17,False,,4,idle,,12,idle_02,,2,sad,,14,idle,,1,1,1.0,,,
d_main_36_09_e_18,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_18,True,,4,idle,,12,idle_02,,2,angry,,14,idle,,1,S_20,0.7,,Low_2,
d_main_36_09_e_19,d_main_36_09_e,Monologue,laplace,,Locale_MainScenario:d_main_36_09_e_19,False,,4,idle,,12,idle_02,,2,angry,,14,idle,,S_20,S_20,1.0,,,sfx_scn_kickwhoosh
d_main_36_09_e_20,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_20,True,,4,idle,,12,angry,,2,angry,,14,idle,,S_20,1,1.3,,,
d_main_36_09_e_21,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_21,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_22,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_22,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_23,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_23,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_24,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_24,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_25,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_25,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_26,d_main_36_09_e,Self,maxwell,,Locale_MainScenario:d_main_36_09_e_26,False,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_27,d_main_36_09_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_e_27,True,,4,idle,,12,angry,,2,angry,,14,idle,,1,1,1.0,,,
d_main_36_09_e_28,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_28,True,,4,idle,,12,angry,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_29,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_29,True,,4,idle,,12,angry,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_30,d_main_36_09_e,Speech,laplace,maxwell,Locale_MainScenario:d_main_36_09_e_30,False,,4,idle,,12,idle_02,,2,no,,14,idle,,1,1,1.0,,,
d_main_36_09_e_31,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_31,True,,4,idle,,12,idle_02,,2,sad,,14,idle,,1,S_20,1.3,,,
d_main_36_09_e_32,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_32,True,,4,idle,,12,idle_02,,2,sad,,14,idle,,S_20,S_20,1.0,,,
d_main_36_09_e_33,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_33,True,,4,idle,,12,idle_02,,2,sad,,14,idle,,S_20,S_20,1.0,,,
d_main_36_09_e_34,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_34,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_20,S_20,1.0,,,
d_main_36_09_e_35,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_35,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_20,S_20,1.0,,,
d_main_36_09_e_36,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_36,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_20,S_20,1.0,,,
d_main_36_09_e_37,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_37,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_20,S_200,1.0,,,
d_main_36_09_e_38,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_38,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_200,S_200,1.0,,,
d_main_36_09_e_39,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_39,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_200,S_200,1.0,,,
d_main_36_09_e_40,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_40,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_200,S_200,1.0,,,
d_main_36_09_e_41,d_main_36_09_e,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_e_41,True,,4,idle,,12,idle_02,,2,no,,14,idle,,S_200,S_20,1.3,,,
