id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,set_filter_01,fade
d_ex_goddessofvictory_04_1,d_ex_goddessofvictory_04,Narration,Narration,Locale_SuddenStory:d_ex_goddessofvictory_04_1,False,Park,5,1,2.0,bgm_story_inwonderland,,,,,,,,,,,,,,
d_ex_goddessofvictory_04_2,d_ex_goddessofvictory_04,Self,Self,Locale_SuddenStory:d_ex_goddessofvictory_04_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_goddessofvictory_04_3,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_3,True,,1,1,1.0,,rupee_w,anne,2,idle,rupee_w,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_4,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_4,True,,1,1,1.0,,rupee_w,,2,idle,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_5,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_5,True,,1,1,1.0,,anne,,2,delight,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_6,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_6,True,,1,1,1.0,,anne,,2,shy,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_7,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_7,True,,1,1,1.0,,rupee_w,,2,shy,,12,special,,,,,,,
d_ex_goddessofvictory_04_8,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_8,True,,1,1,1.0,,anne,,2,shy,,12,special,,,,,,,
d_ex_goddessofvictory_04_9,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_9,True,,1,1,1.0,,anne,,2,shy,,12,special,,,,,,,
d_ex_goddessofvictory_04_10,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_10,True,,1,1,1.0,,rupee_w,,2,shy,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_11,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_11,False,,1,XS_20,1.0,,anne,,2,shy,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_12,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_12,True,,XS_20,XS_20,1.0,,anne,,2,shy,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_13,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_13,True,,XS_20,120,1.0,,rupee_w,,2,shy,,12,shy,,,,,,,
d_ex_goddessofvictory_04_14,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_14,False,,120,XS_200,0.3,,anne,,2,surprise,,12,shy,,,,,,,
d_ex_goddessofvictory_04_15,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_15,True,,XS_200,XS_200,1.0,,anne,,2,think,,12,shy,,,,,,,
d_ex_goddessofvictory_04_16,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_16,True,,XS_200,XS_200,1.0,,anne,,2,shy,,12,shy,,,,,,,
d_ex_goddessofvictory_04_17,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_17,True,,XS_200,1200,1.0,,rupee_w,,2,shy,,12,special,,,,,,,
d_ex_goddessofvictory_04_18,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_18,True,,1200,120,1.0,,rupee_w,,2,shy,,12,surprise,,,,,,,
d_ex_goddessofvictory_04_19,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_19,True,,120,XS_20,2.0,,anne,,2,think,,12,surprise,,,,,,,
d_ex_goddessofvictory_04_20,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_20,True,,XS_20,1,2.0,,rupee_w,,2,think,,12,sad,,,,,,,
d_ex_goddessofvictory_04_21,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_21,True,,1,1,1.0,,rupee_w,,2,think,,12,special,,,,,,,
d_ex_goddessofvictory_04_22,d_ex_goddessofvictory_04,Speech,anne,Locale_SuddenStory:d_ex_goddessofvictory_04_22,True,,1,1,1.0,,anne,,2,delight,,12,special,,,,,,,
d_ex_goddessofvictory_04_23,d_ex_goddessofvictory_04,Speech,rupee_w,Locale_SuddenStory:d_ex_goddessofvictory_04_23,True,,1,1,1.0,,rupee_w,,2,delight,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_24,d_ex_goddessofvictory_04,Monologue,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_04_24,False,,1,1,1.0,,,,2,idle,,12,idle_02,,,,,,,
d_ex_goddessofvictory_04_25,d_ex_goddessofvictory_04,Self,Self,Locale_SuddenStory:d_ex_goddessofvictory_04_25,False,,1,1,1.0,,,,2,idle,,12,idle_02,,,,,,,
