id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1171_1,d_subquest_1171,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1171_1,True,WasteLand_02,6,3,2.0,bgm_mystery,,,rapi,3,idle,neon,1,idle,anis,13,worry
d_subquest_1171_2,d_subquest_1171,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1171_2,True,,3,3,1.0,,,,,3,think,,1,idle,,13,worry
d_subquest_1171_3,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_3,True,,3,12,1.0,,,,,3,think,,1,idle,,13,worry
d_subquest_1171_4,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_4,True,,12,12,1.0,,,,,3,think,,1,idle,,13,worry
d_subquest_1171_5,d_subquest_1171,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1171_5,True,,12,30,2.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_6,d_subquest_1171,Monologue,rapi,,Locale_SubScenario:d_subquest_1171_6,False,,30,30,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_7,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_7,True,,S_10,S_10,1.0,,,,,3,idle,,1,no,,13,idle
d_subquest_1171_8,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_8,True,,S_10,130,1.0,,,,,3,idle,,1,no,,13,idle
d_subquest_1171_9,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_9,True,,130,130,1.0,,,,,3,idle,,1,no,,13,idle
d_subquest_1171_10,d_subquest_1171,Self,anis,Self,Locale_SubScenario:d_subquest_1171_10,False,,130,130,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_11,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_11,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_12,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_12,True,,130,12,1.0,,,,,3,idle,,1,surprise,,13,worry
d_subquest_1171_13,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_13,True,,12,12,1.0,,,,,3,idle,,1,surprise,,13,no
d_subquest_1171_14,d_subquest_1171,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1171_14,True,,12,3,1.0,,,,,3,idle,,1,idle,,13,no
d_subquest_1171_15,d_subquest_1171,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1171_15,True,,3,3,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_16,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_16,False,,black,black,1.0,,sfx_scn_crackle,,,3,idle,,1,idle,,13,idle
d_subquest_1171_17,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_17,False,,black,black,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_18,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_18,False,,17,17,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_19,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_19,False,,17,17,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_20,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_20,False,,17,17,1.0,,sfx_scn_crackle,Grey,,3,idle,,1,idle,,13,idle
d_subquest_1171_21,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_21,False,,17,17,1.0,,,Grey,,3,idle,,1,idle,,13,idle
d_subquest_1171_22,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_22,False,,17,17,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_23,d_subquest_1171,Monologue,,,Locale_SubScenario:d_subquest_1171_23,False,,17,17,1.0,,,,,3,idle,,1,idle,,13,idle
d_subquest_1171_24,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_24,True,,17,130,2.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_25,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_25,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_26,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_26,True,,130,S_10,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_27,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_27,True,,S_10,S_10,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_28,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_28,True,,S_10,12,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_29,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_29,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,void
d_subquest_1171_30,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_30,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,void
d_subquest_1171_31,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_31,True,,12,130,2.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_32,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_32,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_33,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_33,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,worry
d_subquest_1171_34,d_subquest_1171,Speech,neon,neon,Locale_SubScenario:d_subquest_1171_34,False,,S_10,S_10,1.0,,,,,3,idle,,1,surprise,,13,worry
d_subquest_1171_35,d_subquest_1171,Self,neon,Self,Locale_SubScenario:d_subquest_1171_35,False,,S_10,S_10,1.0,,,,,3,idle,,1,surprise,,13,worry
d_subquest_1171_36,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_36,True,,S_10,130,1.0,,,,,3,idle,,1,surprise,,13,sad
d_subquest_1171_37,d_subquest_1171,Speech,anis,anis,Locale_SubScenario:d_subquest_1171_37,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,sad
