id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_35bf_05_1,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_1,True,CommanderRoom,12,12,1.0,bgm_story_breakaway,,rapi_red,3,idle,anis,1,idle,,neon,13,delight,
d_main_35bf_05_2,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_2,True,,12,12,1.0,,,,3,idle,,1,idle,,,13,delight,
d_main_35bf_05_3,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_3,True,,12,12,1.0,,,,3,idle,,1,idle,,,13,delight,
d_main_35bf_05_4,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_4,True,,12,12,1.0,,,,3,idle,,1,void,,,13,delight,
d_main_35bf_05_5,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_5,False,,12,12,1.0,,,,3,idle,,1,sad,,,13,delight,
d_main_35bf_05_6,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_6,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,delight,
d_main_35bf_05_7,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_7,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,idle,
d_main_35bf_05_8,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_8,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,idle,
d_main_35bf_05_9,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_9,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,surprise,
d_main_35bf_05_10,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_10,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,delight,
d_main_35bf_05_11,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_11,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,delight,
d_main_35bf_05_12,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_12,True,,12,2,1.0,,,,3,delight,,1,angry,,,13,idle,
d_main_35bf_05_13,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_13,True,,2,2,1.0,,,,3,delight,,1,void,,,13,idle,
d_main_35bf_05_14,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_14,True,,2,2,1.0,,,,3,delight,,1,void,,,13,idle,
d_main_35bf_05_15,d_main_35bf_05,Narration,rapi_red,,Locale_MainScenario:d_main_35bf_05_15,False,,black,black,1.0,,,,3,delight,,1,void,,,13,idle,
d_main_35bf_05_16,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_16,True,,12,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_17,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_17,True,,12,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_18,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_18,True,,12,12,1.0,,,,3,idle,,1,no,,,13,idle,
d_main_35bf_05_19,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_19,True,,12,12,1.0,,,,3,idle,,1,no,,,13,no,
d_main_35bf_05_20,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_20,True,,12,2,1.0,,,,3,think,,1,no,,,13,no,
d_main_35bf_05_21,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_21,True,,2,2,1.0,,,,3,think,,1,no,,,13,no,
d_main_35bf_05_22,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_22,True,,2,2,1.0,,,,3,think,,1,idle,,,13,idle,
d_main_35bf_05_23,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_23,False,,2,1,1.0,,,,3,think,,1,void,,,13,idle,
d_main_35bf_05_24,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_24,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_25,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_25,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_26,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_26,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_27,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_27,True,,1,12,1.0,,,,3,idle,,1,void,,,13,angry,
d_main_35bf_05_28,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_28,True,,12,12,1.0,,,,3,idle,,1,worry,,,13,angry,
d_main_35bf_05_29,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_29,True,,12,12,1.0,,,,3,idle,,1,worry,,,13,angry,
d_main_35bf_05_30,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_30,True,,12,12,1.0,,,,3,idle,,1,worry,,,13,idle,
d_main_35bf_05_31,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_31,True,,12,2,1.0,,,,3,idle,,1,worry,,,13,idle,
d_main_35bf_05_32,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_32,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_33,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_33,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_34,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_34,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_35,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_35,True,,2,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_36,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_36,True,,12,12,1.0,,,,3,idle,,1,no,,,13,idle,
d_main_35bf_05_37,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_37,True,,12,12,1.0,,,,3,idle,,1,no,,,13,worry,
d_main_35bf_05_38,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_38,True,,12,10,1.0,none,,,3,idle,,1,void,,,13,worry,
d_main_35bf_05_39,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_39,True,,10,10,1.0,,,,3,idle,,1,void,,,13,worry,
d_main_35bf_05_40,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_40,False,,10,10,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_41,d_main_35bf_05,Speech,anis,rapi_red,Locale_MainScenario:d_main_35bf_05_41,False,,10,10,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_42,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_42,False,,10,10,1.0,bgm_story_monochrome,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_43,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_43,True,,10,10,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_44,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_44,False,,10,10,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_45,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_45,False,,10,10,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_46,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_46,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_47,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_47,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_48,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_48,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_49,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_49,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_50,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_50,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_51,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_51,False,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_52,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_52,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_53,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_53,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,idle,
d_main_35bf_05_54,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_54,True,,S_130,S_130,1.0,,,,3,idle,,1,idle,,,13,surprise,
d_main_35bf_05_55,d_main_35bf_05,Self,neon,,Locale_MainScenario:d_main_35bf_05_55,False,,10,10,1.0,,,,3,idle,,1,idle,,,13,surprise,
d_main_35bf_05_56,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_56,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,surprise,
d_main_35bf_05_57,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_57,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,surprise,
d_main_35bf_05_58,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_58,True,,10,10,1.0,,,,3,idle,,1,idle,,,13,surprise,
d_main_35bf_05_59,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_59,True,,10,10,1.0,,,,3,idle,,1,delight,,,13,surprise,
d_main_35bf_05_60,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_60,False,,10,10,1.0,,,,3,idle,,1,delight,,,13,idle,
d_main_35bf_05_61,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_61,False,,10,10,1.0,,,,3,idle,,1,delight,,,13,idle,
d_main_35bf_05_62,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_62,True,,10,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_63,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_63,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_64,d_main_35bf_05,Speech,anis,rapi_red,Locale_MainScenario:d_main_35bf_05_64,False,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_65,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_65,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_66,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_66,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_67,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_67,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_68,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_68,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_69,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_69,False,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_70,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_70,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_71,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_71,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_72,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_72,True,,1,1,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_73,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_73,False,,1,2,1.0,,,,3,think,,1,void,,,13,idle,
d_main_35bf_05_74,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_74,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_75,d_main_35bf_05,Self,rapi_red,,Locale_MainScenario:d_main_35bf_05_75,False,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_76,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_76,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_77,d_main_35bf_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35bf_05_77,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_78,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_78,True,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_79,d_main_35bf_05,Self,anis,,Locale_MainScenario:d_main_35bf_05_79,False,,2,2,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_80,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_80,True,,2,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_81,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_81,True,,12,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_82,d_main_35bf_05,Speech,neon,neon,Locale_MainScenario:d_main_35bf_05_82,True,,12,12,1.0,,,,3,idle,,1,void,,,13,idle,
d_main_35bf_05_83,d_main_35bf_05,Speech,anis,anis,Locale_MainScenario:d_main_35bf_05_83,True,,12,12,1.0,,,,3,idle,,1,angry,,,13,idle,
