id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target
d_subquest_1262_1,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_1,True,anis,5,idle,neon,3,idle,rapi,1,idle,refugee,15,idle,CityForest_02,1,15,0.5,bgm_distress,,,
d_subquest_1262_2,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_2,True,,5,idle,,3,idle,,1,idle,,15,idle,,15,15,1.0,,,,
d_subquest_1262_3,d_subquest_1262,Speech,anis,anis,Locale_SubScenario:d_subquest_1262_3,True,,5,idle,,3,idle,,1,idle,,15,idle,,4,4,1.0,,,,
d_subquest_1262_4,d_subquest_1262,Speech,neon,neon,Locale_SubScenario:d_subquest_1262_4,True,,5,idle,,3,no,,1,idle,,15,idle,,4,4,1.0,,,,
d_subquest_1262_5,d_subquest_1262,Speech,anis,anis,Locale_SubScenario:d_subquest_1262_5,True,,5,idle,,3,no,,1,idle,,15,idle,,4,4,1.0,,,,
d_subquest_1262_6,d_subquest_1262,Self,,Self,Locale_SubScenario:d_subquest_1262_6,False,,5,idle,,3,no,,1,idle,,15,idle,,4,4,1.0,,,,
d_subquest_1262_7,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_7,True,,5,idle,,3,idle,,1,idle,,13,idle,ArkRuinIndoor,18,13,2.0,bgm_inark,sfx_scn_autodooropen,black,
d_subquest_1262_8,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_8,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_9,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_9,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_10,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_10,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_11,d_subquest_1262,Choice,refugee,,Locale_SubScenario:d_subquest_1262_11,False,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,d_subquest_1262_13
d_subquest_1262_12,d_subquest_1262,Choice,refugee,,Locale_SubScenario:d_subquest_1262_12,False,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,d_subquest_1262_13
d_subquest_1262_13,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_13,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_14,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_14,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,19,2.0,,,,
d_subquest_1262_15,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_15,True,,5,idle,,3,idle,,1,idle,,13,idle,,19,13,1.0,,,,
d_subquest_1262_16,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_16,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_17,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_17,True,,5,idle,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,
d_subquest_1262_18,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_18,False,,5,idle,,3,idle,,1,idle,,13,idle,,13,130,2.0,,,,
