id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,fade,characters/3/hide_char_id,play_sound,set_camera_shake
d_main_24af_03_1,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_1,False,Desert_03,1,1,1.0,bgm_volcanicnest,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_2,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_2,True,,1,10,1.0,,nihilister_a,talkative,3,idle,nihilister_a,1,angry2,indivilia,13,idle,,,,,,,,,,,
d_main_24af_03_3,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_3,True,,10,10,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_4,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_4,True,,10,12,1.0,,indivilia,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_5,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_5,True,,12,12,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_6,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_6,True,,12,12,1.0,,indivilia,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_7,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_7,True,,12,12,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_8,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_8,True,,12,12,1.0,,indivilia,,3,idle,,1,angry2,,13,angry,,,,,,,,,,,
d_main_24af_03_9,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_9,True,,12,12,1.0,,nihilister_a,,3,idle,,1,angry,,13,angry,,,,,,,,,,,
d_main_24af_03_10,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_10,True,,12,12,1.0,,indivilia,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
