id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_main_04_03_s_1,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_1,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_02,10,10,1.0,ambient_scn_wind,
d_main_04_03_s_2,d_main_04_03_s,Speech,anis,anis,Locale_MainScenario:d_main_04_03_s_2,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,30,1.0,,
d_main_04_03_s_3,d_main_04_03_s,Speech,mihara,mihara,Locale_MainScenario:d_main_04_03_s_3,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,1719,1.0,,
d_main_04_03_s_4,d_main_04_03_s,Speech,mihara,mihara,Locale_MainScenario:d_main_04_03_s_4,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,170,1.0,,
d_main_04_03_s_5,d_main_04_03_s,Speech,neon,neon,Locale_MainScenario:d_main_04_03_s_5,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,S_130,S_130,1.0,,
d_main_04_03_s_6,d_main_04_03_s,Speech,mihara,mihara,Locale_MainScenario:d_main_04_03_s_6,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,
d_main_04_03_s_7,d_main_04_03_s,Monologue,mihara,,Locale_MainScenario:d_main_04_03_s_7,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,1719,1.0,,
d_main_04_03_s_8,d_main_04_03_s,Self,mihara,Self,Locale_MainScenario:d_main_04_03_s_8,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,1719,1.0,,
d_main_04_03_s_9,d_main_04_03_s,Speech,anis,anis,Locale_MainScenario:d_main_04_03_s_9,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,30,300,0.5,bgm_emergency,
d_main_04_03_s_10,d_main_04_03_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_03_s_10,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,S_190,S_1900,1.0,,
d_main_04_03_s_11,d_main_04_03_s,Narration,yuni,Narration,Locale_MainScenario:d_main_04_03_s_11,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,black,black,1.0,,sfx_scn_electricshock
d_main_04_03_s_12,d_main_04_03_s,Monologue,yuni,,Locale_MainScenario:d_main_04_03_s_12,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,black,black,1.0,,
d_main_04_03_s_13,d_main_04_03_s,Monologue,yuni,,Locale_MainScenario:d_main_04_03_s_13,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,black,black,1.0,,
d_main_04_03_s_14,d_main_04_03_s,Speech,neon,neon,Locale_MainScenario:d_main_04_03_s_14,True,,1,idle,,3,angry,,13,delight,,17,idle,,19,idle,,S_130,S_1300,0.5,,
d_main_04_03_s_15,d_main_04_03_s,Speech,anis,anis,Locale_MainScenario:d_main_04_03_s_15,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,30,300,0.5,,
d_main_04_03_s_16,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_16,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,1,10,0.5,,
d_main_04_03_s_17,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_17,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,10,100,0.5,,
d_main_04_03_s_18,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_18,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,100,100,1.0,,
d_main_04_03_s_19,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_19,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,100,100,1.0,,
d_main_04_03_s_20,d_main_04_03_s,Self,Self,Self,Locale_MainScenario:d_main_04_03_s_20,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,100,100,1.0,,
d_main_04_03_s_21,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_21,True,,1,angry,,3,angry,,13,idle,,17,idle,,19,idle,,100,100,1.0,,
d_main_04_03_s_22,d_main_04_03_s,Speech,anis,anis,Locale_MainScenario:d_main_04_03_s_22,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,,30,300,1.0,,
d_main_04_03_s_23,d_main_04_03_s,Speech,neon,neon,Locale_MainScenario:d_main_04_03_s_23,True,,1,idle,,3,angry,,13,no,,17,idle,,19,idle,,S_130,S_1300,1.0,,
d_main_04_03_s_24,d_main_04_03_s,Speech,mihara,mihara,Locale_MainScenario:d_main_04_03_s_24,True,,1,idle,,3,angry,,13,no,,17,idle,,19,idle,,170,1700,1.0,,
d_main_04_03_s_25,d_main_04_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_03_s_25,True,,1,angry,,3,angry,,13,no,,17,idle,,19,idle,,10,100,0.5,,
