id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target
d_ex_wingofvictory_06_1,d_ex_wingofvictory_06,Monologue,Monologue,Locale_SuddenStory:d_ex_wingofvictory_06_1,False,WingOfVictory,3,12,2.0,bgm_story_orangepop,,,,,,,,,,,,,,,
d_ex_wingofvictory_06_2,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_2,True,,12,12,1.0,,marciana,marciana,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_3,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_3,True,,12,12,1.0,,marciana,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_4,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_4,False,,12,12,1.0,,,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_5,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_5,True,,12,12,1.0,,marciana,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_6,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_6,False,,12,12,1.0,,,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_7,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_7,True,,12,12,1.0,,marciana,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_8,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_8,False,,black,black,1.0,,,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_9,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_9,False,,12,120,1.5,,marciana,,12,idle,,,,,,,,,,,
d_ex_wingofvictory_06_10,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_10,False,,120,XS_20,0.5,,puppies,,12,idle,puppies,2,idle,,,,,,,,
d_ex_wingofvictory_06_11,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_11,False,,XS_20,120,0.5,,marciana,,12,surprise,,2,idle,,,,,,,,
d_ex_wingofvictory_06_12,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_12,True,,XS_140,XS_140,1.0,,biscuit,,12,surprise,,2,idle,biscuit,14,sad,,,,,
d_ex_wingofvictory_06_13,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_13,True,,XS_140,1,1.0,,puppies,,12,surprise,,2,delight,,14,sad,sfx_scn_bowwow,,,,
d_ex_wingofvictory_06_14,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_14,False,,1,1,1.0,,,,12,surprise,,2,delight,,14,sad,,,,,
d_ex_wingofvictory_06_15,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_15,False,,1,1,1.5,,marciana,,12,surprise,,2,delight,,14,sad,,,,,
d_ex_wingofvictory_06_16,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_16,False,,1,XS_140,1.0,,,,12,surprise,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_17,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_17,True,,XS_140,XS_140,1.0,,biscuit,,12,surprise,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_18,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_18,False,,XS_140,XS_140,1.0,,,,12,surprise,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_19,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_19,True,,XS_140,XS_140,1.0,,biscuit,,12,surprise,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_20,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_20,True,,XS_140,13,1.5,,biscuit,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_21,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_21,True,,13,13,1.0,,marciana,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_22,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_22,False,,13,1,1.0,,marciana,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_23,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_23,False,,1,1,1.0,,,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_24,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_24,True,,1,1,1.0,,puppies,,12,idle,,2,delight,,14,idle,sfx_scn_bowwow,,,,
d_ex_wingofvictory_06_25,d_ex_wingofvictory_06,Monologue,Monologue,Locale_SuddenStory:d_ex_wingofvictory_06_25,False,,1,1,1.0,,,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_26,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_26,True,,1,13,1.0,,biscuit,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_27,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_27,True,,13,13,1.0,,biscuit,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_28,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_28,True,,13,13,1.0,,biscuit,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_29,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_29,False,,13,13,1.0,,marciana,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_30,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_30,True,,13,13,1.0,,marciana,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_31,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_31,True,,13,13,1.0,,biscuit,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_32,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_32,True,,13,13,1.0,,biscuit,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_33,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_33,False,,13,13,1.0,,,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_34,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_34,True,,13,13,1.0,,marciana,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_35,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_35,False,,XS_140,XS_20,2.0,,,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_36,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_36,False,,XS_20,120,1.0,,marciana,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_37,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_37,True,,120,120,1.0,,marciana,,12,idle,,2,delight,,14,delight,,,,,
d_ex_wingofvictory_06_38,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_38,False,,black,black,1.0,,,,12,idle,,2,delight,,14,idle,sfx_scn_cat,,,,
d_ex_wingofvictory_06_39,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_39,False,,12,12,1.0,,marciana,,12,idle,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_40,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_40,False,,12,12,1.0,,cat,,12,idle,,2,delight,,14,idle,sfx_scn_cat,,,,
d_ex_wingofvictory_06_41,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_41,False,,12,120,0.5,,marciana,,12,surprise,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_42,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_42,False,,120,120,1.0,,,,12,surprise,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_43,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_43,False,,120,120,1.0,,marciana,,12,surprise,,2,delight,,14,idle,,,,,
d_ex_wingofvictory_06_44,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_44,True,,120,L_40,1.0,,nero,,12,surprise,,2,delight,,14,idle,,nero,4,idle,
d_ex_wingofvictory_06_45,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_45,False,,L_40,L_40,1.0,,,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_46,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_46,True,,L_40,L_40,1.0,,nero,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_47,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_47,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_48,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_48,True,,L_40,13,1.5,,marciana,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_49,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_49,True,,13,13,1.0,,biscuit,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_50,d_ex_wingofvictory_06,Choice,,Locale_SuddenStory:d_ex_wingofvictory_06_50,False,,13,L_40,1.5,,,,12,idle,,2,delight,,14,idle,,,4,idle,d_ex_wingofvictory_06_52
d_ex_wingofvictory_06_51,d_ex_wingofvictory_06,Choice,,Locale_SuddenStory:d_ex_wingofvictory_06_51,False,,L_40,L_40,1.0,,,,12,idle,,2,delight,,14,idle,,,4,idle,d_ex_wingofvictory_06_53
d_ex_wingofvictory_06_52,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_52,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,d_ex_wingofvictory_06_54
d_ex_wingofvictory_06_53,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_53,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_54,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_54,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_55,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_55,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_56,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_56,True,,L_40,L_40,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_57,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_57,False,,L_40,120,1.0,none,cat,,12,idle,,2,delight,,14,idle,sfx_scn_cat,,4,idle,
d_ex_wingofvictory_06_58,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_58,False,,120,120,1.0,,,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_59,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_59,False,,120,120,1.0,,marciana,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_60,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_60,True,,120,120,1.0,bgm_story_herecomestrouble,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_61,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_61,False,,120,120,1.0,,cat,,12,idle,,2,delight,,14,idle,sfx_scn_cat,,4,idle,
d_ex_wingofvictory_06_62,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_62,True,,120,120,1.0,,nero,,12,idle,,2,delight,,14,idle,,,4,idle,
