id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id
d_main_05_07_1,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_1,True,alice,3,idle,ludmilla,1,idle,ArkRuinIndoor,31,31,1.0,bgm_story_inwonderland,
d_main_05_07_2,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_2,True,,3,idle,,1,idle,,31,31,1.0,,
d_main_05_07_3,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_3,True,,3,idle,,1,idle,,31,31,1.0,,
d_main_05_07_4,d_main_05_07,Speech,alice,alice,Locale_MainScenario:d_main_05_07_4,True,,3,idle,,1,idle,,31,S_30,1.0,,
d_main_05_07_5,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_5,True,,3,idle,,1,idle,,S_30,31,1.0,,
d_main_05_07_6,d_main_05_07,Narration,ludmilla,Narration,Locale_MainScenario:d_main_05_07_6,True,,3,idle,,1,idle,,31,31,1.0,none,alice
d_main_05_07_7,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_7,False,,,,,1,idle,,31,1,1.0,,
d_main_05_07_8,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_8,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_9,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_9,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_10,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_10,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_11,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_11,True,,,,,1,idle,,1,10,1.0,bgm_mystery,
d_main_05_07_12,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_12,True,,,,,1,idle,,10,100,1.0,,
d_main_05_07_13,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_13,True,,,,,1,idle,,100,100,1.0,,
d_main_05_07_14,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_14,True,,,,,1,idle,,100,10,1.0,,
d_main_05_07_15,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_15,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_16,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_16,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_17,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_17,True,,,,,1,idle,,10,1,1.0,,
d_main_05_07_18,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_18,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_19,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_19,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_20,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_20,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_21,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_21,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_22,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_22,True,,,,,1,idle,,1,10,1.0,,
d_main_05_07_23,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_23,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_24,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_24,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_25,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_25,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_26,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_26,True,,,,,1,idle,,10,10,1.0,,
d_main_05_07_27,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_27,True,,,,,1,think,,10,100,3.0,,
d_main_05_07_28,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_28,True,,,,,1,think,,100,10,1.0,,
d_main_05_07_29,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_29,True,,,,,1,think,,10,10,1.0,,
d_main_05_07_30,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_30,False,,,,,1,think,,10,10,1.0,,
d_main_05_07_31,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_31,True,,,,,1,think,,10,10,1.0,,
d_main_05_07_32,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_32,True,,,,,1,think,,10,10,1.0,,
d_main_05_07_33,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_33,True,,,,,1,think,,10,10,1.0,,
d_main_05_07_34,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_34,True,,,,,1,think,,10,100,3.0,,
d_main_05_07_35,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_35,True,,,,,1,think,,100,100,1.0,,
d_main_05_07_36,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_36,True,,,,,1,think,,100,100,1.0,,
d_main_05_07_37,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_37,True,,,,,1,think,,100,100,1.0,,
d_main_05_07_38,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_38,False,,,,,1,idle,,100,10,1.0,,
d_main_05_07_39,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_39,True,,,,,1,idle,,10,1,1.0,,
d_main_05_07_40,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_40,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_41,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_41,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_42,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_42,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_43,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_43,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_44,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_44,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_45,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_45,True,,,,,1,idle,,1,10,1.0,,
d_main_05_07_46,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_46,True,,,,,1,idle,,10,100,3.0,,
d_main_05_07_47,d_main_05_07,Self,ludmilla,Self,Locale_MainScenario:d_main_05_07_47,True,,,,,1,idle,,100,100,1.0,,
d_main_05_07_48,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_48,False,,,,,1,idle,,100,100,1.0,,
d_main_05_07_49,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_49,True,,,,,1,delight,,100,10,1.0,,
d_main_05_07_50,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_50,True,,,,,1,idle,,10,1,1.0,,
d_main_05_07_51,d_main_05_07,Speech,alice,alice,Locale_MainScenario:d_main_05_07_51,True,,,,,1,idle,,1,1,1.0,,
d_main_05_07_52,d_main_05_07,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_07_52,True,,,,,1,think,,1,1,1.0,,
