id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,play_sound,jump_target
d_main_16_02_1,d_main_16_02,Narration,Narration,Locale_MainScenario:d_main_16_02_1,False,IceLand_03,black,black,1.0,bgm_secondhand,,,,,,,,,,,,,,,,,,,,,,
d_main_16_02_2,d_main_16_02,Speech,jackal,Locale_MainScenario:d_main_16_02_2,True,,16,S_160,1.0,,jackal,rapi,6,idle,neon,4,idle,anis,2,idle,crow,12,idle,viper,14,idle,jackal,16,crazy,Low_2,,
d_main_16_02_3,d_main_16_02,Speech,jackal,Locale_MainScenario:d_main_16_02_3,True,,S_160,S_160,1.0,,jackal,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,crazy,,,
d_main_16_02_4,d_main_16_02,Narration,Narration,Locale_MainScenario:d_main_16_02_4,False,,S_160,140,0.5,,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,crazy,Low_2,,
d_main_16_02_5,d_main_16_02,Speech,viper,Locale_MainScenario:d_main_16_02_5,True,,140,140,1.0,,viper,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,crazy,,,
d_main_16_02_6,d_main_16_02,Narration,Narration,Locale_MainScenario:d_main_16_02_6,False,,140,14,0.3,,,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,crazy,Low_2,sfx_scn_4shot,
d_main_16_02_7,d_main_16_02,Narration,Narration,Locale_MainScenario:d_main_16_02_7,False,,14,6,2.0,,,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,crazy,Low_2,sfx_scn_8shot,
d_main_16_02_8,d_main_16_02,Speech,rapi,Locale_MainScenario:d_main_16_02_8,True,,6,6,1.0,,rapi,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,,
d_main_16_02_9,d_main_16_02,Speech,rapi,Locale_MainScenario:d_main_16_02_9,True,,6,60,2.0,,rapi,,6,think,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,,
d_main_16_02_10,d_main_16_02,Speech,viper,Locale_MainScenario:d_main_16_02_10,True,,140,140,2.0,,viper,,6,think,,4,idle,,2,idle,,12,idle,,14,delight,,16,idle,,,
d_main_16_02_11,d_main_16_02,Speech,viper,Locale_MainScenario:d_main_16_02_11,True,,140,140,1.0,,viper,,6,idle,,4,idle,,2,idle,,12,idle,,14,delight,,16,idle,,,
d_main_16_02_12,d_main_16_02,Speech,viper,Locale_MainScenario:d_main_16_02_12,True,,140,1400,1.5,,viper,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,,
d_main_16_02_13,d_main_16_02,Narration,Narration,Locale_MainScenario:d_main_16_02_13,False,,black,black,1.0,,,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,Low_2,,
d_main_16_02_14,d_main_16_02,Speech,neon,Locale_MainScenario:d_main_16_02_14,True,,S_40,S_40,1.0,,neon,,6,idle,,4,worry,,2,idle,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_15,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_15,True,,S_40,20,1.0,,anis,,6,idle,,4,worry,,2,angry,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_16,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_16,True,,20,20,1.0,,anis,,6,idle,,4,worry,,2,angry,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_17,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_17,True,,20,1,0.5,,crow,,6,idle,,4,idle,,2,angry,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_18,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_18,True,,1,1,1.0,,anis,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_19,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_19,True,,1,120,2.0,,crow,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,,
