id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target
d_ex_modernbar_11_1,d_ex_modernbar_11,Monologue,Locale_SuddenStory:d_ex_modernbar_11_1,False,Bar,black,black,1.0,none,,,,,,,,,,,,,,
d_ex_modernbar_11_2,d_ex_modernbar_11,Narration,Locale_SuddenStory:d_ex_modernbar_11_2,False,,5,3,1.0,,sfx_scn_toyshopbell,,,,,,,,,,,,,
d_ex_modernbar_11_3,d_ex_modernbar_11,Self,Locale_SuddenStory:d_ex_modernbar_11_3,False,,3,3,1.0,,,,,,,,,,,,,,,
d_ex_modernbar_11_4,d_ex_modernbar_11,Self,Locale_SuddenStory:d_ex_modernbar_11_4,False,,3,3,1.0,,,,,,,,,,,,,,,
d_ex_modernbar_11_5,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_5,True,,3,L_30,1.0,bgm_story_tepidappleade,,yulha,yulha,yulha,3,idle,brid,1,angry,mana,13,delight,,
d_ex_modernbar_11_6,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_6,True,,L_30,L_30,1.0,,,yulha,yulha,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_7,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_7,True,,L_30,L_10,1.0,,,brid,brid,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_8,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_8,True,,L_10,L_10,1.0,,,brid,brid,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_9,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_9,True,,L_10,130,1.0,,,mana,mana,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_10,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_10,True,,130,130,1.0,,,mana,mana,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_11,d_ex_modernbar_11,Self,Locale_SuddenStory:d_ex_modernbar_11_11,False,,130,13,1.0,,,mana,,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_12,d_ex_modernbar_11,Monologue,Locale_SuddenStory:d_ex_modernbar_11_12,False,,13,2,1.0,,,mana,,,3,idle,,1,angry,,13,delight,,
d_ex_modernbar_11_13,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_13,True,,2,2,1.0,,,brid,brid,,3,idle,,1,delight,,13,delight,,
d_ex_modernbar_11_14,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_14,True,,2,2,1.0,,,brid,brid,,3,idle,,1,delight,,13,delight,,
d_ex_modernbar_11_15,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_15,True,,2,2,1.0,,,yulha,yulha,,3,shy,,1,delight,,13,delight,,
d_ex_modernbar_11_16,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_16,True,,2,2,1.0,,,yulha,yulha,,3,shy,,1,delight,,13,delight,,
d_ex_modernbar_11_17,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_17,True,,2,2,1.0,,,yulha,yulha,,3,shy,,1,delight,,13,delight,,
d_ex_modernbar_11_18,d_ex_modernbar_11,Self,Locale_SuddenStory:d_ex_modernbar_11_18,False,,2,2,1.0,,,yulha,,,3,shy,,1,delight,,13,delight,,
d_ex_modernbar_11_19,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_19,True,,2,2,1.0,,,yulha,yulha,,3,angry,,1,delight,,13,delight,,
d_ex_modernbar_11_20,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_20,True,,2,2,1.0,,,yulha,yulha,,3,angry,,1,delight,,13,delight,,
d_ex_modernbar_11_21,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_21,True,,2,2,1.0,,,yulha,yulha,,3,angry,,1,delight,,13,delight,,
d_ex_modernbar_11_22,d_ex_modernbar_11,Self,Locale_SuddenStory:d_ex_modernbar_11_22,False,,2,2,1.0,,,yulha,,,3,angry,,1,delight,,13,delight,,
d_ex_modernbar_11_23,d_ex_modernbar_11,Speech,Locale_SuddenStory:d_ex_modernbar_11_23,True,,2,2,1.0,,,yulha,yulha,,3,angry,,1,delight,,13,delight,,
