id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,conversation_id
d_main_07af_02_1,d_main_07af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_07af_02_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,
d_main_07af_02_2,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_2,False,,1,1,1.0,bgm_inark,,,,,,,,,,,,
d_main_07af_02_3,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_3,False,,1,1,1.0,,,,,,,,,,,,,
d_main_07af_02_4,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_4,False,,1,1,1.0,,,,,,,,,,,,,
d_main_07af_02_5,d_main_07af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_07af_02_5,False,,1,1,1.0,,sfx_scn_steelfall,Low_2,,,,,,,,,,
d_main_07af_02_6,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_6,False,,1,1,1.0,,,,,,,,,,,,,
d_main_07af_02_7,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_7,False,,1,1,1.0,,,,,,,,,,,,,
d_main_07af_02_8,d_main_07af_02,Narration,Narration,,Locale_MainScenario:d_main_07af_02_8,False,,1,1,1.0,,,,snowwhite,1,idle,,,,,,,
d_main_07af_02_9,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_9,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_10,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_10,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_11,d_main_07af_02,Monologue,,,Locale_MainScenario:d_main_07af_02_11,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_12,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_12,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_13,d_main_07af_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07af_02_13,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_14,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_14,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_15,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_15,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_16,d_main_07af_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07af_02_16,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_17,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_17,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_18,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_18,True,,1,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_19,d_main_07af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_07af_02_19,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_20,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_20,True,,10,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_21,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_21,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_22,d_main_07af_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07af_02_22,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_23,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_23,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_24,d_main_07af_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07af_02_24,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_25,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_25,False,,1,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_26,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_26,True,,10,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_27,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_27,True,,10,100,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_28,d_main_07af_02,Self,snowwhite,Self,Locale_MainScenario:d_main_07af_02_28,False,,100,100,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_29,d_main_07af_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_07af_02_29,True,IceLand_03,50,50,1.0,,,,,1,idle,snowwhite,ludmilla,5,think,Grey,,
d_main_07af_02_30,d_main_07af_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_07af_02_30,True,,50,50,1.0,,,,,,,,,5,think,Grey,,
