id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
d_main_18_04_1,d_main_18_04,Speech,laplace,laplace,Locale_MainScenario:d_main_18_04_1,True,neon,7,idle,rapi,5,idle,anis,3,void,laplace,1,idle,drake,13,idle,maxwell,15,idle,WasteLand_03,S_10,S_10,1.0,bgm_inark,,,,,,,
d_main_18_04_2,d_main_18_04,Speech,drake,drake,Locale_MainScenario:d_main_18_04_2,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,130,1.0,,,,,,,,
d_main_18_04_3,d_main_18_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_04_3,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,angry,,130,150,1.0,,,,,,,,
d_main_18_04_4,d_main_18_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_04_4,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,angry,,150,150,1.0,,,,,,,,
d_main_18_04_5,d_main_18_04,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_04_5,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,angry,,150,150,1.0,,,,,,,,
d_main_18_04_6,d_main_18_04,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_04_6,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,angry,,150,150,1.0,,syuen_op_l,OP_leftup,idle,,,,
d_main_18_04_7,d_main_18_04,Speech,drake,drake,Locale_MainScenario:d_main_18_04_7,True,,7,idle,,5,idle,,3,void,,1,idle,,13,delight,,15,idle,,130,130,1.0,,,OP_leftup,idle,,,,
d_main_18_04_8,d_main_18_04,Speech,drake,drake,Locale_MainScenario:d_main_18_04_8,True,,7,idle,,5,idle,,3,void,,1,idle,,13,delight,,15,idle,,130,1300,0.5,,,OP_leftup,idle,,,,
d_main_18_04_9,d_main_18_04,Speech,rapi,rapi,Locale_MainScenario:d_main_18_04_9,False,,7,surprise,,5,worry,,3,angry,,1,idle,,13,idle,,15,idle,,50,50,1.0,,,OP_leftup,surprise,,,,
d_main_18_04_10,d_main_18_04,Speech,drake,drake,Locale_MainScenario:d_main_18_04_10,False,,7,surprise,,5,idle,,3,angry,,1,idle,,13,no,,15,idle,,1300,130,2.0,,,OP_leftup,surprise,,,,
