id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_workshop_03_01,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_01,True,Workshop,XS_10,XS_10,1.0,bgm_story_languor,,,liter,1,idle,,,,
d_ex_workshop_03_02,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_02,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,
d_ex_workshop_03_03,d_ex_workshop_03,Self,,,Locale_SuddenStory:d_ex_workshop_03_03,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,
d_ex_workshop_03_04,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_04,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,
d_ex_workshop_03_05,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_05,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,
d_ex_workshop_03_06,d_ex_workshop_03,Narration,,,Locale_SuddenStory:d_ex_workshop_03_06,True,,XS_10,XS_10,1.0,,sfx_scn_toyshopbell,,,1,idle,,,,
d_ex_workshop_03_07,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_07,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,
d_ex_workshop_03_08,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_08,True,,XS_10,XS_10,1.0,,,,,1,idle,maiden,17,idle,
d_ex_workshop_03_09,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_09,True,,XS_10,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_10,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_10,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_11,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_11,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_12,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_12,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_13,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_13,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_14,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_14,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_15,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_15,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_16,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_16,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_17,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_17,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_18,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_18,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_19,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_19,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_20,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_20,False,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_21,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_21,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_22,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_22,True,,113,113,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_23,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_23,True,,113,S_130,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_24,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_24,True,,S_130,S_130,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_25,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_25,True,,S_130,S_130,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_26,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_26,True,,S_130,S_130,1.0,none,,,,1,idle,,13,shy,
d_ex_workshop_03_27,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_27,True,,S_130,S_130,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_28,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_28,True,,XS_10,XS_10,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_29,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_29,True,,S_130,S_130,1.0,bgm_story_whosdumber,,,,1,idle,,13,shy,
d_ex_workshop_03_30,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_30,True,,S_130,S_130,1.0,,,,,1,idle,,13,shy,
d_ex_workshop_03_31,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_31,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,
d_ex_workshop_03_32,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_32,True,,S_130,XS_10,1.0,,,,,1,no,,13,idle,
d_ex_workshop_03_33,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_33,True,,XS_10,XS_10,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_34,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_34,True,,XS_10,XS_10,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_35,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_35,True,,XS_10,XS_10,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_36,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_36,True,,XS_10,113,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_37,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_37,True,,113,113,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_38,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_38,True,,113,113,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_39,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_39,True,,113,113,1.0,,,,,1,angry,,13,idle,
d_ex_workshop_03_40,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_40,True,,113,113,1.0,,,,,1,angry,,13,shy,
d_ex_workshop_03_41,d_ex_workshop_03,Speech,maiden,maiden,Locale_SuddenStory:d_ex_workshop_03_41,True,,113,113,1.0,,,,,1,angry,,13,shy,
d_ex_workshop_03_42,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_42,True,,113,113,1.0,,,,,1,angry,,13,shy,
d_ex_workshop_03_43,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_43,True,,113,113,1.0,,,,,1,no,,13,shy,
d_ex_workshop_03_44,d_ex_workshop_03,Self,,,Locale_SuddenStory:d_ex_workshop_03_44,True,,113,113,1.0,none,,,,1,no,,13,shy,
d_ex_workshop_03_45,d_ex_workshop_03,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_03_45,True,,113,113,1.0,,,,,1,angry,,13,shy,
d_ex_workshop_03_46,d_ex_workshop_03,Choice,,,Locale_SuddenStory:d_ex_workshop_03_46,True,,113,113,1.0,,,d_ex_workshop_03_48,,1,angry,,13,shy,
d_ex_workshop_03_47,d_ex_workshop_03,Choice,,,Locale_SuddenStory:d_ex_workshop_03_47,True,,113,113,1.0,,,d_ex_workshop_03_51,,1,angry,,13,shy,
