id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_redash_04_2_1,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_1,False,hongryeon_o,5,sad,TemporaryCamp,black,black,1.0,none,,,,,,,,,
d_ex_redash_04_2_2,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_2,False,,5,sad,,5,5,1.0,event_bgm_queensorder,sfx_scn_drawingsword,,,,,,,,
d_ex_redash_04_2_3,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_3,False,,5,angry,,5,500,0.5,,sfx_scn_swordcut,Low_2,,,,,,,
d_ex_redash_04_2_4,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_4,False,,5,angry,,500,500,1.0,,sfx_scn_dropshell,,,,,,,,
d_ex_redash_04_2_5,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_5,True,,5,sad,,500,5,0.5,,,,hongryeon_o,,,,,,
d_ex_redash_04_2_6,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_6,False,,5,sad,,5,5,1.0,,,,,,,,,,
d_ex_redash_04_2_7,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_7,True,,5,idle,,3,3,1.0,,,,redhood,redhood,3,idle,,,
d_ex_redash_04_2_8,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_8,True,,5,idle,,3,3,1.0,,,,redhood,,3,idle,,,
d_ex_redash_04_2_9,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_9,False,,5,sad,,4,4,1.0,,,,hongryeon_o,,3,idle,,,
d_ex_redash_04_2_10,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_10,True,,5,sad,,4,4,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_11,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_11,False,,5,sad,,5,5,1.0,,sfx_scn_drawingsword,,,,3,surprise,,,
d_ex_redash_04_2_12,d_ex_redash_04_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_2_12,False,,5,angry,,5,50,0.5,,sfx_scn_swordswing,Low_2,,,3,idle,,,
d_ex_redash_04_2_13,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_13,True,,5,angry,,30,3,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_14,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_14,True,,5,angry,,3,3,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_15,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_15,True,,5,angry,,3,4,1.0,,,,hongryeon_o,,3,idle,,,
d_ex_redash_04_2_16,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_16,True,,5,angry,,4,4,1.0,,,,hongryeon_o,,3,idle,,,
d_ex_redash_04_2_17,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_17,True,,5,angry,,4,4,1.0,,,,redhood,,3,smile,,,
d_ex_redash_04_2_18,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_18,True,,5,angry,,4,4,1.0,,,,hongryeon_o,,3,smile,,,
d_ex_redash_04_2_19,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_19,True,,5,angry,,4,4,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_20,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_20,True,,5,angry,,4,4,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_21,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_21,True,,5,angry,,4,4,1.0,,,,redhood,,3,surprise,,,
d_ex_redash_04_2_22,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_22,True,,5,think,,4,4,1.0,,,,hongryeon_o,,3,surprise,,,
d_ex_redash_04_2_23,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_23,True,,5,idle,,4,4,1.0,,,,hongryeon_o,,3,surprise,,,
d_ex_redash_04_2_24,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_24,True,,5,idle,,4,4,1.0,,,,redhood,,3,idle,,,
d_ex_redash_04_2_25,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_25,True,,5,idle,,4,4,1.0,,,,redhood,,3,idle,,,
d_ex_redash_04_2_26,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_26,True,,5,surprise,,4,4,1.0,,,,hongryeon_o,,3,idle,,,
d_ex_redash_04_2_27,d_ex_redash_04_2,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_04_2_27,True,,5,surprise,,4,4,1.0,,,,hongryeon_o,,3,idle,,,
d_ex_redash_04_2_28,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_28,True,,5,surprise,,4,4,1.0,,,,redhood,,3,idle,,,
d_ex_redash_04_2_29,d_ex_redash_04_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_2_29,True,,5,surprise,,4,4,1.0,,,,redhood,,3,no,,,
