id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,set_camera_shake,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_ex_gym_01_1,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_1,True,Gym,1,1,1.0,bgm_story_shopperholic,,,,,rupee,1,idle,,,,,,,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_gym_01_2,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_2,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,,,,,
d_ex_gym_01_3,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_3,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,,,,,
d_ex_gym_01_4,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_4,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,,,,,
d_ex_gym_01_5,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_5,True,,1,10,0.3,,,,,,,1,delight,,,,,,,,,,,,,
d_ex_gym_01_6,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_6,True,,10,10,1.0,,,,,,,1,delight,,rumani,13,idle,,,,,,,,,
d_ex_gym_01_7,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_7,True,,10,113,0.5,,,,,,,1,delight,,,13,idle,,,,,,,,,
d_ex_gym_01_8,d_ex_gym_01,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_01_8,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_9,d_ex_gym_01,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_01_9,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_10,d_ex_gym_01,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_01_10,True,,113,L_130,1.5,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_11,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_11,True,,L_130,10,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_12,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_12,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_13,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_13,True,,113,10,2.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
d_ex_gym_01_14,d_ex_gym_01,Speech,rupee,rupee,Locale_SuddenStory:d_ex_gym_01_14,False,,10,10,1.0,,m_ex_gym_01,,,,,1,"expression_0,idle",,,13,idle,,,,,,,,,
