id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1382_1,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_1,False,RuinIndoor,5,50,1.0,bgm_story_fairytalesend_if,escapednikke,5,idle,rapi,3,idle,anis,1,void,neon,13,worry
d_subquest_1382_2,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_2,True,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_3,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_3,True,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_4,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_4,False,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_5,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_5,True,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_6,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_6,True,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_7,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_7,False,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_8,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_8,False,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_9,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_9,False,,50,50,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_10,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_10,True,,50,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_11,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_11,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_12,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_12,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_13,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_13,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_14,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_14,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_15,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_15,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_16,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_16,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_17,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_17,True,,5,5,1.0,,,5,idle,,3,idle,,1,void,,13,worry
d_subquest_1382_18,d_subquest_1382,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1382_18,False,,10,10,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_19,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_19,True,,5,5,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_20,d_subquest_1382,Speech,anis,anis,Locale_SubScenario:d_subquest_1382_20,True,,10,10,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_21,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_21,True,,5,5,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_22,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_22,True,,5,50,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_23,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_23,True,,50,50,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_24,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_24,True,,50,50,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_25,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_25,True,,50,50,1.0,,,5,idle,,3,think,,1,void,,13,worry
d_subquest_1382_26,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_26,True,,50,50,1.0,,,5,idle,,3,think,,1,void,,13,worry
