id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,jump_target
d_main_15_04_1,d_main_15_04,Speech,anis,anis,Locale_MainScenario:d_main_15_04_1,True,rapi,6,idle,neon,4,idle,anis,2,worry,rupee,12,idle,dolla,14,idle,yan,16,etc,CityForest_02,2,2,1.0,bgm_recognition,,,,,,,,,,,,
d_main_15_04_2,d_main_15_04,Speech,anis,anis,Locale_MainScenario:d_main_15_04_2,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,etc,,2,2,1.0,,,,,,,,,,,,,
d_main_15_04_3,d_main_15_04,Speech,anis,anis,Locale_MainScenario:d_main_15_04_3,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,etc,,2,16,2.0,,,,,,,,,,,,,
d_main_15_04_4,d_main_15_04,Speech,rupee,rupee,Locale_MainScenario:d_main_15_04_4,False,,6,idle,,4,idle,,2,worry,,12,sad,,14,idle,,16,etc,,L_120,L_120,1.0,,,,,,,,,,,,,
d_main_15_04_5,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_5,False,,6,idle,,4,idle,,2,worry,,12,sad,,14,no,,16,etc,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_6,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_6,False,,6,idle,,4,idle,,2,worry,,12,sad,,14,no,,16,sad,,S_140,S_160,1.0,,,,,,,,,,,,,
d_main_15_04_7,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_7,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,no,,16,surprise,,S_160,S_1600,0.5,,,,,,,,,,,,,
d_main_15_04_8,d_main_15_04,Speech,neon,neon,Locale_MainScenario:d_main_15_04_8,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,surprise,,S_40,S_40,1.0,,,,,,,,,,,,,
d_main_15_04_9,d_main_15_04,Speech,neon,neon,Locale_MainScenario:d_main_15_04_9,True,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,S_40,S_400,0.5,,,,,,,,,,,,,
d_main_15_04_10,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_10,True,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_11,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_11,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_12,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_12,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,S_140,S_1400,2.0,,,,,,,,,,,,,
d_main_15_04_13,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_13,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,S_1400,S_1400,1.0,,,,,,,,,,,,,
d_main_15_04_14,d_main_15_04,Speech,anis,anis,Locale_MainScenario:d_main_15_04_14,True,,6,idle,,4,idle,,2,angry,,12,idle,,14,angry,,16,idle,,S_1400,20,0.5,,,,,,,,,,,,,
d_main_15_04_15,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_15,True,,6,idle,,4,idle,,2,angry,,12,idle,,14,angry,,16,idle,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_16,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_16,True,,6,idle,,4,idle,,2,angry,,12,idle,,14,angry,,16,idle,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_17,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_17,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,idle,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_18,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_18,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,S_140,14,1.0,,,,,,,,,,,,,
d_main_15_04_19,d_main_15_04,Self,,Self,Locale_MainScenario:d_main_15_04_19,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,good,,16,idle,,14,14,1.0,,,,,,,,,,,,,
d_main_15_04_20,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_20,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,etc,,14,16,1.0,,,,,,,,,,,,,
d_main_15_04_21,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_21,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,etc,,16,S_160,2.0,,,,,,,,,,,,,
d_main_15_04_22,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_22,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,etc,EventScene_Chap_12_01,laplace_event_03,laplace_event_04,2.0,,rapi,neon,anis,rupee,dolla,yan,Grey,,,,,
d_main_15_04_23,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_23,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,EventScene_Chap_13_01,laplace_event_04,1,2.0,,,,,,,,Grey,,,,,
d_main_15_04_24,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_24,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,Stage,S_160,S_160,1.0,,,,,,,,Grey,syuen,16,angry,,
