id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_trainstation_04_1,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_1,True,epinel,1,idle,Station,1,1,1.0,bgm_story_girlstalk,,,,,,,,
d_ex_trainstation_04_2,d_ex_trainstation_04,Choice,,,Locale_SuddenStory:d_ex_trainstation_04_2,False,,1,idle,,1,1,1.0,,d_ex_trainstation_04_4,,,,,,,
d_ex_trainstation_04_3,d_ex_trainstation_04,Choice,,,Locale_SuddenStory:d_ex_trainstation_04_3,False,,1,idle,,1,1,1.0,,d_ex_trainstation_04_5,,,,,,,
d_ex_trainstation_04_4,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_4,True,,1,idle,,1,1,1.0,,d_ex_trainstation_04_8,,,,,,,
d_ex_trainstation_04_5,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_5,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_6,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_6,False,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_7,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_7,True,,1,idle,,1,1,1.0,,d_ex_trainstation_04_8,,,,,,,
d_ex_trainstation_04_8,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_8,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_9,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_9,False,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_10,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_10,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_11,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_11,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_12,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_12,True,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_13,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_13,False,,1,idle,,1,1,1.0,,,,,,,,,
d_ex_trainstation_04_14,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_14,False,,1,idle,,1,XS_10,2.0,,,,,,,,,
d_ex_trainstation_04_15,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_15,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_trainstation_04_16,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_16,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_trainstation_04_17,d_ex_trainstation_04,Narration,,,Locale_SuddenStory:d_ex_trainstation_04_17,False,,1,idle,Storage,113,113,1.0,,,black,,,,,,
d_ex_trainstation_04_18,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_18,True,,1,idle,,113,113,1.0,,,,brid,13,idle,,,
d_ex_trainstation_04_19,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_19,True,,1,idle,,113,113,1.0,,,,,13,idle,,,
d_ex_trainstation_04_20,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_20,True,,1,idle,,113,113,1.0,,,,,13,idle,,,
d_ex_trainstation_04_21,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_21,True,,1,idle,,113,113,1.0,,,,,13,idle,,,
d_ex_trainstation_04_22,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_22,True,,1,idle,,113,15,1.0,,,,,13,idle,helm,15,idle
d_ex_trainstation_04_23,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_23,True,,1,idle,,15,15,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_24,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_24,False,,1,idle,,15,15,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_25,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_25,True,,1,idle,,15,15,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_26,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_26,True,,1,idle,,15,15,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_27,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_27,True,,1,idle,,15,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_28,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_28,True,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_29,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_29,True,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
