id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,jump_target
d_ex_goddessofvictory_02_1,d_ex_goddessofvictory_02,Narration,Locale_SuddenStory:d_ex_goddessofvictory_02_1,False,Park,5,1,2.0,bgm_story_weare,,,,,,,,,,
d_ex_goddessofvictory_02_2,d_ex_goddessofvictory_02,Narration,Locale_SuddenStory:d_ex_goddessofvictory_02_2,False,,1,XS_10,1.0,,n102,1,idle,,,,,,,
d_ex_goddessofvictory_02_3,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_3,True,,XS_10,2,1.0,,,1,idle,rapunzel,rapunzel,rapunzel,3,idle,,
d_ex_goddessofvictory_02_4,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_4,True,,2,2,1.0,,,1,idle,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_5,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_5,True,,2,2,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_6,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_6,True,,2,2,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_7,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_7,True,,2,2,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_8,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_8,True,,2,30,2.0,,,1,delight,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_9,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_9,True,,30,XS_10,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_10,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_10,True,,XS_10,XS_10,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_11,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_11,True,,30,30,1.0,,,1,delight,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_12,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_12,True,,XS_10,XS_10,1.0,,,1,delight,n102,n102,,3,idle,,
d_ex_goddessofvictory_02_13,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_13,True,,30,30,1.0,,,1,delight,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_14,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_14,True,,30,30,1.0,,,1,delight,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_15,d_ex_goddessofvictory_02,Self,Locale_SuddenStory:d_ex_goddessofvictory_02_15,False,,30,30,1.0,,,1,delight,rapunzel,,,3,idle,,
d_ex_goddessofvictory_02_16,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_16,True,,30,30,1.0,,,1,delight,rapunzel,rapunzel,,3,idle,,
d_ex_goddessofvictory_02_17,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_17,True,,30,300,1.0,,,1,delight,rapunzel,rapunzel,,3,pain,,
d_ex_goddessofvictory_02_18,d_ex_goddessofvictory_02,Speech,Locale_SuddenStory:d_ex_goddessofvictory_02_18,True,,300,2,1.0,,,1,delight,n102,n102,,3,idle,,
