id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_27_07_1,d_main_27_07,Speech,rapi,rapi,Locale_MainScenario:d_main_27_07_1,True,Desert_02_n,1,1,1.0,bgm_inark,,,,,rapi,1,idle,,liveryn,3,idle,,anis,5,idle,,elegg,13,idle,,hammering,15,smile,,,,,
d_main_27_07_2,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_2,True,,1,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_3,d_main_27_07,Speech,rapi,rapi,Locale_MainScenario:d_main_27_07_3,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_4,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_4,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_5,d_main_27_07,Speech,rapi,rapi,Locale_MainScenario:d_main_27_07_5,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_6,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_6,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_7,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_7,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_8,d_main_27_07,Speech,rapi,rapi,Locale_MainScenario:d_main_27_07_8,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_9,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_9,True,,31,31,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_10,d_main_27_07,Speech,anis,anis,Locale_MainScenario:d_main_27_07_10,True,,31,53,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_11,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_11,True,,53,53,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_12,d_main_27_07,Speech,anis,anis,Locale_MainScenario:d_main_27_07_12,True,,53,53,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_13,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_13,False,,53,53,1.0,,,,,,,1,idle,,,3,worry,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_14,d_main_27_07,Speech,anis,anis,Locale_MainScenario:d_main_27_07_14,True,,53,53,1.0,,,,,,,1,idle,,,3,worry,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_15,d_main_27_07,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_07_15,True,,53,53,1.0,,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,smile,,,,,
d_main_27_07_16,d_main_27_07,Narration,,,Locale_MainScenario:d_main_27_07_16,False,,53,53,1.0,,,,,,,1,idle,,,3,idle,liveryn,,5,idle,anis,,13,idle,,,15,smile,,,,,
d_main_27_07_17,d_main_27_07,Speech,elegg,elegg,Locale_MainScenario:d_main_27_07_17,True,,53,113,2.0,,,,,,,1,idle,,,,,,,,,,,13,worry,,,15,smile,,,,,
d_main_27_07_18,d_main_27_07,Speech,rapi,rapi,Locale_MainScenario:d_main_27_07_18,True,,113,113,1.0,,,,,,,1,idle,,,,,,,,,,,13,worry,,,15,smile,,,,,
d_main_27_07_19,d_main_27_07,Speech,elegg,elegg,Locale_MainScenario:d_main_27_07_19,True,,113,113,1.0,,,,,,,1,idle,,,,,,,,,,,13,idle,,,15,smile,,,,,
d_main_27_07_20,d_main_27_07,Self,,,Locale_MainScenario:d_main_27_07_20,False,,113,113,1.0,,,,,,,1,idle,,,,,,,,,,,13,idle,,,15,smile,,,,,
