id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_28_01_s_1,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_1,True,elegg,13,special,liveryn,1,surprise,hammering,3,idle,CrystalCity,13,S_130,0.6,bgm_destroyingcalamity_a,,,,,,,
d_main_28_01_s_2,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_2,True,,13,special,,1,surprise,,3,idle,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_3,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_3,True,,13,special,,1,surprise,,3,idle,,S_130,2,1.0,,,,,,,,
d_main_28_01_s_4,d_main_28_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_28_01_s_4,True,,13,special,,1,surprise,,3,idle,,2,2,1.0,,,,,,,,
d_main_28_01_s_5,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_5,True,,13,special,,1,worry,,3,idle,,2,2,1.0,,,,,,,,
d_main_28_01_s_6,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_6,True,,13,special,,1,worry,,3,idle,,2,2,1.0,,,,,,,,
d_main_28_01_s_7,d_main_28_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_28_01_s_7,True,,13,special,,1,worry,,3,smile,,2,2,1.0,,,,,,,,
d_main_28_01_s_8,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_8,True,,13,special,,1,idle,,3,smile,,2,10,1.0,,,,,,,,
d_main_28_01_s_9,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_9,True,,13,special,,1,idle,,3,smile,,10,10,1.0,,,,,,,,
d_main_28_01_s_10,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_10,True,,13,worry,,1,idle,,3,smile,,10,12,0.6,,,,,,,,
