id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/2/hide_char_id,effects/0/stop_effect_id
d_main_32_01_1,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_1,False,grave,1,idle,rapi,13,idle,neon,15,idle,anis,17,worry,HarmonyCube,L_10,L_10,1.0,bgm_chapter32_field_advance,,,,,,,,,,,,,,,,,,
d_main_32_01_2,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_2,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_3,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_3,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_4,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_4,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_5,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_5,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_6,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_6,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_7,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_7,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_8,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_8,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_100,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_9,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_9,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_10,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_10,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_11,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_11,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_12,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_12,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_13,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_13,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_14,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_14,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_15,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_15,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_16,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_16,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_100,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_17,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_17,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_18,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_18,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_19,d_main_32_01,Self,grave,Locale_MainScenario:d_main_32_01_19,False,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_20,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_20,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_21,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_21,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,L_10,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_22,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_22,True,,1,idle,,13,idle,,15,idle,,17,worry,,L_10,1,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_23,d_main_32_01,Speech,neon,Locale_MainScenario:d_main_32_01_23,True,,1,idle,,13,idle,,15,idle,,17,worry,,1,1517,2.0,,neon,,,,,,,,,,,,,,,,,
d_main_32_01_24,d_main_32_01,Speech,anis,Locale_MainScenario:d_main_32_01_24,True,,1,idle,,13,idle,,15,idle,,17,worry,,1517,1517,1.0,,anis,,,,,,,,,,,,,,,,,
d_main_32_01_25,d_main_32_01,Speech,rapi,Locale_MainScenario:d_main_32_01_25,False,,1,idle,,13,idle,,15,idle,,17,worry,,1517,13,1.5,,rapi,,,,,,,,,,,,,,,,,
d_main_32_01_26,d_main_32_01,Monologue,rapi,Locale_MainScenario:d_main_32_01_26,False,,1,idle,,13,idle,,15,idle,,17,worry,,13,113,1.0,,,,,,,,,,,,,,,,,,,
d_main_32_01_27,d_main_32_01,Speech,grave,Locale_MainScenario:d_main_32_01_27,True,,1,idle,,13,idle,,15,idle,,17,worry,,113,113,1.0,,grave,,,,,,,,,,,,,,,,,
d_main_32_01_28,d_main_32_01,Monologue,rapi,Locale_MainScenario:d_main_32_01_28,False,,1,idle,rapi_r,13,idle,,15,idle,,17,idle,,black,black,1.0,,,rapi,,,,,,,,,,,,,,,,
