id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/stop_effect_id
d_ex_clothingstore_06_1,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_1,True,rupee,12,idle,ClothingStore,12,12,1.0,bgm_story_shopperholic,fx_Eventscene_camera_recording,rec,True,,,,,
d_ex_clothingstore_06_2,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_2,True,,12,idle,,12,12,1.0,,,,,,,,,
d_ex_clothingstore_06_3,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_3,True,,12,delight,,12,L_120,0.7,,,,,,,,,
d_ex_clothingstore_06_4,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_4,True,,12,delight,,L_120,L_1200,0.5,,,,,,,,,
d_ex_clothingstore_06_5,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_5,True,,12,idle,,L_1200,L_120,1.5,,,,,,,,,
d_ex_clothingstore_06_6,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_6,True,,12,idle,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_7,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_7,True,,12,idle,,L_120,L_1200,1.0,,,,,,,,,
d_ex_clothingstore_06_8,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_8,True,,12,delight,,L_1200,L_1200,1.0,,,,,,,,,
d_ex_clothingstore_06_9,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_9,True,,12,delight,,L_1200,L_1200,1.0,,,,,,,,,
d_ex_clothingstore_06_10,d_ex_clothingstore_06,Choice,,,Locale_SuddenStory:d_ex_clothingstore_06_10,False,,12,delight,,L_1200,L_1200,1.0,,,,,d_ex_clothingstore_06_12,,,,
d_ex_clothingstore_06_11,d_ex_clothingstore_06,Choice,,,Locale_SuddenStory:d_ex_clothingstore_06_11,False,,12,delight,,L_1200,L_1200,1.0,,,,,d_ex_clothingstore_06_15,,,,
d_ex_clothingstore_06_12,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_12,True,,12,surprise,,L_1200,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_13,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_13,True,,12,shy,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_14,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_14,True,,12,shy,,L_120,L_120,1.0,,,,,d_ex_clothingstore_06_17,,,,
d_ex_clothingstore_06_15,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_15,True,,12,shy,,L_1200,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_16,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_16,True,,12,shy,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_17,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_17,True,,12,idle,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_18,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_18,True,,12,idle,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_19,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_19,True,,12,idle,,L_120,L_120,1.0,,,,,,,,,
d_ex_clothingstore_06_20,d_ex_clothingstore_06,Speech,rupee,rupee,Locale_SuddenStory:d_ex_clothingstore_06_20,True,,12,idle,,L_120,L_120,1.0,,,,,,,,,
