id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_goddessofvictory_05_1,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_1,True,Park,black,black,1.0,bgm_story_sundayintheark,,biscuit,1,idle,,,,,,,,
d_ex_goddessofvictory_05_2,d_ex_goddessofvictory_05,Monologue,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_2,False,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_3,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_3,True,,XS_10,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_4,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_4,True,,1,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_5,d_ex_goddessofvictory_05,Self,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_5,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_6,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_6,True,,1,1,1.0,,,,1,delight,,,,,,,,
d_ex_goddessofvictory_05_7,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_7,True,,1,1,1.0,,,,1,delight,,,,,,,,
d_ex_goddessofvictory_05_8,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_8,True,,1,14,1.0,,,,1,delight,mihara,13,idle,,yuni,15,idle,
d_ex_goddessofvictory_05_9,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_9,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_10,d_ex_goddessofvictory_05,Choice,,,Locale_SuddenStory:d_ex_goddessofvictory_05_10,False,,14,14,1.0,,d_ex_goddessofvictory_05_12,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_11,d_ex_goddessofvictory_05,Choice,,,Locale_SuddenStory:d_ex_goddessofvictory_05_11,False,,14,14,1.0,,d_ex_goddessofvictory_05_12,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_12,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_12,True,,XS_10,XS_10,1.0,,,,1,delight,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_13,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_13,True,,XS_10,XS_10,1.0,,,,1,delight,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_14,d_ex_goddessofvictory_05,Self,,,Locale_SuddenStory:d_ex_goddessofvictory_05_14,False,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_15,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_15,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_16,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_16,True,,14,14,1.0,,,,1,idle,,13,think,,,15,idle,
d_ex_goddessofvictory_05_17,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_17,True,,14,14,1.0,,,,1,idle,,13,think,,,15,surprise,
d_ex_goddessofvictory_05_18,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_18,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,surprise,
d_ex_goddessofvictory_05_19,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_19,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_20,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_20,True,,14,14,1.0,none,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_21,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_21,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_22,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_22,True,,14,130,2.0,bgm_story_kneeldownfools,,,1,idle,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_23,d_ex_goddessofvictory_05,Self,,,Locale_SuddenStory:d_ex_goddessofvictory_05_23,False,,130,130,1.0,,,,1,idle,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_24,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_24,True,,130,XS_10,0.7,,,,1,delight,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_25,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_25,True,,XS_10,XS_10,1.0,,,,1,delight,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_26,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_26,True,,XS_10,XS_10,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_27,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_27,True,,XS_10,XS_10,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_28,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_28,True,,XS_10,XS_10,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_29,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_29,True,,130,130,1.0,,,,1,idle,,13,surprise,,,15,idle,
d_ex_goddessofvictory_05_30,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_30,True,,130,130,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_31,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_31,True,,130,130,1.0,,,,1,idle,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_32,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_32,True,,130,14,1.0,,,,1,idle,,13,shy,,,15,shy,
d_ex_goddessofvictory_05_33,d_ex_goddessofvictory_05,Self,,,Locale_SuddenStory:d_ex_goddessofvictory_05_33,False,,14,14,1.0,,,,1,idle,,13,shy,,,15,shy,
d_ex_goddessofvictory_05_34,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_34,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_35,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_35,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_36,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_36,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_37,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_37,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_38,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_38,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,shy,
d_ex_goddessofvictory_05_39,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_39,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,shy,
d_ex_goddessofvictory_05_40,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_40,True,,14,14,1.0,,,,1,idle,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_41,d_ex_goddessofvictory_05,Speech,yuni,yuni,Locale_SuddenStory:d_ex_goddessofvictory_05_41,True,,14,14,1.0,,,,1,idle,,13,shy,,,15,idle,
d_ex_goddessofvictory_05_42,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_42,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_43,d_ex_goddessofvictory_05,Speech,mihara,mihara,Locale_SuddenStory:d_ex_goddessofvictory_05_43,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_44,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_44,True,,14,14,1.0,,,,1,idle,,13,idle,,,15,idle,
d_ex_goddessofvictory_05_45,d_ex_goddessofvictory_05,Monologue,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_45,False,,14,14,1.0,none,,,1,idle,,13,idle,mihara,,15,idle,yuni
d_ex_goddessofvictory_05_46,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_46,True,,14,1,2.0,,,,1,delight,,,,,,,,
d_ex_goddessofvictory_05_47,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_47,True,,1,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_48,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_48,True,,1,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_49,d_ex_goddessofvictory_05,Self,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_49,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_50,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_50,True,,1,XS_10,2.0,bgm_story_whosdumber,,,1,shy,,,,,,,,
d_ex_goddessofvictory_05_51,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_51,True,,XS_10,XS_10,1.0,,,,1,shy,,,,,,,,
d_ex_goddessofvictory_05_52,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_52,True,,XS_10,XS_10,1.0,,,,1,shy,,,,,,,,
d_ex_goddessofvictory_05_53,d_ex_goddessofvictory_05,Self,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_53,False,,XS_10,XS_10,1.0,,,,1,shy,,,,,,,,
d_ex_goddessofvictory_05_54,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_54,True,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_ex_goddessofvictory_05_55,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_55,True,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,
d_ex_goddessofvictory_05_56,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_56,True,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_57,d_ex_goddessofvictory_05,Self,biscuit,,Locale_SuddenStory:d_ex_goddessofvictory_05_57,False,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,
d_ex_goddessofvictory_05_58,d_ex_goddessofvictory_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_goddessofvictory_05_58,True,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,
