id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_24af_01_1,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_1,True,EnikkRoom,2,2,1.0,none,,burningum,2,idle,,poli_op,OP_leftup,idle,,miranda_op_r,OP_rightup,idle,
d_main_24af_01_2,d_main_24af_01,Speech,poli_op,poli_op,Locale_MainScenario:d_main_24af_01_2,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_3,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_3,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_4,d_main_24af_01,Speech,poli_op,poli_op,Locale_MainScenario:d_main_24af_01_4,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_5,d_main_24af_01,Speech,miranda_op_r,miranda_op_r,Locale_MainScenario:d_main_24af_01_5,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_6,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_6,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_7,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_7,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_12,d_main_24af_01,Speech,poli_op,poli_op,Locale_MainScenario:d_main_24af_01_12,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,idle,
d_main_24af_01_13,d_main_24af_01,Speech,miranda_op_r,miranda_op_r,Locale_MainScenario:d_main_24af_01_13,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,delight,
d_main_24af_01_14,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_14,True,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,,,OP_rightup,delight,
d_main_24af_01_15,d_main_24af_01,Narration,,Narration,Locale_MainScenario:d_main_24af_01_15,False,,2,2,1.0,,,,2,idle,,,OP_leftup,idle,poli_op,,OP_rightup,delight,miranda_op_r
d_main_24af_01_16,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_16,False,,2,20,2.0,,,,2,think,,,,,,,,,
d_main_24af_01_17,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_17,True,,20,20,1.0,,,,2,think,,,,,,,,,
d_main_24af_01_18,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_18,True,,20,20,1.0,,,,2,think,,,,,,,,,
d_main_24af_01_19,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_19,True,,20,20,1.0,,,,2,think,,,,,,,,,
d_main_24af_01_20,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_20,True,,20,20,1.0,,,,2,think,,,,,,,,,
d_main_24af_01_21,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_21,False,,20,20,1.0,,,,2,think,,,,,,,,,
d_main_24af_01_22,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_22,True,,20,20,1.0,,,,2,angry,,,,,,,,,
d_main_24af_01_23,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_23,True,,20,1,1.0,,,,2,angry,,enikk,12,special,,,,,
d_main_24af_01_24,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_24,True,,1,1,1.0,,,,2,angry,,,12,special,,,,,
d_main_24af_01_25,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_25,True,,1,1,1.0,,,,2,angry,,,12,special,,,,,
d_main_24af_01_26,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_26,True,,1,1,1.0,,,,2,angry,,,12,special,,,,,
d_main_24af_01_27,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_27,True,,1,1,1.0,,,,2,angry,,,12,special,,,,,
d_main_24af_01_28,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_28,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_29,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_29,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_30,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_30,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_31,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_31,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_32,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_32,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_33,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_33,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_34,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_34,True,,1,120,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_35,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_35,True,,120,120,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_36,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_36,True,,120,120,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_37,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_37,True,,120,120,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_38,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_38,True,,120,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_39,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_39,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_40,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_40,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_41,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_41,True,,1,1,1.0,,,,2,surprise,,,12,special,,,,,
d_main_24af_01_42,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_42,True,,1,1,1.0,,,,2,surprise,,,12,special,,,,,
d_main_24af_01_43,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_43,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_44,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_44,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_45,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_45,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_46,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_46,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_47,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_47,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_48,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_48,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_49,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_49,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_50,d_main_24af_01,Speech,enikk,enikk,Locale_MainScenario:d_main_24af_01_50,True,,1,1,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_51,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_51,False,,1,20,2.0,,,,2,think,,,12,special,,,,,
d_main_24af_01_52,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_52,True,,20,20,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_53,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_53,True,,20,20,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_54,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_54,True,,20,20,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_55,d_main_24af_01,Speech,burningum,burningum,Locale_MainScenario:d_main_24af_01_55,True,,20,20,1.0,,,,2,idle,,,12,special,,,,,
d_main_24af_01_56,d_main_24af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24af_01_56,True,Office,1,1,1.0,,black,,2,idle,burningum,,12,special,enikk,ingrid,1,idle,
d_main_24af_01_57,d_main_24af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24af_01_57,True,,1,1,1.0,,,,,,,,,,,,1,think,
d_main_24af_01_58,d_main_24af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24af_01_58,True,,1,1,1.0,,,,,,,,,,,,1,idle,
d_main_24af_01_59,d_main_24af_01,Self,,Self,Locale_MainScenario:d_main_24af_01_59,False,,1,1,1.0,,,,,,,,,,,,1,idle,
d_main_24af_01_60,d_main_24af_01,Self,,Self,Locale_MainScenario:d_main_24af_01_60,False,,1,1,1.0,,,,,,,,,,,,1,idle,
d_main_24af_01_61,d_main_24af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24af_01_61,True,,1,1,1.0,,,,,,,,,,,,1,idle,
