id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_35_02_1,d_main_35_02,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_02_1,True,laplace,5,idle,cinderella,3,idle,rapi_red,1,idle,maxwell,13,idle,grave_p,15,idle,drake,17,idle,Jungle1,2,2,1.0,bgm_chapter35_field_swamp
d_main_35_02_2,d_main_35_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_02_2,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,2,2,1.0,
d_main_35_02_3,d_main_35_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_02_3,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,2,2,1.0,
d_main_35_02_4,d_main_35_02,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_02_4,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,2,2,1.0,
d_main_35_02_5,d_main_35_02,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_02_5,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,2,2,1.0,
d_main_35_02_6,d_main_35_02,Monologue,rapi_red,,Locale_MainScenario:d_main_35_02_6,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,2,10,1.0,
d_main_35_02_7,d_main_35_02,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_35_02_7,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,
d_main_35_02_8,d_main_35_02,Self,rapi_red,,Locale_MainScenario:d_main_35_02_8,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,
d_main_35_02_9,d_main_35_02,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_02_9,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,S_30,1.0,
d_main_35_02_10,d_main_35_02,Speech,laplace,laplace,Locale_MainScenario:d_main_35_02_10,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_30,4,0.7,
