id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_filter_01,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,jump_target
d_main_20af_01_1,d_main_20af_01,Monologue,Monologue,Locale_MainScenario:d_main_20af_01_1,False,Eden,5,1,2.0,none,,,,,,,,,,,,,,,,,,,,,
d_main_20af_01_2,d_main_20af_01,Monologue,Monologue,Locale_MainScenario:d_main_20af_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20af_01_3,d_main_20af_01,Monologue,Monologue,Locale_MainScenario:d_main_20af_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20af_01_4,d_main_20af_01,Monologue,Monologue,Locale_MainScenario:d_main_20af_01_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20af_01_5,d_main_20af_01,Speech,neon,Locale_MainScenario:d_main_20af_01_5,False,EdenIndoor,S_20,S_20,1.0,,neon,neon,2,worry,rapi,12,idle,anis,14,idle,black,,,,,,,,,,
d_main_20af_01_6,d_main_20af_01,Speech,neon,Locale_MainScenario:d_main_20af_01_6,True,,S_20,S_20,1.0,,neon,,2,idle,,12,idle,,14,idle,,,,,,,,,,,
d_main_20af_01_7,d_main_20af_01,Speech,neon,Locale_MainScenario:d_main_20af_01_7,True,,S_20,S_20,1.0,,neon,,2,idle,,12,idle,,14,idle,,,,,,,,,,,
d_main_20af_01_8,d_main_20af_01,Self,Self,Locale_MainScenario:d_main_20af_01_8,False,,S_20,S_20,1.0,,,,2,idle,,12,idle,,14,idle,,,,,,,,,,,
d_main_20af_01_9,d_main_20af_01,Speech,rapi,Locale_MainScenario:d_main_20af_01_9,True,,S_20,1,1.0,,rapi,,2,idle,,12,think,,14,idle,,,,,,,,,,,
d_main_20af_01_10,d_main_20af_01,Speech,rapi,Locale_MainScenario:d_main_20af_01_10,True,,1,1,1.0,,rapi,,2,idle,,12,think,,14,idle,,,,,,,,,,,
d_main_20af_01_11,d_main_20af_01,Speech,anis,Locale_MainScenario:d_main_20af_01_11,True,,1,13,2.0,,anis,,2,idle,,12,think,,14,sad,,,,,,,,,,,
d_main_20af_01_12,d_main_20af_01,Narration,Narration,Locale_MainScenario:d_main_20af_01_12,False,,black,black,1.0,,,,2,idle,,12,think,,14,sad,,neon,rapi,anis,sfx_scn_autodooropen,,,,,,
d_main_20af_01_13,d_main_20af_01,Monologue,Monologue,Locale_MainScenario:d_main_20af_01_13,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20af_01_14,d_main_20af_01,Narration,Narration,Locale_MainScenario:d_main_20af_01_14,False,,black,black,1.0,,,,,,,,,,,,,,,,sfx_scn_autodooropen,,,,,,
d_main_20af_01_15,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_15,True,,1,1,1.0,bgm_story_edenin,cecil,cecil,1,sad,,,,,,,,,,,,,,,,,
d_main_20af_01_16,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_16,True,,1,1,1.0,,cecil,,1,sad,,,,,,,,,,,,,,,,,
d_main_20af_01_17,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_17,True,,1,1,1.0,,cecil,,1,idle,,,,,,,,,,,,,,,,,
d_main_20af_01_18,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_18,True,,1,1,1.0,,cecil,,1,idle,,,,,,,,,,,,,,,,,
d_main_20af_01_19,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_19,True,,1,10,2.0,,cecil,,1,angry,,,,,,,,,,,,,,,,,
d_main_20af_01_20,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_20,True,,10,10,1.0,,cecil,,1,angry,,,,,,,,,,,,,,,,,
d_main_20af_01_21,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_21,True,,10,10,1.0,,cecil,,1,delight,,,,,,,,,,,,,,,,,
d_main_20af_01_22,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_22,True,,10,10,1.0,,cecil,,1,delight,,,,,,,,,,,,,,,,,
d_main_20af_01_23,d_main_20af_01,Speech,cecil,Locale_MainScenario:d_main_20af_01_23,True,,10,10,1.0,,cecil,,1,delight,,,,,,,,,,,,,,,,,
