id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/1/hide_char_id,set_camera_shake,characters/2/hide_char_id
d_ex_mysteryclub_02_1,d_ex_mysteryclub_02,Narration,Locale_SuddenStory:d_ex_mysteryclub_02_1,False,none,black,black,1.0,sfx_scn_toyshopbell,,,,,,,,,,,,,,,,
d_ex_mysteryclub_02_2,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_2,True,Bar,1,1,1.0,,soline,soline,soline,1,idle,bgm_story_leisuretime,,,,,,,,,,
d_ex_mysteryclub_02_3,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_3,True,,1,1,1.0,,soline,soline,,1,idle,,,,,,,,,,,
d_ex_mysteryclub_02_4,d_ex_mysteryclub_02,Self,Locale_SuddenStory:d_ex_mysteryclub_02_4,False,,1,1,1.0,,soline,,,1,idle,,,,,,,,,,,
d_ex_mysteryclub_02_5,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_5,True,,1,S_10,1.0,,soline,soline,,1,delight,,,,,,,,,,,
d_ex_mysteryclub_02_6,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_6,True,,S_10,S_10,1.0,,soline,soline,,1,delight,,,,,,,,,,,
d_ex_mysteryclub_02_7,d_ex_mysteryclub_02,Self,Locale_SuddenStory:d_ex_mysteryclub_02_7,False,,S_10,S_10,1.0,,soline,,,1,delight,,,,,,,,,,,
d_ex_mysteryclub_02_8,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_8,True,,4,4,1.0,,mihara,mihara,,1,idle,,mihara,5,idle,yuni,3,idle,,,,
d_ex_mysteryclub_02_9,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_9,True,,4,4,1.0,,mihara,mihara,,1,idle,,,5,surprise,,3,idle,,,,
d_ex_mysteryclub_02_10,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_10,True,,4,4,1.0,,yuni,yuni,,1,idle,,,5,surprise,,3,idle,,,,
d_ex_mysteryclub_02_11,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_11,True,,4,4,1.0,,yuni,yuni,,1,idle,,,5,surprise,,3,idle,,,,
d_ex_mysteryclub_02_12,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_12,True,,4,2,1.0,,soline,soline,,1,idle,,,5,surprise,,3,idle,,,,
d_ex_mysteryclub_02_13,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_13,True,,2,2,1.0,,yuni,yuni,,1,idle,,,5,idle,,3,idle,,,,
d_ex_mysteryclub_02_14,d_ex_mysteryclub_02,Speech,Locale_SuddenStory:d_ex_mysteryclub_02_14,True,,2,2,1.0,,yuni,yuni,,1,idle,,,5,idle,,3,idle,,,,
