id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_26_5_s_1,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_1,True,neon,1,idle,anis,3,worry,Desert_05,2,2,1.0,bgm_story_whosdumber,,,
d_main_26_5_s_2,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_2,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_3,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_3,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_4,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_4,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_5,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_5,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_6,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_6,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_7,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_7,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_8,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_8,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_9,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_9,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_10,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_10,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_11,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_11,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_12,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_12,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_13,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_13,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_14,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_14,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_15,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_15,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_16,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_16,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_17,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_17,False,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_18,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_18,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_19,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_19,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_20,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_20,True,,1,worry,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_21,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_21,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_22,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_22,True,,1,idle,,3,worry,,2,2,1.0,,,,
d_main_26_5_s_23,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_23,False,,1,worry,,3,pain,,S_10,S_10,1.0,,,,
d_main_26_5_s_24,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_24,False,,1,worry,,3,pain,,30,30,1.0,,,,
d_main_26_5_s_25,d_main_26_05_s,Self,,,Locale_MainScenario:d_main_26_5_s_25,False,,1,worry,,3,pain,,30,30,1.0,,,,
d_main_26_5_s_26,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_26,True,,1,no,,3,angry,,S_10,S_10,1.0,,,,
d_main_26_5_s_27,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_27,True,,1,no,,3,angry,,30,30,1.0,,,,
d_main_26_5_s_28,d_main_26_05_s,Self,,,Locale_MainScenario:d_main_26_5_s_28,False,,1,no,,3,angry,,30,30,1.0,,,,
d_main_26_5_s_29,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_29,True,,1,no,,3,angry,,S_10,S_100,1.0,,,,
d_main_26_5_s_30,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_30,True,,1,no,,3,angry,,S_100,S_100,1.0,,,,
d_main_26_5_s_31,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_31,True,,1,no,,3,angry,,S_100,S_100,1.0,,,,
d_main_26_5_s_32,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_32,True,,1,no,,3,angry,,30,300,1.0,,,,
d_main_26_5_s_33,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_33,True,,1,no,,3,angry,,300,300,1.0,,,,
d_main_26_5_s_34,d_main_26_05_s,Self,,,Locale_MainScenario:d_main_26_5_s_34,False,,1,no,,3,angry,,300,300,1.0,,,,
d_main_26_5_s_35,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_35,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_36,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_36,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_37,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_37,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_38,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_38,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_39,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_39,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_40,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_40,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_41,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_41,True,,1,idle,,3,void,,2,2,1.0,,,,
d_main_26_5_s_42,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_42,True,,1,idle,,3,angry,,2,2,1.0,,,,
d_main_26_5_s_43,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_43,True,,1,idle,,3,angry,,2,2,1.0,,,,
d_main_26_5_s_44,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_44,True,,1,idle,,3,angry,,7,7,1.0,,dorothy,7,think
d_main_26_5_s_45,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_45,True,,1,surprise,,3,void,,2,2,1.0,,,7,think
d_main_26_5_s_46,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_46,True,,1,surprise,,3,void,,2,2,1.0,,,7,think
d_main_26_5_s_47,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_47,True,,1,surprise,,3,void,,7,7,1.0,,,7,think
d_main_26_5_s_48,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_48,True,,1,surprise,,3,void,,30,30,1.0,,,7,think
d_main_26_5_s_49,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_49,True,,1,surprise,,3,void,,7,70,1.0,,,7,think
d_main_26_5_s_50,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_50,True,,1,surprise,,3,void,,70,70,1.0,,,7,think
d_main_26_5_s_51,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_51,True,,1,surprise,,3,void,,S_10,S_10,1.0,,,7,think
d_main_26_5_s_52,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_52,True,,1,surprise,,3,void,,70,70,1.0,,,7,think
d_main_26_5_s_53,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_53,False,,1,surprise,,3,void,,30,30,1.0,,,7,think
d_main_26_5_s_54,d_main_26_05_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_5_s_54,True,,1,surprise,,3,void,,70,7,1.0,,,7,think
d_main_26_5_s_55,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_55,True,,1,no,,3,angry,,2,2,1.0,,,7,think
d_main_26_5_s_56,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_56,True,,1,no,,3,angry,,2,2,1.0,,,7,think
d_main_26_5_s_57,d_main_26_05_s,Self,,,Locale_MainScenario:d_main_26_5_s_57,False,,1,no,,3,angry,,2,2,1.0,,,7,think
d_main_26_5_s_58,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_58,True,,1,no,,3,angry,,2,30,1.0,,,7,think
d_main_26_5_s_59,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_59,True,,1,no,,3,angry,,30,30,1.0,,,7,think
d_main_26_5_s_60,d_main_26_05_s,Speech,anis,anis,Locale_MainScenario:d_main_26_5_s_60,True,,1,no,,3,angry,,30,30,1.0,,,7,think
d_main_26_5_s_61,d_main_26_05_s,Speech,neon,neon,Locale_MainScenario:d_main_26_5_s_61,True,,1,no,,3,angry,,S_10,S_10,1.0,,,7,think
