id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound
d_main_33_07_1,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_1,False,leviathan,1,smile,behemoth,3,idle,WhiteHouse,S_10,S_10,1.0,bgm_story_confront,,,
d_main_33_07_2,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_2,False,,1,smile,,3,idle,,S_10,S_10,1.0,,,,
d_main_33_07_3,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_3,True,,1,idle,,3,idle,,S_10,S_100,1.0,,leviathan,leviathan,
d_main_33_07_4,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_4,True,,1,idle,,3,idle,,S_100,S_100,1.0,,leviathan,leviathan,
d_main_33_07_5,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_5,True,,1,idle,,3,idle,,S_100,S_100,1.0,,leviathan,leviathan,
d_main_33_07_6,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_6,False,,1,idle,,3,idle,,S_100,S_100,1.0,,leviathan,,
d_main_33_07_7,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_7,True,,1,think_02,,3,idle,,S_100,S_10,1.0,,leviathan,leviathan,
d_main_33_07_8,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_8,True,,1,think_02,,3,idle,,S_10,S_10,1.0,,leviathan,leviathan,
d_main_33_07_9,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_9,True,,1,think_01,,3,idle,,S_10,S_10,1.0,,leviathan,leviathan,
d_main_33_07_10,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_10,True,,1,idle,,3,idle,,S_10,S_10,1.0,,leviathan,leviathan,
d_main_33_07_11,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_11,True,,1,idle,,3,idle,,S_10,31,1.0,,behemoth,behemoth,
d_main_33_07_12,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_12,False,,1,think_01,,3,idle,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_13,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_13,False,,1,think_01,,3,idle,,black,black,1.0,,leviathan,,
d_main_33_07_14,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_14,False,,1,think_01,,3,idle,,black,black,1.0,,leviathan,,
d_main_33_07_15,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_15,True,,1,think_01,,3,worry,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_16,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_16,False,,1,think_01,,3,worry,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_17,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_17,True,,1,think_01,,3,worry,,31,30,1.0,,behemoth,behemoth,
d_main_33_07_18,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_18,True,,1,think_01,,3,worry,,30,30,1.0,,behemoth,behemoth,
d_main_33_07_19,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_19,True,,1,think_01,,3,good,,30,30,1.0,,behemoth,behemoth,
d_main_33_07_20,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_20,True,,1,angry,,3,good,,S_10,S_100,0.7,,leviathan,leviathan,
d_main_33_07_21,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_21,True,,1,angry,,3,good,,S_100,300,1.0,,behemoth,behemoth,
d_main_33_07_22,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_22,True,,1,angry,,3,worry,,300,3,1.0,,behemoth,behemoth,
d_main_33_07_23,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_23,True,,1,angry,,3,worry,,3,31,1.0,,leviathan,leviathan,
d_main_33_07_24,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_24,True,,1,pain,,3,worry,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_25,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_25,True,,1,pain,,3,worry,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_26,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_26,True,,1,pain,,3,surprise,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_27,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_27,True,,1,pain,,3,surprise,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_28,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_28,True,,1,pain,,3,void,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_29,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_29,True,,1,pain,,3,void,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_30,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_30,True,,1,pain,,3,angry,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_31,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_31,True,,1,pain,,3,angry,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_32,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_32,False,,1,pain,,3,angry,,31,31,1.0,,behemoth,,
d_main_33_07_33,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_33,False,,1,think_01,,3,angry,,31,1,1.0,,leviathan,leviathan,
d_main_33_07_34,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_34,True,,1,smile,,3,angry,,1,S_10,1.0,,leviathan,leviathan,
d_main_33_07_35,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_35,True,,1,smile,,3,angry,,S_10,S_100,0.7,,leviathan,leviathan,
d_main_33_07_36,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_36,False,,1,smile,,3,angry,,S_100,S_100,1.0,,leviathan,,
d_main_33_07_37,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_37,True,,1,idle,,3,idle,,S_100,S_10,1.0,,leviathan,leviathan,
d_main_33_07_38,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_38,True,,1,idle,,3,idle,,S_10,31,1.0,,leviathan,leviathan,
d_main_33_07_39,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_39,True,,1,idle,,3,surprise,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_40,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_40,True,,1,angry,,3,surprise,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_41,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_41,True,,1,think_01,,3,idle,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_42,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_42,False,,1,think_01,,3,idle,,31,31,1.0,,behemoth,,
d_main_33_07_43,d_main_33_07,Narration,Locale_MainScenario:d_main_33_07_43,False,,1,think_01,,3,idle,,black,black,1.0,,behemoth,,sfx_scn_swordcut
d_main_33_07_44,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_44,False,,1,think_01,,3,idle,,300,30,0.7,,behemoth,,
d_main_33_07_45,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_45,False,,1,think_01,,3,idle,,30,30,1.0,,behemoth,,
d_main_33_07_46,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_46,False,,1,think_01,,3,idle,,30,30,1.0,,behemoth,,sfx_scn_bloodfall
d_main_33_07_47,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_47,False,,1,think_01,,3,idle,,30,30,1.0,,behemoth,,
d_main_33_07_48,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_48,True,,1,think_01,,3,idle,,30,30,1.0,,behemoth,behemoth,
d_main_33_07_49,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_49,True,,1,think_01,,3,idle,,30,30,1.0,,behemoth,behemoth,
d_main_33_07_50,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_50,False,,1,think_01,,3,idle,,30,S_10,1.0,,leviathan,,sfx_scn_bloodfall
d_main_33_07_51,d_main_33_07,Monologue,Locale_MainScenario:d_main_33_07_51,False,,1,think_01,,3,idle,,S_10,S_10,1.0,,leviathan,,sfx_scn_darkwaterrustle
d_main_33_07_52,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_52,True,,1,think_01,,3,idle,,S_10,S_10,1.0,,leviathan,leviathan,
d_main_33_07_53,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_53,True,,1,think_01,,3,idle,,S_10,S_10,1.0,,leviathan,leviathan,
d_main_33_07_54,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_54,True,,1,think_01,,3,idle,,S_10,S_100,1.0,,leviathan,leviathan,
d_main_33_07_55,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_55,True,,1,think_01,,3,idle,,S_100,S_100,1.0,,leviathan,leviathan,
d_main_33_07_56,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_56,True,,1,think_01,,3,idle,,S_100,S_100,1.0,,leviathan,leviathan,
d_main_33_07_57,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_57,True,,1,think_01,,3,idle,,S_100,S_10,1.0,,leviathan,leviathan,
d_main_33_07_58,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_58,False,,1,think_01,,3,idle,,S_10,S_10,1.0,,leviathan,,
d_main_33_07_59,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_59,False,,1,think_01,,3,void,,S_10,31,1.0,,behemoth,behemoth,
d_main_33_07_60,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_60,True,,1,think_01,,3,void,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_61,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_61,True,,1,smile,,3,void,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_62,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_62,True,,1,smile,,3,idle,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_63,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_63,True,,1,smile,,3,idle,,31,31,1.0,,behemoth,behemoth,
d_main_33_07_64,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_64,True,,1,idle,,3,idle,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_65,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_65,True,,1,no,,3,idle,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_66,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_66,True,,1,no,,3,idle,,31,31,1.0,,leviathan,leviathan,
d_main_33_07_67,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_67,True,,1,idle,,3,void,,31,S_10,1.0,,leviathan,leviathan,
d_main_33_07_68,d_main_33_07,Self,Locale_MainScenario:d_main_33_07_68,False,,1,idle,,3,void,,S_10,S_10,1.0,,leviathan,,
d_main_33_07_69,d_main_33_07,Speech,Locale_MainScenario:d_main_33_07_69,True,,1,smile,,3,void,,S_10,S_100,1.0,,leviathan,leviathan,
