id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_25_01_1,d_main_25_01,Speech,anis,anis,Locale_MainScenario:d_main_25_01_1,True,CityForest_01,10,10,1.0,bgm_chaser,anis,1,idle,neon,13,idle
d_main_25_01_2,d_main_25_01,Speech,neon,neon,Locale_MainScenario:d_main_25_01_2,True,,10,12,1.0,,,1,idle,,13,idle
d_main_25_01_3,d_main_25_01,Self,neon,,Locale_MainScenario:d_main_25_01_3,False,,12,12,1.0,,,1,idle,,13,idle
d_main_25_01_4,d_main_25_01,Narration,neon,,Locale_MainScenario:d_main_25_01_4,False,,black,black,1.0,,,1,void,,13,idle
d_main_25_01_5,d_main_25_01,Speech,neon,neon,Locale_MainScenario:d_main_25_01_5,True,,S_130,S_130,1.0,,,1,void,,13,idle
d_main_25_01_6,d_main_25_01,Speech,anis,anis,Locale_MainScenario:d_main_25_01_6,True,,10,10,1.0,,,1,void,,13,idle
d_main_25_01_7,d_main_25_01,Speech,neon,neon,Locale_MainScenario:d_main_25_01_7,True,,S_130,S_130,1.0,,,1,void,,13,idle
d_main_25_01_8,d_main_25_01,Speech,anis,anis,Locale_MainScenario:d_main_25_01_8,True,,S_130,12,2.0,,,1,void,,13,idle
d_main_25_01_9,d_main_25_01,Speech,anis,anis,Locale_MainScenario:d_main_25_01_9,True,,12,12,1.0,,,1,void,,13,idle
d_main_25_01_10,d_main_25_01,Self,anis,,Locale_MainScenario:d_main_25_01_10,False,,12,12,1.0,,,1,void,,13,idle
d_main_25_01_11,d_main_25_01,Speech,neon,neon,Locale_MainScenario:d_main_25_01_11,True,,12,12,1.0,,,1,void,,13,idle
d_main_25_01_12,d_main_25_01,Monologue,neon,,Locale_MainScenario:d_main_25_01_12,False,,12,S_130,1.0,,,1,void,,13,idle
d_main_25_01_13,d_main_25_01,Speech,neon,neon,Locale_MainScenario:d_main_25_01_13,True,,S_130,S_130,1.0,,,1,void,,13,idle
d_main_25_01_14,d_main_25_01,Speech,anis,anis,Locale_MainScenario:d_main_25_01_14,True,,10,10,1.0,,,1,void,,13,idle
