id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_17_07_1,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_1,True,hongryeon,5,idle,rapunzel,3,idle,RuinIndoor,50,5,1.0,bgm_story_6f6e6573656c66,,,,,,,,,,,,,,,
d_main_17_07_2,d_main_17_07,Self,hongryeon,,Locale_MainScenario:d_main_17_07_2,False,,5,idle,,3,idle,,5,5,1.0,,snowwhite,1,idle,,,,,,,,,,,,
d_main_17_07_3,d_main_17_07,Choice,hongryeon,,Locale_MainScenario:d_main_17_07_3,False,,5,idle,,3,idle,,5,5,1.0,,,1,idle,d_main_17_07_5,,,,,,,,,,,
d_main_17_07_4,d_main_17_07,Choice,hongryeon,,Locale_MainScenario:d_main_17_07_4,False,,5,idle,,3,idle,,5,5,1.0,,,1,idle,d_main_17_07_19,,,,,,,,,,,
d_main_17_07_5,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_5,True,,5,idle,,3,idle,,5,5,1.0,,,1,idle,,,,,,,,,,,,
d_main_17_07_6,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_6,True,,5,no,,3,idle,,5,50,1.0,,,1,idle,,,,,,,,,,,,
d_main_17_07_7,d_main_17_07,Self,hongryeon,,Locale_MainScenario:d_main_17_07_7,False,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,,,,,,,,,,
d_main_17_07_8,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_8,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,,,,,,,,,,
d_main_17_07_9,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_9,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,rapi,13,idle,,,,,,,,
d_main_17_07_10,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_10,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,13,idle,,,,,,,,
d_main_17_07_11,d_main_17_07,Speech,rapi,rapi,Locale_MainScenario:d_main_17_07_11,True,,5,no,,3,idle,,130,130,1.0,,,1,idle,,,13,idle,,,,,,,,
d_main_17_07_12,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_12,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,13,idle,,,,,,,,
d_main_17_07_13,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_13,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,13,idle,,,,,,,,
d_main_17_07_14,d_main_17_07,Self,hongryeon,,Locale_MainScenario:d_main_17_07_14,False,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,13,idle,rapi,,,,,,,
d_main_17_07_15,d_main_17_07,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_07_15,True,,5,no,,3,idle,,50,50,1.0,,,1,idle,,,,,,,,,,,,
