id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_observationpost_06_1,d_ex_observationpost_06,Monologue,Monologue,Locale_SuddenStory:d_ex_observationpost_06_1,False,BriefingRoom,black,black,1.0,bgm_story_orangepop,,,,,,,,
d_ex_observationpost_06_2,d_ex_observationpost_06,Monologue,Monologue,Locale_SuddenStory:d_ex_observationpost_06_2,False,,black,black,1.0,,,,,,,,,
d_ex_observationpost_06_3,d_ex_observationpost_06,Self,Self,Locale_SuddenStory:d_ex_observationpost_06_3,False,,1,1,1.0,,anchor,1,idle,,,,,
d_ex_observationpost_06_4,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_4,True,,1,1,1.0,,,1,idle,anchor,,,,
d_ex_observationpost_06_5,d_ex_observationpost_06,Self,Self,Locale_SuddenStory:d_ex_observationpost_06_5,False,,1,1,1.0,,,1,idle,,,,,
d_ex_observationpost_06_6,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_6,True,,1,1,1.0,,,1,idle,anchor,,,,
d_ex_observationpost_06_7,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_7,True,,1,1,1.0,,,1,angry,anchor,,,,
d_ex_observationpost_06_8,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_8,True,,1,1,1.0,,,1,angry,anchor,,,,
d_ex_observationpost_06_9,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_9,True,,1,1,1.0,,,1,angry,anchor,,,,
d_ex_observationpost_06_10,d_ex_observationpost_06,Self,Self,Locale_SuddenStory:d_ex_observationpost_06_10,False,,1,1,1.0,,,1,angry,,,,,
d_ex_observationpost_06_11,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_11,False,,1,S_10,2.0,,,1,idle,anchor,,,,
d_ex_observationpost_06_12,d_ex_observationpost_06,Speech,anchor,Locale_SuddenStory:d_ex_observationpost_06_12,True,,S_10,S_10,1.0,,,1,idle,anchor,,,,
d_ex_observationpost_06_13,d_ex_observationpost_06,Narration,Narration,Locale_SuddenStory:d_ex_observationpost_06_13,False,,black,black,1.0,,,1,idle,,sfx_scn_autodooropen,,,
d_ex_observationpost_06_14,d_ex_observationpost_06,Speech,biscuit,Locale_SuddenStory:d_ex_observationpost_06_14,True,,1,2,1.0,,,1,idle,biscuit,,biscuit,3,sad
d_ex_observationpost_06_15,d_ex_observationpost_06,Speech,biscuit,Locale_SuddenStory:d_ex_observationpost_06_15,True,,2,2,1.0,,,1,idle,biscuit,,,3,idle
d_ex_observationpost_06_16,d_ex_observationpost_06,Speech,biscuit,Locale_SuddenStory:d_ex_observationpost_06_16,True,,2,2,1.0,,,1,idle,biscuit,,,3,idle
d_ex_observationpost_06_17,d_ex_observationpost_06,Self,Self,Locale_SuddenStory:d_ex_observationpost_06_17,False,,2,2,1.0,,,1,idle,,,,3,idle
d_ex_observationpost_06_18,d_ex_observationpost_06,Speech,biscuit,Locale_SuddenStory:d_ex_observationpost_06_18,True,,2,2,1.0,,,1,idle,biscuit,,,3,sad
