id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound
d_main_36_07_s_1,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_1,True,EventScene_Chap_36_01,1,d_main_36_07_s_1,1.5,event_bgm_oldtales_alongwait,,,,,,,,,,,,
d_main_36_07_s_2,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_2,False,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_3,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_3,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_4,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_4,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_5,d_main_36_07_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_07_s_5,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_6,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_6,True,,d_main_36_07_s_1,d_main_36_07_s_6,1.9,,,,,,,,,,,,,
d_main_36_07_s_7,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_7,True,,d_main_36_07_s_6,d_main_36_07_s_7,1.9,,,,,,,,,,,,,
d_main_36_07_s_8,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_8,True,,d_main_36_07_s_7,d_main_36_07_s_8,1.9,,,,,,,,,,,,,
d_main_36_07_s_9,d_main_36_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_07_s_9,True,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_10,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_10,False,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_11,d_main_36_07_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_07_s_11,False,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_12,d_main_36_07_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_07_s_12,True,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_13,d_main_36_07_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_07_s_13,True,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_14,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_14,True,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_15,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_15,True,,d_main_36_07_s_8,d_main_36_07_s_1,2.0,,,,,,,,,,,,,
d_main_36_07_s_16,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_16,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_17,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_17,False,Jungle1,black,black,1.0,,cinderella,1,sad,grave_p,13,idle,,,,,,
d_main_36_07_s_18,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_18,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,
d_main_36_07_s_19,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_19,True,,12,S_10,1.3,,,1,sad,,13,idle,,,,,,
d_main_36_07_s_20,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_20,False,EventScene_Chap_36_01,black,black,1.0,,,1,sad,,13,idle,cinderella,grave_p,,,,
d_main_36_07_s_21,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_21,False,,d_main_36_07_s_20,d_main_36_07_s_21,1.5,,,,,,,,,,,,,
d_main_36_07_s_22,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_22,False,,d_main_36_07_s_21,d_main_36_07_s_22,1.5,,,,,,,,,,,,,
d_main_36_07_s_23,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_23,True,,d_main_36_07_s_22,d_main_36_07_s_22,1.0,,,,,,,,,,,,,
d_main_36_07_s_24,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_24,True,,d_main_36_07_s_22,d_main_36_07_s_22,1.0,,,,,,,,,,,,,
d_main_36_07_s_25,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_25,True,,d_main_36_07_s_22,d_main_36_07_s_22,1.0,,,,,,,,,,,,,
d_main_36_07_s_26,d_main_36_07_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_07_s_26,False,,d_main_36_07_s_22,d_main_36_07_s_22,1.0,,,,,,,,,,,,,
d_main_36_07_s_27,d_main_36_07_s,Monologue,leviathan,,Locale_MainScenario:d_main_36_07_s_27,False,,black,black,1.0,,,,,,,,,,,,,
d_main_36_07_s_28,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_28,True,,d_main_36_07_s_28,d_main_36_07_s_7,1.5,,,,,,,,,,,,,
d_main_36_07_s_29,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_29,True,,d_main_36_07_s_7,d_main_36_07_s_7,1.0,,,,,,,,,,,,,
d_main_36_07_s_30,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_30,True,,d_main_36_07_s_7,d_main_36_07_s_7,1.0,,,,,,,,,,,,,
d_main_36_07_s_31,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_31,True,,d_main_36_07_s_7,d_main_36_07_s_7,1.0,,,,,,,,,,,,,
d_main_36_07_s_32,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_32,True,,d_main_36_07_s_7,d_main_36_07_s_8,1.5,,,,,,,,,,,,,
d_main_36_07_s_33,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_33,False,,d_main_36_07_s_8,d_main_36_07_s_8,1.0,,,,,,,,,,,,,
d_main_36_07_s_34,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_34,True,,d_main_36_07_s_8,d_main_36_07_s_34,1.5,,,,,,,,,,,,,
d_main_36_07_s_35,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_35,True,,d_main_36_07_s_34,d_main_36_07_s_34,1.0,,,,,,,,,,,,,
d_main_36_07_s_36,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_36,True,,d_main_36_07_s_34,d_main_36_07_s_34,1.0,,,,,,,,,,,,,
d_main_36_07_s_37,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_37,True,,d_main_36_07_s_34,d_main_36_07_s_34,1.0,,,,,,,,,,,,,
d_main_36_07_s_38,d_main_36_07_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_s_38,True,,d_main_36_07_s_34,d_main_36_07_s_34,1.0,,,,,,,,,,,,,
d_main_36_07_s_39,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_39,True,,d_main_36_07_s_34,d_main_36_07_s_8,1.5,,,,,,,,,,,,,
d_main_36_07_s_40,d_main_36_07_s,Monologue,cinderella,,Locale_MainScenario:d_main_36_07_s_40,False,,d_main_36_07_s_8,d_main_36_07_s_1,2.5,,,,,,,,,,,,,
d_main_36_07_s_41,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_41,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_42,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_42,True,,d_main_36_07_s_1,d_main_36_07_s_1,1.0,,,,,,,,,,,,,
d_main_36_07_s_43,d_main_36_07_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_07_s_43,False,Jungle1,black,black,1.0,,cinderella,1,sad,grave_p,13,idle,,,leviathan,3,think_01,
d_main_36_07_s_44,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_44,True,,S_10,S_10,1.0,none,,1,sad,,13,idle,,,,3,think_01,
d_main_36_07_s_45,d_main_36_07_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_36_07_s_45,True,,S_10,S_10,1.0,,,1,sad,,13,idle,,,,3,think_01,
