id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_06_08_s_1,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_1,True,talkative,1,idle,IceLand_01,1,1,1.0,bgm_enemyclose,,,,,
d_main_06_08_s_2,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_2,True,,1,idle,,1,XS_10,1.0,,talkative,,,,
d_main_06_08_s_3,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_3,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_4,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_4,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_5,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_5,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_6,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_6,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_7,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_7,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_8,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_8,False,,1,idle,,XS_10,XS_100,1.0,,talkative,,,,
d_main_06_08_s_9,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_9,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_10,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_10,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_11,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_11,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_12,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_12,True,,1,idle,,XS_100,XS_10,1.0,,talkative,,,,
d_main_06_08_s_13,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_13,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_14,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_14,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_15,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_15,False,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_16,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_16,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_17,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_17,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_18,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_18,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_19,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_19,True,,1,idle,,XS_10,XS_100,1.0,,talkative,,,,
d_main_06_08_s_20,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_20,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_21,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_21,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_22,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_22,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_23,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_23,True,,1,idle,,XS_100,XS_10,1.0,,talkative,,,,
d_main_06_08_s_24,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_24,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_25,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_25,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_26,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_26,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_27,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_27,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_28,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_28,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_29,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_29,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_30,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_30,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_31,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_31,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_32,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_32,True,,1,idle,,XS_10,XS_10,1.0,,talkative,,,,
d_main_06_08_s_33,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_33,True,,1,idle,,XS_10,XS_100,0.5,,talkative,,,,
d_main_06_08_s_34,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_34,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_35,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_35,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_36,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_36,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_37,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_37,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_38,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_38,True,,1,idle,,XS_100,XS_100,1.0,,talkative,,,,
d_main_06_08_s_39,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_39,False,,1,idle,,XS_100,XS_10,1.0,,talkative,,,,
d_main_06_08_s_40,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_40,True,,1,idle,,XS_10,XS_100,1.0,,talkative,,,,
d_main_06_08_s_41,d_main_06_08_s,Narration,Narration,Locale_MainScenario:d_main_06_08_s_41,True,,1,idle,,black,black,1.0,none,talkative,sfx_scn_snowwhiterifle,,,
d_main_06_08_s_42,d_main_06_08_s,Narration,Narration,Locale_MainScenario:d_main_06_08_s_42,True,,1,idle,,black,black,1.0,bgm_spot_counterattack,talkative,,,,
d_main_06_08_s_43,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_43,False,,1,idle,,XS_10,XS_100,0.5,,talkative,,,,
d_main_06_08_s_44,d_main_06_08_s,Speech,unknown,Locale_MainScenario:d_main_06_08_s_44,True,,1,idle,,5,50,0.5,,snowwhite,,snowwhite,5,idle
d_main_06_08_s_45,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_45,True,,1,idle,,XS_10,XS_100,0.5,,talkative,,,5,idle
d_main_06_08_s_46,d_main_06_08_s,Speech,unknown,Locale_MainScenario:d_main_06_08_s_46,True,,1,idle,,50,500,1.0,,snowwhite,,,5,idle
d_main_06_08_s_47,d_main_06_08_s,Narration,Narration,Locale_MainScenario:d_main_06_08_s_47,True,,1,idle,,black,black,1.0,,unknown,sfx_scn_snowwhiterifle,,5,idle
d_main_06_08_s_48,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_48,True,,1,idle,,XS_10,XS_100,0.5,,talkative,,,5,idle
d_main_06_08_s_49,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_49,True,,15,idle,,XS_100,1,1.0,,talkative,,,5,idle
d_main_06_08_s_50,d_main_06_08_s,Monologue,,Locale_MainScenario:d_main_06_08_s_50,True,,15,idle,,1,1,1.0,,talkative,,,1,idle
d_main_06_08_s_51,d_main_06_08_s,Speech,unknown,Locale_MainScenario:d_main_06_08_s_51,True,,15,idle,,1,1,1.0,,snowwhite,,,1,idle
d_main_06_08_s_52,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_52,True,,15,idle,,1,1,1.0,,unknown,,,1,idle
d_main_06_08_s_53,d_main_06_08_s,Speech,unknown,Locale_MainScenario:d_main_06_08_s_53,False,,15,idle,,1,1,1.0,,unknown,,,1,idle
d_main_06_08_s_54,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_54,True,,15,idle,,1,10,1.0,,snowwhite,,,1,idle
d_main_06_08_s_55,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_55,True,,15,idle,,10,10,1.0,,snowwhite,,,1,idle
d_main_06_08_s_56,d_main_06_08_s,Self,Self,Locale_MainScenario:d_main_06_08_s_56,True,,15,idle,,10,10,1.0,,snowwhite,,,1,idle
d_main_06_08_s_57,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_57,True,,15,idle,,10,1,1.0,,snowwhite,,,1,idle
d_main_06_08_s_58,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_58,True,,15,idle,,1,1,1.0,,snowwhite,,,1,idle
d_main_06_08_s_59,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_59,True,,15,idle,,1,1,1.0,,snowwhite,,,1,idle
d_main_06_08_s_60,d_main_06_08_s,Speech,talkative,Locale_MainScenario:d_main_06_08_s_60,True,,15,idle,,XS_150,XS_1500,0.5,,talkative,,,1,idle
d_main_06_08_s_61,d_main_06_08_s,Speech,snowwhite,Locale_MainScenario:d_main_06_08_s_61,True,,15,idle,,1,10,1.0,,snowwhite,,,1,idle
