id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_02_08_e_1,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_1,True,TechIndoor,100,100,1.0,bgm_emergency,,,anis,1,angry,,neon,3,idle,,,,,
d_main_02_08_e_2,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_2,True,,100,S_300,0.5,,,,,1,angry,,,3,idle,,,,,
d_main_02_08_e_3,d_main_02_08_e,Speech,neon,neon,Locale_MainScenario:d_main_02_08_e_3,True,,S_300,S_300,1.0,,,,,1,angry,,,3,idle,,,,,
d_main_02_08_e_4,d_main_02_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_02_08_e_4,True,,S_300,S_300,1.0,,,,,1,angry,,,3,idle,,shifty,OP_leftup,angry,
d_main_02_08_e_5,d_main_02_08_e,Speech,shifty,shifty,Locale_MainScenario:d_main_02_08_e_5,True,,S_300,S_300,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_6,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_6,True,,S_300,100,0.5,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_7,d_main_02_08_e,Self,Self,Self,Locale_MainScenario:d_main_02_08_e_7,False,,100,10,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_8,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_8,True,,10,100,0.5,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_9,d_main_02_08_e,Narration,anis,Narration,Locale_MainScenario:d_main_02_08_e_9,False,,100,100,1.0,,sfx_scn_slap,Low_2,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_10,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_10,True,,100,100,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_11,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_11,True,,100,100,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_12,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_12,True,,100,100,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_13,d_main_02_08_e,Self,anis,Self,Locale_MainScenario:d_main_02_08_e_13,True,,100,100,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_14,d_main_02_08_e,Speech,anis,anis,Locale_MainScenario:d_main_02_08_e_14,True,,100,100,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_15,d_main_02_08_e,Speech,neon,neon,Locale_MainScenario:d_main_02_08_e_15,True,,S_30,S_300,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_16,d_main_02_08_e,Speech,neon,neon,Locale_MainScenario:d_main_02_08_e_16,True,,S_300,S_300,1.0,,,,,1,angry,,,3,idle,,,OP_leftup,angry,
d_main_02_08_e_17,d_main_02_08_e,Monologue,neon,,Locale_MainScenario:d_main_02_08_e_17,True,none,S_300,S_300,1.0,,,,,1,angry,anis,,3,idle,neon,,OP_leftup,angry,shifty
d_main_02_08_e_18,d_main_02_08_e,Monologue,neon,,Locale_MainScenario:d_main_02_08_e_18,True,,S_300,S_300,1.0,,,,,,,,,,,,,,,
