id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_12_02_e_1,d_main_12_02_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_12_02_e_1,True,Factory,1,1,1.0,bgm_groundfall,,,,shifty_c,OP_center,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_12_02_e_2,d_main_12_02_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_12_02_e_2,True,,1,1,1.0,,,,,,OP_center,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_12_02_e_3,d_main_12_02_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_12_02_e_3,True,,1,1,1.0,none,,,,,OP_center,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_12_02_e_4,d_main_12_02_e,Speech,laplace,laplace,Locale_MainScenario:d_main_12_02_e_4,False,,1315,1315,1.0,,,,,,OP_leftup,surprise,shifty_c,,,,,,,,,maxwell,13,angry,,laplace,15,angry,,,,,,,,,,,,
d_main_12_02_e_5,d_main_12_02_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_02_e_5,True,,1315,1315,1.0,bgm_emergency,,,,,,,,,,,,,,,,,13,angry,,,15,angry,,,,,,,,,,,,
d_main_12_02_e_6,d_main_12_02_e,Narration,,,Locale_MainScenario:d_main_12_02_e_6,False,,black,black,1.0,,sfx_scn_aims,Black,,,,idle,,anis,1,delight,,neon,3,no,,,13,idle,,,15,angry,,,,,,,,,,,,
d_main_12_02_e_7,d_main_12_02_e,Speech,anis,anis,Locale_MainScenario:d_main_12_02_e_7,True,,31,31,1.0,,,,,,,,,,1,delight,,,3,no,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_8,d_main_12_02_e,Speech,neon,neon,Locale_MainScenario:d_main_12_02_e_8,True,,31,31,1.0,,,,,,,,,,1,delight,,,3,no,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_9,d_main_12_02_e,Speech,neon,neon,Locale_MainScenario:d_main_12_02_e_9,True,,31,S_30,1.0,,,,,,,,,,1,delight,,,3,no,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_10,d_main_12_02_e,Choice,,,Locale_MainScenario:d_main_12_02_e_10,False,,S_30,S_30,1.0,,,,d_main_12_02_e_12,,,,,,1,delight,,,3,no,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_11,d_main_12_02_e,Choice,,,Locale_MainScenario:d_main_12_02_e_11,False,,S_30,S_30,1.0,,,,d_main_12_02_e_12,,,,,,1,delight,,,3,no,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_12,d_main_12_02_e,Speech,neon,neon,Locale_MainScenario:d_main_12_02_e_12,True,,S_30,S_300,1.0,none,,,,,,,,,1,delight,,,3,delight,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_13,d_main_12_02_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_02_e_13,True,,S_300,113,1.0,bgm_groundfall,,,,,,,,,1,delight,,,3,delight,,,13,angry,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_14,d_main_12_02_e,Speech,anis,anis,Locale_MainScenario:d_main_12_02_e_14,True,,113,113,1.0,,,,,,,,,,1,delight,,,3,delight,,,13,angry,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_15,d_main_12_02_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_02_e_15,True,,113,113,1.0,,,,,,,,,,1,delight,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,
d_main_12_02_e_16,d_main_12_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_02_e_16,True,,113,113,1.0,,,,,shifty,OP_leftup,sad,,,1,delight,,,3,idle,neon,,13,idle,,,15,idle,,emma,17,idle,,eunhwa,7,idle,vesti,9,idle,
d_main_12_02_e_17,d_main_12_02_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_02_e_17,True,,97,97,1.0,,,,,,OP_leftup,sad,shifty,,1,delight,anis,,,idle,,,13,idle,,,15,idle,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_18,d_main_12_02_e,Speech,vesti,vesti,Locale_MainScenario:d_main_12_02_e_18,True,,97,97,1.0,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_19,d_main_12_02_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_02_e_19,True,,130,130,1.0,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_20,d_main_12_02_e,Speech,emma,emma,Locale_MainScenario:d_main_12_02_e_20,True,,170,170,1.0,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_21,d_main_12_02_e,Speech,laplace,laplace,Locale_MainScenario:d_main_12_02_e_21,False,,170,XS_150,1.0,,,,,,,,,,,delight,,,,,,,13,idle,,,15,shy,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_22,d_main_12_02_e,Speech,laplace,laplace,Locale_MainScenario:d_main_12_02_e_22,True,,XS_150,XS_150,1.0,,,,,,,,,anis,1,delight,,neon,3,idle,,,13,idle,,,15,angry,,,17,idle,,,7,idle,,9,idle,
d_main_12_02_e_23,d_main_12_02_e,Speech,neon,neon,Locale_MainScenario:d_main_12_02_e_23,True,,XS_150,31,1.0,,,,,,,,,,1,delight,,,3,surprise,,,13,idle,,,15,angry,,,17,idle,,,7,idle,,9,idle,vesti
d_main_12_02_e_24,d_main_12_02_e,Speech,anis,anis,Locale_MainScenario:d_main_12_02_e_24,True,,31,31,1.0,,,,,,,,,,1,delight,,,3,surprise,,,13,idle,,,15,angry,,,17,idle,emma,,7,idle,rapi,5,idle,
d_main_12_02_e_25,d_main_12_02_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_02_e_25,True,,70,70,1.0,,,,,,,,,,1,delight,anis,,3,surprise,neon,,13,idle,maxwell,,15,idle,,,,,,,7,angry,,5,idle,
d_main_12_02_e_26,d_main_12_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_12_02_e_26,True,,70,70,1.0,,,,,shifty,OP_leftup,idle,,,,,,,,,,,,,,,15,idle,,,,,,,7,angry,,5,idle,
d_main_12_02_e_27,d_main_12_02_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_02_e_27,True,,70,70,1.0,,,,,,OP_leftup,idle,shifty,,,,,,,,,,,,,,15,idle,,,,,,,7,idle,,5,idle,
d_main_12_02_e_28,d_main_12_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_02_e_28,True,,70,75,1.0,,,,,,,,,,,,,,,,,,,,,,15,idle,,,,,,,7,idle,,5,idle,
d_main_12_02_e_29,d_main_12_02_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_02_e_29,True,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,15,idle,laplace,,,,,,7,idle,,5,idle,
d_main_12_02_e_30,d_main_12_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_02_e_30,True,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,idle,,,,,,,7,idle,,5,idle,
d_main_12_02_e_31,d_main_12_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_12_02_e_31,True,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,laplace,3,idle,,emma,1,worry,,,7,idle,,5,idle,
d_main_12_02_e_32,d_main_12_02_e,Speech,emma,emma,Locale_MainScenario:d_main_12_02_e_32,True,,75,31,1.0,,,,,,,,,,,,,,,,,,,,,,3,idle,,,1,worry,,,7,idle,,5,idle,
d_main_12_02_e_33,d_main_12_02_e,Speech,laplace,laplace,Locale_MainScenario:d_main_12_02_e_33,True,,31,31,1.0,,,,,,,,,,,,,,,,,,,,,,3,idle,,,1,worry,,,7,idle,,5,idle,
