id,group_id,speech_window,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,highlight,speaker,play_sound,fade,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_30_08_s_1,d_main_30_08_s,Monologue,Locale_MainScenario:d_main_30_08_s_1,False,hammering,1,etc,CrystalField_2,3,1,2.0,bgm_chapter30_field_whitecity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_08_s_2,d_main_30_08_s,Monologue,Locale_MainScenario:d_main_30_08_s_2,False,,1,etc,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_08_s_3,d_main_30_08_s,Monologue,Locale_MainScenario:d_main_30_08_s_3,False,,1,etc,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_08_s_4,d_main_30_08_s,Monologue,Locale_MainScenario:d_main_30_08_s_4,False,,1,etc,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_08_s_5,d_main_30_08_s,Monologue,Locale_MainScenario:d_main_30_08_s_5,False,,1,etc,,black,black,1.0,,rapi,3,idle,anis,5,sad,neon,7,worry,drilley,13,idle,elegg,15,idle,liveryn,17,worry,fragile,19,idle,,,,,,,,
d_main_30_08_s_6,d_main_30_08_s,Self,Locale_MainScenario:d_main_30_08_s_6,False,,1,etc,,10,10,1.0,,,3,idle,,5,sad,,7,worry,,13,idle,,15,idle,,17,worry,,19,idle,,,,,,,,
d_main_30_08_s_7,d_main_30_08_s,Speech,Locale_MainScenario:d_main_30_08_s_7,True,,1,etc,,10,10,1.0,,,3,idle,,5,sad,,7,worry,,13,idle,,15,idle,,17,worry,,19,idle,hammering,hammering,,,,,,
d_main_30_08_s_8,d_main_30_08_s,Speech,Locale_MainScenario:d_main_30_08_s_8,True,,1,etc,,10,10,1.0,,,3,idle,,5,sad,,7,worry,,13,idle,,15,idle,,17,worry,,19,idle,hammering,hammering,,,,,,
d_main_30_08_s_9,d_main_30_08_s,Speech,Locale_MainScenario:d_main_30_08_s_9,True,,1,etc,,10,12,1.0,,,3,idle,,5,sad,,7,worry,,13,angry,,15,idle,,17,worry,,19,idle,drilley,drilley,,,,,,
d_main_30_08_s_10,d_main_30_08_s,Speech,Locale_MainScenario:d_main_30_08_s_10,True,,1,etc,,12,12,1.0,,,3,idle,,5,sad,,7,worry,,13,angry,,15,idle,,17,worry,,19,idle,hammering,hammering,,,,,,
