id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,fade,characters/4/hide_char_id,set_camera_shake,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_20_10_e_1,d_main_20_10_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_10_e_1,True,nihilister,1,idle,anis,15,angry,neon,17,idle,papillon,19,idle,Volcano_04,1,1,1.0,bgm_disaster,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_2,d_main_20_10_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_10_e_2,True,,1,idle,,15,angry,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_3,d_main_20_10_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_10_e_3,True,,1,smile,,15,angry,,17,idle,,19,idle,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_4,d_main_20_10_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_10_e_4,True,,1,smile,,15,angry,,17,idle,,19,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_5,d_main_20_10_e,Narration,,Narration,Locale_MainScenario:d_main_20_10_e_5,False,,1,smile,,15,angry,,17,idle,,19,idle,,black,black,1.0,,sfx_scn_regeneration,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_6,d_main_20_10_e,Speech,anis,anis,Locale_MainScenario:d_main_20_10_e_6,True,,1,idle,,15,angry,,17,idle,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_7,d_main_20_10_e,Speech,neon,neon,Locale_MainScenario:d_main_20_10_e_7,True,,1,idle,,15,angry,,17,angry,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_8,d_main_20_10_e,Self,,Self,Locale_MainScenario:d_main_20_10_e_8,False,,1,idle,,15,angry,,17,angry,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_9,d_main_20_10_e,Self,,Self,Locale_MainScenario:d_main_20_10_e_9,False,,1,idle,,15,angry,,17,angry,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_20_10_e_10,d_main_20_10_e,Speech,papillon,papillon,Locale_MainScenario:d_main_20_10_e_10,True,,1,idle,,15,angry,,17,idle,,19,angry,,16,19,1.0,,,,,,,,,,,,,,,,,,,,,,
