id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/1/play_effect_id,effects/1/set_effect_position,effects/0/play_effect_id,effects/0/set_effect_position,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,effects/1/stop_effect_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_02,characters/5/hide_char_id,set_camera_shake,fade
d_main_07_06_e_1,d_main_07_06_e,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_e_1,True,modenia_event,1,"intro,idle",IceLand_01,modenia_event_01,modenia_event_01,1.0,bgm_disaster,fx_EventScene_Chap_07_02_smoke,fx_EventScene_Chap_07_02_smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_2,d_main_07_06_e,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_e_2,True,,1,idle,,modenia_event_01,modenia_event_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_3,d_main_07_06_e,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_e_3,True,,1,idle,,modenia_event_01,modenia_event_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_4,d_main_07_06_e,Speech,anis,anis,Locale_MainScenario:d_main_07_06_e_4,True,,1,idle,,modenia_event_01,modenia_event_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_5,d_main_07_06_e,Speech,neon,neon,Locale_MainScenario:d_main_07_06_e_5,True,,1,idle,,modenia_event_01,modenia_event_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_6,d_main_07_06_e,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_e_6,False,,1,idle,,modenia_event_01,modenia_event_02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_7,d_main_07_06_e,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_e_7,True,,1,idle,,modenia_event_02,modenia_event_02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_8,d_main_07_06_e,Monologue,,,Locale_MainScenario:d_main_07_06_e_8,True,,1,"intro_2,idle_2",,modenia_event_02,modenia_event_02,1.0,none,,,fx_EventScene_Chap_07_02_crack,fx_EventScene_Chap_07_02_crack,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_9,d_main_07_06_e,Monologue,,,Locale_MainScenario:d_main_07_06_e_9,True,,1,idle_2,,modenia_event_02,modenia_event_02,1.0,bgm_story_trauma,,,,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_10,d_main_07_06_e,Monologue,,,Locale_MainScenario:d_main_07_06_e_10,True,,1,idle_2,,modenia_event_03,modenia_event_03,1.0,,,,,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_07_06_e_11,d_main_07_06_e,Speech,modenia,unknown,Locale_MainScenario:d_main_07_06_e_11,True,snowwhite,1,idle_2,,17,170,2.0,,,,,,,modenia_event,anis,5,idle,rapi,3,idle,neon,7,idle,modenia,17,idle,fx_EventScene_Chap_07_02_smoke,,,,,,,,,,,
d_main_07_06_e_12,d_main_07_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_07_06_e_12,False,,1,idle,,30,300,0.5,,,,,,,,,5,angry,,3,angry,,7,idle,,17,idle,,,,,,,,,,,,
d_main_07_06_e_13,d_main_07_06_e,Speech,anis,anis,Locale_MainScenario:d_main_07_06_e_13,True,,1,idle,,50,500,0.5,,,,,,,,,5,angry,,3,angry,,7,idle,,17,idle,,,,,,,,,,,,
d_main_07_06_e_14,d_main_07_06_e,Speech,neon,neon,Locale_MainScenario:d_main_07_06_e_14,False,,1,idle,,S_70,S_70,1.0,,,,,,,,,5,angry,,3,angry,,7,idle,,17,idle,,,,,,,,,,,,
d_main_07_06_e_15,d_main_07_06_e,Speech,marian,marian,Locale_MainScenario:d_main_07_06_e_15,True,,1,idle,Desert_01,10,10,1.0,,,,,,Grey,snowwhite,,5,angry,,3,angry,,7,idle,,17,idle,,anis,rapi,neon,modenia,marian,1,idle,Blur_High,,,
