id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_34_04_1,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_1,True,BlackPuddle,5,50,1.0,bgm_chapter34_field_clash_a,,,,emma_t,9,idle,vesti_t,7,idle,eunhwa_t,5,idle,anis,3,idle,rapi,1,idle,neon,13,idle,,,,,,
d_main_34_04_2,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_2,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_3,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_3,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_4,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_4,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_5,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_5,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_6,d_main_34_04,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_04_6,True,,50,8,1.5,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_7,d_main_34_04,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_04_7,True,,8,8,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_8,d_main_34_04,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_04_8,True,,8,8,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_9,d_main_34_04,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_04_9,True,,8,8,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_10,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_10,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_11,d_main_34_04,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_04_11,True,,8,8,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_12,d_main_34_04,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_04_12,True,,8,8,1.0,,,,,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_13,d_main_34_04,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_04_13,True,,8,8,1.0,,,,,,9,angry,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_14,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_14,True,,8,6,1.0,,,,,,9,angry,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_15,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_15,True,,6,6,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_16,d_main_34_04,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_04_16,True,,6,6,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_17,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_17,False,,6,6,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_18,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_18,True,,6,6,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_19,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_19,True,,6,6,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,,,,,
d_main_34_04_20,d_main_34_04,Speech,anis,anis,Locale_MainScenario:d_main_34_04_20,True,,6,4,1.0,,,,,,9,idle,,7,shy,,5,idle,,3,angry,,1,idle,,13,idle,,,,,,
d_main_34_04_21,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_21,True,,4,4,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,,,,,
d_main_34_04_22,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_22,True,,4,50,1.0,,,,,,9,idle,,7,idle,,5,angry,,3,angry,,1,idle,,13,idle,,,,,,
d_main_34_04_23,d_main_34_04,Speech,rapi,rapi,Locale_MainScenario:d_main_34_04_23,False,,10,10,1.0,,,,,,9,idle,,7,idle,,5,angry,,3,angry,,1,think,,13,idle,,,,,,
d_main_34_04_24,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_24,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,angry,,3,angry,,1,think,,13,idle,,,,,,
d_main_34_04_25,d_main_34_04,Narration,eunhwa_t,,Locale_MainScenario:d_main_34_04_25,False,,50,5,0.5,,sfx_scn_toolpasslight,,,,9,idle,,7,idle,,5,angry,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_26,d_main_34_04,Monologue,rapi,,Locale_MainScenario:d_main_34_04_26,False,,10,100,0.5,,,,,,9,idle,,7,idle,,5,angry,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_27,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_27,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_28,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_28,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_29,d_main_34_04,Speech,rapi,rapi,Locale_MainScenario:d_main_34_04_29,True,,10,10,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_30,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_30,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_31,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_31,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_32,d_main_34_04,Speech,rapi,rapi,Locale_MainScenario:d_main_34_04_32,False,,10,10,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_33,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_33,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_34,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_34,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_35,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_35,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_36,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_36,True,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_37,d_main_34_04,Speech,rapi,rapi,Locale_MainScenario:d_main_34_04_37,True,,10,10,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
d_main_34_04_38,d_main_34_04,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_04_38,False,,50,50,1.0,,,,,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,,,,,
