id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_02_06_1,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_1,True,Drain,31,31,1.0,bgm_recognition_underworld,,rapi,1,idle,,anis,3,idle,,neon,13,idle,,,,,
d_main_02_06_2,d_main_02_06,Speech,shifty,shifty,Locale_MainScenario:d_main_02_06_2,True,,31,31,1.0,,,,1,idle,,,3,idle,,,13,idle,,shifty,OP_leftup,idle,
d_main_02_06_3,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_3,True,,31,31,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_4,d_main_02_06,Self,anis,Self,Locale_MainScenario:d_main_02_06_4,True,,31,31,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_5,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_5,True,,31,13,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_6,d_main_02_06,Speech,shifty,shifty,Locale_MainScenario:d_main_02_06_6,True,,13,13,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_7,d_main_02_06,Speech,shifty,shifty,Locale_MainScenario:d_main_02_06_7,True,,13,13,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,think,
d_main_02_06_8,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_8,True,,3,3,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_9,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_9,True,,13,13,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_10,d_main_02_06,Self,neon,Self,Locale_MainScenario:d_main_02_06_10,True,,13,13,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_11,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_11,True,,13,S_130,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_12,d_main_02_06,Self,neon,Self,Locale_MainScenario:d_main_02_06_12,True,,S_130,S_130,1.0,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_13,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_13,False,,S_130,S_1300,0.5,,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_06_14,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_14,True,,30,30,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_15,d_main_02_06,Speech,shifty,shifty,Locale_MainScenario:d_main_02_06_15,True,,30,30,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_16,d_main_02_06,Speech,rapi,rapi,Locale_MainScenario:d_main_02_06_16,True,,30,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_17,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_17,True,,13,S_130,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_18,d_main_02_06,Speech,rapi,rapi,Locale_MainScenario:d_main_02_06_18,False,,S_130,S_130,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_19,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_19,True,,S_130,S_130,1.0,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_20,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_20,True,,S_130,S_130,1.0,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_21,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_21,True,,S_130,S_1300,0.5,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_22,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_22,True,,30,30,1.0,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_23,d_main_02_06,Narration,anis,Narration,Locale_MainScenario:d_main_02_06_23,True,none,30,30,1.0,,black,,1,idle,rapi,,3,void,anis,,13,no,neon,,OP_leftup,idle,shifty
d_main_02_06_24,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_24,False,Drain,S_130,13,1.0,,,rapi,1,idle,,anis,3,void,,neon,13,delight,,shifty,OP_leftup,idle,
d_main_02_06_25,d_main_02_06,Speech,shifty,shifty,Locale_MainScenario:d_main_02_06_25,True,,13,13,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_26,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_26,True,,13,3,1.0,,,,1,idle,,,3,angry,,,13,idle,,,OP_leftup,idle,
d_main_02_06_27,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_27,True,,3,13,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_28,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_28,True,,13,13,1.0,,,,1,idle,,,3,void,,,13,idle,,,OP_leftup,idle,
d_main_02_06_29,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_29,True,,13,13,1.0,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_30,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_30,True,,13,S_1300,0.5,,,,1,idle,,,3,void,,,13,no,,,OP_leftup,idle,
d_main_02_06_31,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_31,True,,S_1300,S_130,1.0,,,,1,idle,,,3,void,,,13,delight,,,OP_leftup,idle,
d_main_02_06_32,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_32,True,,S_130,S_1300,1.0,,,,1,idle,,,3,void,,,13,delight,,,OP_leftup,idle,
d_main_02_06_33,d_main_02_06,Speech,anis,anis,Locale_MainScenario:d_main_02_06_33,False,,30,30,1.0,,,,1,idle,,,3,no,,,13,delight,,,OP_leftup,idle,
d_main_02_06_34,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_34,True,,13,13,1.0,,,,1,idle,,,3,no,,,13,delight,,,OP_leftup,idle,
d_main_02_06_35,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_35,True,,13,S_130,1.0,,,,1,idle,,,3,no,,,13,delight,,,OP_leftup,idle,
d_main_02_06_36,d_main_02_06,Self,neon,Self,Locale_MainScenario:d_main_02_06_36,True,,S_130,S_130,1.0,,,,1,idle,,,3,no,,,13,delight,,,OP_leftup,idle,
d_main_02_06_37,d_main_02_06,Speech,neon,neon,Locale_MainScenario:d_main_02_06_37,True,,S_130,S_1300,1.0,,,,1,idle,,,3,no,,,13,delight,,,OP_leftup,idle,
