id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,conversation_id
d_subquest_1412_1,d_subquest_1412,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_1,True,anis,1,angry,neon,13,idle,rapi,3,idle,CrystalDesert_d,12,12,1.0,bgm_mystery,,,,,
d_subquest_1412_2,d_subquest_1412,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_2,True,,1,angry,,13,idle,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_3,d_subquest_1412,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_3,True,,1,pain,,13,idle,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_4,d_subquest_1412,Speech,neon,neon,Locale_SubScenario:d_subquest_1412_4,True,,1,pain,,13,worry,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_5,d_subquest_1412,Self,neon,,Locale_SubScenario:d_subquest_1412_5,False,,1,pain,,13,worry,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_6,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_6,True,,1,pain,,13,idle,,3,idle,,12,3,1.0,,,,,,
d_subquest_1412_7,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_7,True,,1,pain,,13,idle,,3,think,,3,3,1.0,,,,,,
d_subquest_1412_8,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_8,True,,1,pain,,13,idle,,3,think,,3,3,1.0,,,,,,
d_subquest_1412_9,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_9,True,,1,pain,,13,idle,,3,idle,,3,3,1.0,,,,,,
d_subquest_1412_10,d_subquest_1412,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1412_10,True,,1,pain,,13,idle,,3,idle,,3,3,1.0,,shifty,OP_leftup,surprise,,
d_subquest_1412_11,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_11,True,,1,pain,,13,idle,,3,idle,,3,3,1.0,,,OP_leftup,surprise,,
d_subquest_1412_12,d_subquest_1412,Self,rapi,,Locale_SubScenario:d_subquest_1412_12,False,,1,pain,,13,idle,,3,idle,,3,3,1.0,,,OP_leftup,surprise,,
d_subquest_1412_13,d_subquest_1412,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1412_13,True,,1,pain,,13,idle,,3,idle,,3,3,1.0,,,OP_leftup,think,,
d_subquest_1412_14,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_14,True,,1,pain,,13,idle,,3,idle,,3,3,1.0,,,OP_leftup,think,shifty,
d_subquest_1412_15,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_15,True,,1,pain,,13,idle,,3,idle,,3,30,1.0,,,,,,
d_subquest_1412_16,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_16,True,,1,pain,,13,idle,,3,idle,,30,30,1.0,,,,,,
d_subquest_1412_17,d_subquest_1412,Self,rapi,,Locale_SubScenario:d_subquest_1412_17,False,,1,pain,,13,idle,,3,idle,,30,30,1.0,,,,,,m_subquest_1412
d_subquest_1412_18,d_subquest_1412,Self,rapi,,Locale_SubScenario:d_subquest_1412_18,False,,1,pain,,13,idle,,3,idle,,30,30,1.0,,,,,,
d_subquest_1412_19,d_subquest_1412,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_19,True,,1,pain,,13,idle,,3,idle,,30,3,1.0,,,,,,
d_subquest_1412_20,d_subquest_1412,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_20,True,,1,idle,,13,idle,,3,idle,,3,12,1.0,,,,,,
d_subquest_1412_21,d_subquest_1412,Speech,neon,neon,Locale_SubScenario:d_subquest_1412_21,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_22,d_subquest_1412,Speech,neon,neon,Locale_SubScenario:d_subquest_1412_22,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,,
d_subquest_1412_23,d_subquest_1412,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1412_23,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,shifty,OP_leftup,angry,,
d_subquest_1412_24,d_subquest_1412,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1412_24,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,OP_leftup,angry,,
