id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake
d_subquest_1302_1,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_1,False,rapi,3,idle,anis,1,void,neon,13,idle,Desert_04,18,16,1.0,bgm_story_languor,,,
d_subquest_1302_2,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_2,False,,3,idle,,1,void,,13,idle,,16,16,1.0,,,,
d_subquest_1302_3,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_3,False,,3,idle,,1,void,,13,idle,,16,16,1.0,,,,
d_subquest_1302_4,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_4,True,,3,idle,,1,void,,13,idle,,16,12,1.0,,neon,neon,
d_subquest_1302_5,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_5,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,,,
d_subquest_1302_6,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_6,True,,3,idle,,1,void,,13,surprise,,12,12,1.0,,neon,neon,
d_subquest_1302_7,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_7,True,,3,idle,,1,void,,13,surprise,,12,12,1.0,,anis,anis,
d_subquest_1302_8,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_8,False,,3,idle,,1,void,,13,surprise,,12,12,1.0,,,,
d_subquest_1302_9,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_9,True,,3,idle,,1,no,,13,surprise,,12,12,1.0,,anis,anis,
d_subquest_1302_10,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_10,True,,3,idle,,1,no,,13,surprise,,12,12,1.0,,anis,anis,
d_subquest_1302_11,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_11,False,,3,idle,,1,no,,13,surprise,,12,12,1.0,,,,
d_subquest_1302_12,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_12,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,anis,anis,
d_subquest_1302_13,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_13,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,anis,anis,
d_subquest_1302_14,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_14,True,,3,idle,,1,void,,13,delight,,12,12,1.0,,neon,neon,
d_subquest_1302_15,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_15,True,,3,idle,,1,void,,13,delight,,12,3,1.0,,rapi,rapi,
d_subquest_1302_16,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_16,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,
d_subquest_1302_17,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_17,True,,3,idle,,1,void,,13,idle,,3,3,1.0,,rapi,rapi,
d_subquest_1302_18,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_18,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,
d_subquest_1302_19,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_19,True,,3,idle,,1,void,,13,idle,,3,3,1.0,,rapi,rapi,
d_subquest_1302_20,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_20,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,
