id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_library_08_1,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_1,True,Library,7,7,1.0,none,kilo,7,idle,,,,
d_ex_library_08_2,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_2,True,,7,7,1.0,bgm_story_orangepop,,7,idle,,,,
d_ex_library_08_3,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_3,True,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_4,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_4,True,,7,S_70,1.0,,,7,smile,,,,
d_ex_library_08_5,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_5,False,,S_70,S_70,1.0,,,7,smile,,,,
d_ex_library_08_6,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_6,True,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_7,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_7,False,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_8,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_8,True,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_9,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_9,True,,S_70,7,1.0,,,7,idle,,,,
d_ex_library_08_10,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_10,False,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_11,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_11,True,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_12,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_12,True,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_13,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_13,False,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_14,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_14,True,,7,S_70,0.5,,,7,surprise,,,,
d_ex_library_08_15,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_15,True,,S_70,S_70,1.0,none,,7,idle,,,,
d_ex_library_08_16,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_16,True,,XS_50,XS_50,1.0,bgm_story_darklord,,7,idle,guillotine,5,delight,
d_ex_library_08_17,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_17,True,,S_70,7,0.5,,,7,surprise,,5,delight,
d_ex_library_08_18,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_18,False,,7,6,1.0,,,7,surprise,,5,delight,
d_ex_library_08_19,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_19,True,,6,6,1.0,,,7,surprise,,5,delight,
d_ex_library_08_20,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_20,True,,6,6,1.0,,,7,idle,,5,delight,
d_ex_library_08_21,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_21,True,,6,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_22,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_22,False,,6,6,1.0,,,7,surprise,,5,idle,
d_ex_library_08_23,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_23,True,,6,6,1.0,,,7,surprise,,5,idle,
d_ex_library_08_24,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_24,True,,6,6,1.0,,,7,surprise,,5,idle,
d_ex_library_08_25,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_25,True,,6,6,1.0,,,7,surprise,,5,idle,
d_ex_library_08_26,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_26,True,,6,XS_50,1.0,,,7,surprise,,5,angry,
d_ex_library_08_27,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_27,True,,XS_50,XS_50,1.0,,,7,idle,,5,angry,
d_ex_library_08_28,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_28,True,,XS_50,XS_50,1.0,,,7,idle,,5,angry,
d_ex_library_08_29,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_29,True,,S_70,S_70,1.0,,,7,surprise,,5,angry,
d_ex_library_08_30,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_30,True,,S_70,S_70,1.0,,,7,surprise,,5,idle,
d_ex_library_08_31,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_31,True,,XS_50,XS_50,1.0,,,7,surprise,,5,idle,
d_ex_library_08_32,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_32,True,,XS_50,XS_50,1.0,,,7,surprise,,5,idle,
d_ex_library_08_33,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_33,True,,S_70,S_70,1.0,,,7,surprise,,5,idle,
d_ex_library_08_34,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_34,True,,XS_50,XS_50,1.0,,,7,surprise,,5,angry,
d_ex_library_08_35,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_35,True,,XS_50,XS_500,0.7,,,7,surprise,,5,angry,
d_ex_library_08_36,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_36,True,,7,S_70,0.7,,,7,surprise,,5,angry,
d_ex_library_08_37,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_37,False,,S_70,S_70,1.0,,,7,surprise,,5,idle,
d_ex_library_08_38,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_38,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_39,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_39,True,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_40,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_40,True,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_41,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_41,True,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_42,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_42,True,,S_70,S_70,1.0,,,7,angry,,5,idle,
d_ex_library_08_43,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_43,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_44,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_44,False,,S_70,S_70,1.0,,,7,idle,,5,idle,
