id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_main_35_07_1,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_1,False,laplace,7,idle,drake,5,idle,rapi_red,13,idle,maxwell,15,idle_02,Jungle2,150,150,1.0,bgm_story_marrybad,,,,,,
d_main_35_07_2,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_2,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,150,1.0,,maxwell,,,,,
d_main_35_07_3,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_3,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,150,1.0,,maxwell,,,,,
d_main_35_07_4,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_4,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,150,1.0,,maxwell,,,,,
d_main_35_07_5,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_5,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,150,1.0,,maxwell,,,,,
d_main_35_07_6,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_6,False,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,150,1.0,,,,,,,
d_main_35_07_7,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_7,True,,7,idle,,5,idle,,13,idle,,15,sad,,150,150,1.0,,maxwell,,,,,
d_main_35_07_8,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_8,True,,7,idle,,5,idle,,13,idle,,15,sad,,150,150,1.0,,maxwell,,,,,
d_main_35_07_9,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_9,True,,7,idle,,5,idle,,13,idle,,15,sad,,150,150,1.0,,maxwell,,,,,
d_main_35_07_10,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_10,False,,7,idle,,5,idle,,13,idle,,15,sad,,150,150,1.0,,,,,,,
d_main_35_07_11,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_11,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,150,15,1.0,,maxwell,,,,,
d_main_35_07_12,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_12,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_13,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_13,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_14,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_14,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_15,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_15,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_16,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_16,False,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,,,,,,
d_main_35_07_17,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_17,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_18,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_18,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_19,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_19,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_20,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_20,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_21,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_21,False,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,,,,,,
d_main_35_07_22,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_22,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_23,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_23,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_24,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_24,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_25,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_25,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_26,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_26,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,15,15,1.0,,maxwell,,,,,
d_main_35_07_27,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_27,False,,7,idle,,5,idle,,13,think,,15,idle_02,,15,14,1.0,,rapi_red,,,,,
d_main_35_07_28,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_28,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,14,14,1.0,,rapi_red,,,,,
d_main_35_07_29,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_29,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,maxwell,,,,,
d_main_35_07_30,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_30,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,rapi_red,,,,,
d_main_35_07_31,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_31,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,rapi_red,,,,,
d_main_35_07_32,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_32,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,rapi_red,,,,,
d_main_35_07_33,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_33,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,maxwell,,,,,
d_main_35_07_34,d_main_35_07,Speech,rapi_red,Locale_MainScenario:d_main_35_07_34,True,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,rapi_red,,,,,
d_main_35_07_35,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_35,False,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,,,,,,
d_main_35_07_36,d_main_35_07,Self,maxwell,Locale_MainScenario:d_main_35_07_36,False,,7,idle,,5,idle,,13,idle,,15,sad,,14,14,1.0,,,,,,,
d_main_35_07_37,d_main_35_07,Speech,maxwell,Locale_MainScenario:d_main_35_07_37,True,,7,idle,,5,idle,,13,idle,,15,idle_02,,14,14,1.0,,maxwell,,,,,
