id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_34_06_e_1,d_main_34_06_e,Narration,grave_p,Locale_MainScenario:d_main_34_06_e_1,False,BlackPuddle,1,L_10,1.0,sfx_scn_tsunamiquakemiddle,bgm_story_confront,Low_2,,,emma_t,7,idle,,vesti_t,5,idle,,eunhwa_t,3,idle,,grave_p,1,idle,,cinderella,13,idle,,neon,15,idle,,anis,17,void,,rapi,19,idle,,,,,
d_main_34_06_e_2,d_main_34_06_e,Monologue,grave_p,Locale_MainScenario:d_main_34_06_e_2,False,,L_10,L_10,1.0,,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,void,,,19,idle,,,,,
d_main_34_06_e_3,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_3,True,,L_10,L_10,1.0,,,,grave_p,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,void,,,19,idle,,,,,
d_main_34_06_e_4,d_main_34_06_e,Monologue,grave_p,Locale_MainScenario:d_main_34_06_e_4,False,,L_10,L_10,1.0,,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,void,,,19,idle,,,,,
d_main_34_06_e_5,d_main_34_06_e,Speech,neon,Locale_MainScenario:d_main_34_06_e_5,True,,16,16,1.0,,,,neon,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,worry,,,17,void,,,19,idle,,,,,
d_main_34_06_e_6,d_main_34_06_e,Speech,anis,Locale_MainScenario:d_main_34_06_e_6,True,,16,16,1.0,,,,anis,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,worry,,,17,angry,,,19,idle,,,,,
d_main_34_06_e_7,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_7,True,,L_10,L_10,1.0,,,,grave_p,,,7,idle,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,worry,,,17,angry,,,19,idle,,,,,
d_main_34_06_e_8,d_main_34_06_e,Speech,neon,Locale_MainScenario:d_main_34_06_e_8,True,,S_150,S_150,1.0,,,,neon,,,7,idle,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,15,worry,,,17,angry,,,19,idle,,,,,
d_main_34_06_e_9,d_main_34_06_e,Monologue,grave_p,Locale_MainScenario:d_main_34_06_e_9,False,,L_10,L_100,1.0,,,,,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,worry,,,17,angry,,,19,idle,,,,,
d_main_34_06_e_10,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_10,True,EventScene_Chap_34_02,black,black,1.0,,,,grave_p,,,7,idle,emma_t,,5,idle,vesti_t,,3,idle,eunhwa_t,,1,idle,grave_p,,13,idle,cinderella,,15,idle,neon,,17,angry,anis,,19,idle,rapi,,,,
d_main_34_06_e_11,d_main_34_06_e,Narration,grave_p,Locale_MainScenario:d_main_34_06_e_11,False,,1,writersspoiler_01,1.0,sfx_scn_spoilerready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_12,d_main_34_06_e,Monologue,grave_p,Locale_MainScenario:d_main_34_06_e_12,False,,writersspoiler_01,writersspoiler_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_13,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_13,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_14,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_14,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_15,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_15,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_16,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_16,False,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_17,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_17,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_18,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_18,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_19,d_main_34_06_e,Speech,neon,Locale_MainScenario:d_main_34_06_e_19,True,,writersspoiler_01,writersspoiler_01,1.0,,,,neon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_20,d_main_34_06_e,Speech,anis,Locale_MainScenario:d_main_34_06_e_20,True,,writersspoiler_01,writersspoiler_01,1.0,,,,anis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_21,d_main_34_06_e,Speech,neon,Locale_MainScenario:d_main_34_06_e_21,True,,writersspoiler_01,writersspoiler_01,1.0,,,,neon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_22,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_22,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_23,d_main_34_06_e,Speech,neon,Locale_MainScenario:d_main_34_06_e_23,True,,writersspoiler_01,writersspoiler_01,1.0,,,,neon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_24,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_24,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_25,d_main_34_06_e,Speech,grave_p,Locale_MainScenario:d_main_34_06_e_25,True,,writersspoiler_01,writersspoiler_01,1.0,,,,grave_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_26,d_main_34_06_e,Narration,grave_p,Locale_MainScenario:d_main_34_06_e_26,False,,writersspoiler_01,writersspoiler_02,1.0,sfx_scn_spoilerready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_34_06_e_27,d_main_34_06_e,Monologue,grave_p,Locale_MainScenario:d_main_34_06_e_27,False,,writersspoiler_02,writersspoiler_02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
