id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
d_ex_trainstation_09_1,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_1,True,soline,5,idle,diesel,3,idle,Station,4,4,1.0,bgm_story_luckybreak,,,,,,,,
d_ex_trainstation_09_2,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_2,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_3,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_3,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_4,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_4,True,,5,delight,,3,idle,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_5,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_5,True,,5,surprise,,3,idle,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_6,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_6,True,,5,surprise,,3,idle,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_7,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_7,True,,5,surprise,,3,delight,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_8,d_ex_trainstation_09,Self,diesel,,Locale_SuddenStory:d_ex_trainstation_09_8,False,,5,surprise,,3,delight,,4,4,1.0,,,,,,,,,
d_ex_trainstation_09_9,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_9,True,,5,surprise,,3,idle,,4,30,1.0,,,,,,,,,
d_ex_trainstation_09_10,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_10,True,,5,idle,,3,idle,,30,S_50,1.0,,,,,,,,,
d_ex_trainstation_09_11,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_11,True,,5,idle,,3,idle,,S_50,S_50,1.0,,,,,,,,,
d_ex_trainstation_09_12,d_ex_trainstation_09,Narration,soline,,Locale_SuddenStory:d_ex_trainstation_09_12,False,,5,idle,,3,idle,,S_50,12,1.0,,sfx_scn_servingcart,,,,,,,
d_ex_trainstation_09_13,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_13,True,,5,idle,,3,idle,,12,12,1.0,,,crust,1,idle,bready,13,idle,
d_ex_trainstation_09_14,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_14,True,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_15,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_15,True,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_16,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_16,True,,5,idle,,3,idle,,12,2,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_17,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_17,True,,5,idle,,3,idle,,2,2,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_18,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_18,True,,5,idle,,3,idle,,2,2,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_19,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_19,True,,5,idle,,3,idle,,2,2,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_20,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_20,True,,5,idle,,3,idle,,2,12,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_21,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_21,True,,5,idle,,3,idle,,12,12,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_22,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_22,True,,5,idle,,3,idle,,12,12,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_23,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_23,True,,5,idle,,3,delight,,30,30,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_24,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_24,True,,5,idle,,3,delight,,30,30,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_25,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_25,True,,5,idle,,3,delight,,30,XS_10,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_26,d_ex_trainstation_09,Monologue,crust,,Locale_SuddenStory:d_ex_trainstation_09_26,False,,5,idle,,3,delight,,XS_10,XS_10,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_27,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_27,True,,5,idle,,3,delight,,XS_10,XS_100,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_28,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_28,True,,5,idle,,3,delight,,XS_100,XS_100,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_29,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_29,True,,5,idle,,3,delight,,XS_100,XS_100,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_30,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_30,True,,5,idle,,3,delight,,XS_100,XS_100,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_31,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_31,True,,5,idle,,3,delight,,30,30,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_32,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_32,True,,5,idle,,3,delight,,30,30,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_33,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_33,True,,5,idle,,3,idle,,S_130,S_130,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_34,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_34,True,,5,idle,,3,idle,,S_130,S_130,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_35,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_35,True,,5,idle,,3,idle,,S_130,S_130,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_36,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_36,True,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_37,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_37,True,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_38,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_38,True,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_39,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_39,True,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_40,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_40,True,,5,idle,,3,idle,,S_130,S_130,1.0,,,,1,idle,,13,delight,
d_ex_trainstation_09_41,d_ex_trainstation_09,Speech,bready,bready,Locale_SuddenStory:d_ex_trainstation_09_41,True,,5,idle,,3,idle,,S_130,S_130,1.0,,,,1,idle,,13,delight,
d_ex_trainstation_09_42,d_ex_trainstation_09,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_09_42,True,,5,idle,,3,delight,,30,30,1.0,,,,1,idle,,13,delight,
d_ex_trainstation_09_43,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_43,True,,5,surprise,,3,delight,,30,S_50,1.5,,,,1,idle,,13,idle,
d_ex_trainstation_09_44,d_ex_trainstation_09,Self,soline,,Locale_SuddenStory:d_ex_trainstation_09_44,False,,5,surprise,,3,idle,,S_50,S_50,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_45,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_45,True,,5,idle,,3,idle,,S_50,S_50,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_46,d_ex_trainstation_09,Self,soline,,Locale_SuddenStory:d_ex_trainstation_09_46,False,,5,idle,,3,idle,,S_50,S_50,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_47,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_47,True,,5,shy,,3,idle,,S_50,5,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_48,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_48,True,,5,shy,,3,idle,,5,5,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_49,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_49,True,,5,shy,,3,idle,,5,1,1.0,,,,1,shy,,13,idle,
d_ex_trainstation_09_50,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_50,True,,5,shy,,3,idle,,1,1,1.0,,,,1,shy,,13,idle,
d_ex_trainstation_09_51,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_51,True,,5,shy,,3,idle,,1,1,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_52,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_52,True,,5,shy,,3,idle,,1,XS_10,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_53,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_53,True,,5,angry,,3,idle,,5,S_50,0.8,,,,1,delight,,13,idle,
d_ex_trainstation_09_54,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_54,True,,5,angry,,3,idle,,S_50,S_50,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_55,d_ex_trainstation_09,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_09_55,True,,5,idle,,3,idle,,S_50,S_50,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_56,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_56,True,,5,idle,,3,idle,,XS_10,XS_10,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_57,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_57,True,,5,idle,,3,idle,,XS_10,XS_10,1.0,,,,1,delight,,13,idle,
d_ex_trainstation_09_58,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_58,True,,5,idle,,3,idle,,XS_10,XS_100,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_59,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_59,True,,5,idle,,3,idle,,XS_100,XS_100,1.0,,,,1,idle,,13,idle,
d_ex_trainstation_09_60,d_ex_trainstation_09,Speech,crust,crust,Locale_SuddenStory:d_ex_trainstation_09_60,True,,5,idle,,3,idle,,XS_100,XS_100,1.0,,,,1,idle,,13,idle,
