id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound,characters/0/hide_char_id
d_ex_church_03_1,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_1,True,folkwang,1,pain,Church,30,10,2.0,bgm_story_whosdumber,,,,,,
d_ex_church_03_2,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_2,True,,1,idle,,10,100,2.0,,,,,,,
d_ex_church_03_3,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_3,True,,1,idle,,100,100,1.0,,,,,,,
d_ex_church_03_4,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_4,True,,1,idle,,100,100,1.0,,,,,,,
d_ex_church_03_5,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_5,True,,1,pain,,100,100,1.0,,,,,,,
d_ex_church_03_6,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_6,True,,1,pain,,100,10,0.5,,,,,,,
d_ex_church_03_7,d_ex_church_03,Self,folkwang,,Locale_SuddenStory:d_ex_church_03_7,False,,1,pain,,black,black,1.0,,,,,,,
d_ex_church_03_8,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_8,True,,1,surprise,,10,2,2.0,,harran,3,idle,,,
d_ex_church_03_9,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_9,False,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_10,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_10,True,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_11,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_11,True,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_12,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_12,True,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_13,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_13,True,,1,idle,,2,30,1.0,,,3,idle,,,
d_ex_church_03_14,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_14,True,,1,idle,,30,10,2.0,,,3,idle,,,
d_ex_church_03_15,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_15,True,,1,idle,,30,30,1.0,,,3,idle,,,
d_ex_church_03_16,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_16,False,,1,idle,,30,300,1.0,,,3,idle,,,
d_ex_church_03_17,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_17,True,,1,idle,,300,300,1.0,,,3,idle,,,
d_ex_church_03_18,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_18,True,,1,idle,,300,300,1.0,,,3,idle,,,
d_ex_church_03_19,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_19,False,,1,surprise,,10,100,0.5,,,3,idle,,,
d_ex_church_03_20,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_20,True,,1,surprise,,100,100,1.0,,,3,idle,,,
d_ex_church_03_21,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_21,True,,1,surprise,,100,100,1.0,,,3,idle,,,
d_ex_church_03_22,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_22,True,,1,surprise,,100,2,1.0,,,3,special,,,
d_ex_church_03_23,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_23,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_24,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_24,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_25,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_25,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_26,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_26,False,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_27,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_27,True,,1,surprise,,2,30,1.0,,,3,idle,,,
d_ex_church_03_28,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_28,True,,1,delight,,10,10,1.0,,,3,idle,,,
d_ex_church_03_29,d_ex_church_03,Narration,folkwang,,Locale_SuddenStory:d_ex_church_03_29,False,,1,idle,,black,black,1.0,none,,3,idle,black,,
d_ex_church_03_30,d_ex_church_03,Narration,folkwang,,Locale_SuddenStory:d_ex_church_03_30,False,,1,idle,,15,2,2.0,,,3,idle,,sfx_scn_soup,
d_ex_church_03_31,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_31,False,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_32,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_32,False,,1,idle,,2,10,2.0,,,3,idle,,,
d_ex_church_03_33,d_ex_church_03,Self,folkwang,,Locale_SuddenStory:d_ex_church_03_33,False,,1,idle,,10,10,1.0,,,3,idle,,,
d_ex_church_03_34,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_34,True,,1,idle,,10,30,2.0,,,3,idle,,,
d_ex_church_03_35,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_35,True,,1,surprise,,30,10,1.0,bgm_story_whosdumber,,3,idle,,,
d_ex_church_03_36,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_36,True,,1,pain,,10,10,1.0,,,3,idle,,,
d_ex_church_03_37,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_37,True,,1,idle,,30,30,2.0,,,3,rage,,,
d_ex_church_03_38,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_38,True,,1,idle,,30,30,1.0,,,3,rage,,,
d_ex_church_03_39,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_39,True,,1,idle,,10,10,1.0,,,3,rage,,,
d_ex_church_03_40,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_40,True,,1,idle,,30,300,0.5,,,3,rage,,,
d_ex_church_03_41,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_41,True,,1,idle,,300,300,1.0,,,3,rage,,,
d_ex_church_03_42,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_42,True,,1,surprise,,10,10,1.0,,,3,idle,,,
